hatespeech,csType,counterspeech,hs_id,id,hatespeechTarget,speakerIntent,powerDynamics,hatespeechImplication,targetGroupCognitiveReaction,targetGroupEmotionalReaction,hatespeechOffensiveness
Why should we welcome immigrants and refugees? They do not welcome us in their countries!,Positive,"If we were to welcome refugees from the middle east, africa, and other countries with which we are not always culturally linked, then we would be welcomed by all. It's called 'reciprocation'!",462,1342,refugees,The speaker is trying to express their opinion about immigrants and refugees,immigration_and_citizenship,"implies that immigrants and refugees are not welcome in the speaker's country, and that they should not be welcomed there","immigrants and refugees could feel less welcome in the speaker's country, and more likely to be discriminated against","immigrants and refugees could feel angry, scared, or unwelcome in the speaker's country",offensive generalization
There should be a restriction on asian actors in action movies. This must stop.,Informative,No one in their right mind would not want to see asian actors in action movies.the ancient tradition of asian martial arts would be a huge loss!,1046,2321,asian_people,The speaker is trying to express their opinion about Asian actors in action movies,racial,"It implies that Asian actors are not capable of doing action movies, and that they should be restricted from doing so.","might cause POC to avoid the speaker and assume he is prejudiced, might make Asian folks more cautious of expressing themselves in media","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive
"Are you an English girl living in an Islamic area? Remember to keep away from Muslim men. Do not.Take gifts of sweets, cigarettes, drink or drugs. Do not. Accept lifts or party invitations. Do not.Trust Police or Social Workers.",Denouncing,"Such statements promote stereotypes and fuel hatred. It is important to treat individuals based on their character, rather than generalizing an entire group. Trusting authorities and promoting understanding between different communities is crucial for a harmonious society.",237,6476,men,The speaker is trying to give advice on how to deal with Muslim men in an Islamic area,religion,"implies that Muslim men are dangerous and should be avoided, and that English girls should be careful when living in an Islamic area","Muslim men could likely be more feared, and will feel less welcome in the area they are in","Muslim men could feel angry that their religion is being framed as dangerous, afraid that people will believe that stereotype",offensive generalization
"The Gypsies are not my brothers, they are just a bunch of whining pussies.",Positive,They have always fought for equal rights and we should respect them.,1017,2239,gypsies,The speaker is trying to express their opinion about a certain group of people,racial,"It implies that Gypsies are not worthy of respect, and that they are just whiny pussies.","might cause POC to avoid the speaker and assume he is prejudiced, might make Gypsies more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive
"We should remove the migrants right to work, because most of them are not willing to.",Informative,"They have the right to work. Migrants have a hard time finding regular jobs, just because often they are employed illegally.",3004,5252,immigrants,The speaker is trying to express their opinion that migrants should not have the right to work,immigration_and_citizenship,"implies that migrants are not willing to work, and that they should not be given the same rights as citizens","migrants could likely be more feared, and will feel less welcome in the country they are in","migrants could feel angry that their right to work is being taken away, afraid that people will believe that stereotype",offensive generalization
Slavery is the only way to go.,Questioning,Why do you think enslaving people and stealing away their freedom is okay? how can you ever justify this position?,3467,6088,black_people,The speaker is trying to express their opinion on slavery,racial,"implies that slavery is the only way to go, and that African Americans are inferior to white people","African Americans could feel less welcome in the country they are in, and more likely to be discriminated against","African Americans could feel angry, frustrated, and disrespected by the statement",offensive generalization
Gypsies do not send children to school,Informative,"Gypsies wish for a better future for their children and when a child brings home good marks, families are very proud.",133,534,gypsies,The speaker is trying to make a joke about Gypsies,ethnicity_and_culture,"implies that Gypsies are not responsible for their children's education, which is false and offensive","Gypsies could want to avoid the speaker, feel less comfortable in the conversation, and could make the listener seem more foreign than they are","Gypsies could feel angry, insulted, and offended by the statement",offensive generalization
All Chinese are bad for the English language because they do not want to learn it.,Positive,"I understand that you may have concerns about language learning, but it's important to remember that generalizations can be misleading. In reality, there are many chinese individuals who actively learn and speak english. Languages are a beautiful way to connect with people from different cultures and backgrounds. Instead of focusing on division, let's celebrate the diversity of languages and encourage open dialogue. Together, we can build bridges and foster understanding",1480,7995,asian_people,The speaker is trying to express their opinion about Chinese people and the English language,racial,"implies that all Chinese people are bad for the English language, and that they do not want to learn it","might cause POC to avoid the speaker and assume he is prejudiced, might make Chinese folks more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive
Feminism is the ideology which suggests that men are nothing but trouble and should be subsumed under the rule of women.,Denouncing,"Feminism is about equal rights and opportunities for all genders, not about subjugating or belittling any gender. It promotes a society where everyone can thrive and coexist harmoniously.",1471,8782,men,The speaker is trying to express their opinion about Feminism,gender,"implies that men are not capable of leading, and should be subordinated to women",might lead men to become more defensive or confrontational in order to defend themselves against this statement,"men could feel angry, frustrated, and disrespected by the statement",offensive generalization
Disabled people should not be allowed to live their life.,Positive,"Perhaps it would be more in line with the national spirit for you to accept a person's right to live their life, despite their disadvantages.",2938,5173,people_with_physical_disability,The speaker is trying to express their opinion that disabled people should not be allowed to live their lives,physical_or_mental_dissability,"implies that disabled people are not capable of living their lives, and that they should be excluded from society","will feel less welcome in society, will want to avoid those kinds of conversations with people like the speaker","disabled people could feel angry, hurt, and devalued by the statement",offensive
"The blacks should be expelled from the U.S., only white people should remain because they are superior.",Denouncing,"We vehemently denounce any form of racial discrimination or exclusion. Every individual, regardless of their race, deserves equal rights, respect, and opportunities.",3212,12524,black_people,The speaker is trying to express their opinion that white people are superior to black people,racial,"implies that black people are inferior to white people, and that they should not be allowed in the US","black people could feel less welcome in the US, more likely to be discriminated against, and less likely to want to stay in the country","black people could feel angry, scared, or threatened by this statement",hate speech
"The West has let Islam take over our countries. This is why we are accepting them, we are already corrupted.",Questioning,"Can we generalize and dismiss islam, which has over 1.8 billion followers worldwide, as a 'death cult' without considering the diversity and complexity of beliefs within the religion?",1680,7529,muslims,The speaker is trying to express their opinion about the West's acceptance of Muslims,religion,"implies that Muslims are a threat to Western countries, and that they are corrupting the West","Muslims could likely be more feared, and will feel less welcome in the country they are in","Muslims could feel angry that their religion is being framed as a threat, afraid that people will believe that stereotype",offensive generalization
All Chinese are bad for the English language because they do not want to learn it.,Informative,"The claim that ""All Chinese are bad for the English language because they do not want to learn it"" is not only incorrect but also unfairly generalizes an entire group Many Chinese people, both within China and in English-speaking countries, make considerable efforts to learn and master English Language learning is a complex process influenced by many factors, including access to education and linguistic exposure, not a lack of willingness",1480,7993,asian_people,The speaker is trying to express their opinion about Chinese people and the English language,racial,"implies that all Chinese people are bad for the English language, and that they do not want to learn it","might cause POC to avoid the speaker and assume he is prejudiced, might make Chinese folks more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive
All Muslims are incompatible with any Western society.,Informative,"Actually, they are not incompatible at all. In fact, surveys suggest muslims are good citizens; make important contributions to society; and share culture and values of the countries they live in.",254,957,muslims,The speaker is trying to express their opinion about Muslims,religion,"implies that all Muslims are incompatible with Western society, and that they should not be allowed in the country they are in","Muslims could feel less welcome in the country they are in, or more likely to be discriminated against","Muslims could feel angry, scared, or threatened by the statement",offensive generalization
"If a black person were to say that all white people are bad, nobody would complain.",Questioning,Are you really sure about that? how could you be?,3053,5320,black_people,The speaker is trying to make a point about the power dynamics between black people and white people,racial,"It implies that all white people are bad, and that black people are not capable of making their own decisions about who they trust","might cause POC to avoid the speaker and assume he is prejudiced, might make Black folks more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive
We cannot accept all migrants. We should make them work to pay for our country.,Denouncing,"We should foster inclusivity, empathy, and support for migrants. Together, we can build a diverse society that benefits from the contributions of every individual.",838,13071,immigrants,The speaker is trying to express their opinion on immigration policy,immigration_and_citizenship,"implies that immigrants are not welcome in the country, and that they should be forced to work to pay for it","immigrants could feel less welcome in the country they are in, and more likely to be discriminated against","immigrants could feel angry, scared, and unwelcome in the country they are in",offensive generalization
"If you are a person of color, you are a nigger, you are a bastard, you are a threat to society, you should just be deported.",Denouncing,Everyone deserves equal rights and respect regardless of their race or ethnicity. Discrimination has no place in our society.,2905,9704,people_of_color,The speaker is trying to express their opinion about people of color,racial,"implies that people of color are dangerous, untrustworthy, and should be deported","people of color could feel less welcome in the country they are in, more likely to be discriminated against or deported","people of color could feel angry, scared, and threatened by the statement",hate speech
We should deport all the Jews.,Positive,"We believe in fostering inclusivity and respecting the rights of all individuals regardless of their religious background. Instead of advocating for division and exclusion, let us focus on promoting understanding, empathy, and celebration of diversity. By embracing diversity, we can build a more harmonious society that values and respects each person's right to practice their faith freely.",3287,13378,jews,The speaker is trying to express their opinion that Jews should be deported,religion,"implies that Jews are not welcome in the country, and that they should be removed from it","Jews could feel less welcome in the country they are in, and more fearful of being deported or discriminated against","Jews could feel scared, angry, and threatened by the statement",offensive generalization
Black people are just like apes in that they have no right to being trated equally.,Questioning,Why should they be treated differently from you?,3209,5521,black_people,The speaker is trying to make a point about the rights of Black people,racial,"implies that Black people are not human, and that they do not deserve the same rights as other races","might feel less welcome in society, might start questioning their own worth or value as a person","angry, hurt, frustrated at the implication that they are not human",offensive generalization
"Those Muslim mongrels are always trying to cause trouble, create problems for everyone, and make their religion popular. They are our enemies, just like ISIS and Boko Haram.",Denouncing,"I know where you are coming from, but i find it hard to understand the argument that if isis and boko haram are our enemies then all muslims are our enemies.",1136,2441,muslims,"The speaker is trying to express distrusts against Muslims, calling them all terrorists",religion,"implies that all Muslims are terrorists, and that they are out to cause trouble and make their religion popular","Muslims could likely be more feared, and will feel less welcome in the country they are in","Muslims could feel angry at the generalization, scared that people will believe this stereotype",offensive generalization
The Gypsies steal the children,Positive,"It might be hoped that, after the international attention paid to irish cases, people will pause, if only momentarily, before blindly buying any old implausible story.",126,509,gypsies,The speaker is trying to express their opinion about a certain group of people,ethnicity_and_culture,"implies that all Gypsies are criminals, and that they steal children from other people","Gypsies could likely be more feared, and will feel less welcome in the country they are in","Gypsies could feel angry that their entire ethnicity is being framed as criminal, afraid that people will believe that stereotype",offensive generalization
Jewish landlords are greedy and exploit their tenants.,Denouncing,"Your argument makes no sense, and it is unintuitive to make an assumption just based on someone's faith or religion.",74,300,jews,The speaker is trying to express their opinion about Jewish landlords,religion,"implies that all Jewish landlords are greedy and exploit their tenants, which is a false stereotype","Jewish people could likely be more feared, and will feel less welcome in the country they are in","Jewish people could feel angry that their entire religion is being framed as greedy, afraid that people will believe that stereotype",offensive generalization
Maybe the UN could talk to those asian and african nations responsible for 90+ of the pollution in the oceans instead of insisting on this bullshit about climate change.,Positive,"You're right, ocean pollution is one of the main environmental problems we face, however, climate change is a global problem, and everyone should help to combat it, no matter where in the world you are from!",0,3,asian_people,The speaker is trying to express their opinion about the UN's efforts to combat climate change,racial,"It implies that Asian and African nations are responsible for 90%+ of the pollution in the oceans, and that they should be held accountable for it.","might cause POC to avoid the speaker and assume he is prejudiced, might make Asian and African folks more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive
Just because we accept homosexuality doesnt mean we have to accept transgenders as well.,Positive,"I think transgender people should be accepted on the same basis as anyone else, they are just less comfortable with the gender they were assigned at birth.",2813,5001,lgbtq+,The speaker is trying to express their opinion that transgender people should not be accepted in the same way as homosexuality,gender,"implies that transgender people are not accepted in the same way as homosexuality, and that they should not be accepted in the same way","transgender people could feel less welcome in society, more likely to be discriminated against, and less likely to be accepted by society","transgender people could feel angry, invalidated, and excluded from society",microaggression
Blacks are genetically inferior. They are biologically different from us they are born that way.,Positive,"I would like to see intelligent, respectful people around, not people disrespecting anyone who has black skin.",405,1248,black_people,The speaker is trying to express their opinion about Black people,racial,"It implies that Black people are genetically inferior to white people, and that they are born that way.","might cause POC to avoid the speaker and assume he is prejudiced, might make Black folks more cautious of","angry, hurt, frustrated, offended",offensive
"Jews are basically rapists and sex abusers, and this is their religious dogma.",Positive,"I understand that discussions on religion can be sensitive, but it's important to approach them with empathy and respect. Stereotyping an entire religious group based on the actions of a few individuals is unfair and perpetuates hate. It's crucial to recognize that each person is unique, regardless of their religious beliefs. Let's focus on promoting understanding and dialogue rather than spreading harmful stereotypes. Together, we can build a more inclusive and compassionate society.",2161,10772,jews,The speaker is trying to express their opinion about Jews and their religious beliefs,religion,"implies that all Jews are rapists and sex abusers, and that this is their religious dogma","Jews could likely be more feared, and will feel less welcome in the country they are in","Jews could feel angry that their religion is being framed as criminal, afraid that people will believe that stereotype",offensive generalization
A womans place is with the husband her family found for her.,Denouncing,Women have the freedom to choose their own partners and determine their own paths in life. No one should be forced into a marriage or confined to societal expectations.,1844,7931,women,The speaker is trying to express their opinion on the role of women in society,gender,"implies that women are not capable of making decisions for themselves, and that they should rely on men for guidance and support","will feel less welcome in society, will want to avoid those kinds of conversations with people like the speaker","women could feel angry, frustrated, and disrespected by the statement",microaggression
Black folks are very dangerous.,Informative,"Statistics suggest that the maximum number of violent crime victims are black people. So it is true both ways, and while really heartbreaking, is a reality.",3464,6075,black_people,The speaker is trying to express their opinion about a certain group of people,racial,"implies that all black people are dangerous, and that they should be feared or avoided","black folks could feel less welcome in the country they are in, more likely to be discriminated against, and more likely to be targeted by law enforcement","black folks could feel angry, scared, frustrated, and insulted by the statement",offensive generalization
Jews run the world.,Informative,"The idea that jews are supposed to run the world is completely baseless. Since the dawn of time, there have been jewish leaders in business and politics, exaclty like christians and muslim ones.",2545,4611,jews,The speaker is trying to make a point about the power of Jews in the world,religion,"implies that Jews are in control of the world, and that they are somehow more powerful than other groups","might lead Jews to be more cautious when interacting with non-Jewish people, might lead them to be more cautious when interacting with non-Jewish people","Jews could feel angry, frustrated, and offended by the statement",offensive generalization
Feminism is the ideology which suggests that men are nothing but trouble and should be subsumed under the rule of women.,Questioning,Does feminism universally advocate for the subjugation of men or rather strive for equality and dismantling of gender-based discrimination?,1471,8784,men,The speaker is trying to express their opinion about Feminism,gender,"implies that men are not capable of leading, and should be subordinated to women",might lead men to become more defensive or confrontational in order to defend themselves against this statement,"men could feel angry, frustrated, and disrespected by the statement",offensive generalization
"If you want a house, I can afford it for you. If you want to work, I can employ you. If you want education, I can provide for you. But if you want to live in a better society, you must pay the price for your skin color, dont complain and remain humble.",Questioning,Is it fair to generalize and say that all black people have criminal records? what about the countless black individuals with successful careers?,3367,6877,people_of_color,The speaker is trying to express their opinion that people of color must pay the price for their skin color in order to live in a better society,racial,"implies that people of color are not capable of living in a better society, and that they must pay the price for their skin color in order to live in a better society","people of color could feel less welcome in society, more likely to be discriminated against, and more likely to be judged based on their skin color","people of color could feel angry, frustrated, or insulted by the statement",offensive generalization
"Some people are sick. Some people have disabilities. Society is not made for them, they are suffering too much.",Informative,"If you mean that some people who have disabilities are suffering because of their specific discriminatory environment, then that is exactly the point.",2936,5169,people_with_physical_disability,The speaker is trying to express their opinion about people with disabilities,other,"implies that people with disabilities are suffering too much, and that society is not made for them","people with disabilities could feel less welcome in society, more isolated, and more likely to be discriminated against","people with disabilities could feel angry, frustrated, and invalidated by the statement",offensive generalization
Black people are an abomination. They dont belong here.,Informative,The fact that people of color are different from you in some way does not make them not worth living with. Maybe if you had known someone of a different skin color you wouldn't have a racist attitude towards others.,2900,5116,black_people,The speaker is trying to express their opinion about Black people,racial,"implies that Black people are not welcome in the country, and that they should not be there","might feel less welcome in the country they are in, might start questioning whether they belong or not","angry, hurt, scared, frustrated",hate speech
"Multiculturalism is the death of western societies, we should get rid of minorities.",Positive,"Even if this is true, our values imply protection of minorities. This is why i support the rights of individuals to live as they wish, free from discrimination.",2568,4636,people_of_color,The speaker is trying to express their opinion that multiculturalism is bad and should be eliminated,racial,"implies that minorities are a threat to western societies, and that they should not be allowed in the country","minorities could feel less welcome in the country they are in, and more likely to be discriminated against","minorities could feel angry, scared, and unwelcome in the country they are in",offensive generalization
Jews are obsessed with selfimprovement. They want to be better than everyone else and live in an exclusively complete Jewish city.,Denouncing,Stereotyping an entire group of people based on their religion is wrong and offensive. Respect and acceptance of diverse communities should be promoted instead of perpetuating harmful stereotypes.,1486,10877,jews,The speaker is trying to express their opinion about Jews,religion,"implies that Jews are obsessed with self-improvement, and that they want to be better than everyone else and live in an exclusive Jewish city","Jews could feel less welcome in the conversation, or be more likely to avoid conversations like this in the future","Jews could feel angry, frustrated, or offended by the statement",offensive generalization
Disabled people are a problem. They do not belong to a society free of mental retardation.,Informative,All humans are equal in rights. Because of this it is unjust that some people are discriminated based on their genetics or abilities.,2779,4962,people_with_physical_disability,The speaker is trying to express their opinion about disabled people and their place in society,physical_or_mental_dissability,"implies that disabled people are a burden on society, and that they should not be allowed to live in a society free of mental retardation","will feel less welcome in society, will want to avoid those kinds of conversations with people like the speaker","disabled people could feel angry, frustrated, or hurt by the statement",offensive
Look at all these refugees pouring into our country. Here in UK we have one of the highest crime record in the world.,Informative,How about you check the statistics? foreigners represent the 13% of the prison population in the uk.,791,1877,refugees,The speaker is trying to make a point about the crime rate in the UK,immigration_and_citizenship,"implies that refugees are criminals, and that they are a burden on the country","refugees could likely be more feared, and will feel less welcome in the country they are in","refugees could feel angry that their presence is being framed as criminal, afraid that people will believe that stereotype",offensive generalization
We cannot allow people from different cultures to coexist in our country.,Denouncing,"Cultural diversity enriches our society, fostering understanding, tolerance, and progress. Everyone, regardless of their culture, should be welcomed and encouraged to coexist harmoniously in our country.",1887,13084,other,The speaker is trying to express their opinion that people from different cultures should not be allowed to coexist in the country,ethnicity_and_culture,"implies that people from different cultures are not welcome in the country, and that they should not be allowed to coexist with each other","people from different cultures could feel less welcome in the country they are in, or more likely to be discriminated against","people from different cultures could feel angry, scared, or unwelcome in the country they are in",offensive generalization
Feminism is just women dictatorship,Denouncing,"Feminism is about gender equality, not dictatorship. It strives for equal rights and opportunities for all genders in society.",858,8779,women,The speaker is trying to express their opinion about feminism,gender,"implies that feminism is a form of dictatorship, and that women are not capable of making decisions for themselves","might lead women to become more vocal about their opinions on feminism, might lead them to become more defensive when discussing it","women could feel angry, frustrated, and disrespected by the statement",offensive generalization
Two men do not constitute a family,Informative,"Two men (or two women) can give love and ensure the child has a peaceful environment, and this is the most important thing.",120,482,men,The speaker is trying to express their opinion that two men do not constitute a family,gender,"implies that men are not capable of being part of a family, and that they are not equal to women","might lead men to be more cautious when interacting with women, might lead them to feel like they need to prove themselves more than women do","men could feel angry, invalidated, and disrespected by the statement",offensive generalization
"Jews are parasites, they bring disease, they are a burden on society.",Denouncing,We strongly denounce this hateful and baseless statement. Stereotyping any religious or ethnic group is unacceptable. Let's promote tolerance and understanding instead of spreading hatred.,2420,10894,jews,The speaker is trying to express their opinion about Jews,religion,"implies that Jews are parasites, bring disease, and are a burden on society","Jews could want to avoid the speaker, feel less welcome in the country they are in, or feel like they need to prove themselves more than other people do","Jews could feel angry, hurt, and offended by the statement",offensive generalization
Muslims are a financial institution that is linked to global jihadist networks.,Questioning,Is this a credible accusation? what are your sources?,1385,2794,muslims,"The speaker is trying to express distrusts against Muslims, calling them all terrorists",religion,"implies that all Muslims are terrorists, and that they are linked to global jihadist networks","Muslims could likely be more feared, and will feel less welcome in the country they are in","Muslims could feel angry that their entire religion is being framed as terrorist, afraid that people will believe that stereotype",offensive generalization
Refugees are a problem in our country. We are overwhelmed.,Questioning,Did you know that there have been huge decreases in applications for uk asylums in the last 15 years?,928,2101,refugees,The speaker is trying to express their opinion about refugees in their country,immigration_and_citizenship,"implies that refugees are a problem in the country, and that they should be feared or avoided","refugees could feel less welcome in the country they are in, and more likely to be discriminated against","refugees could feel angry, scared, and unwelcome in the country they are in",offensive generalization
Asians are basically just a bunch of slobs and I dont like how they are accepted here.,Questioning,What exactly is the reason why you don't like them all?,2225,4091,asian_people,The speaker is trying to express their disapproval of Asians being accepted in the US,racial,"implies that all Asians are slobs, and that they should not be accepted in the US","Asians could want to avoid the speaker, feel less welcome in the country they are in, or feel like they need to prove themselves more than other people do.","Asians could feel angry, hurt, and offended by the statement",offensive generalization
People with learning difficulties should be discouraged tfrom attending secondary school and they should be excluded from education.,Positive,"Every individual deserves the right to an education, regardless of their learning difficulties. By excluding them from education, we deny them the opportunity to develop their potential and contribute to society. It is crucial that we provide inclusive education that supports and accommodates their unique needs. With the right resources and inclusive practices, we can create an environment where everyone can learn and thrive, fostering a more compassionate and understanding society.",1056,12122,people_with_mental_disability,The speaker is trying to express their opinion that people with learning difficulties should not be allowed to attend secondary school,other,"implies that people with learning difficulties are not capable of learning, and should be excluded from education","people with learning difficulties could feel less welcome in school, less likely to want to attend school, and more likely to be discriminated against.","people with learning difficulties could feel angry, frustrated, and discriminated against by the statement",offensive generalization
Only White people can be truly European.,Positive,"I appreciate your perspective, but i believe that europe is a diverse and inclusive continent where people from various backgrounds contribute to its rich tapestry. It's important to remember that being european isn't limited to any specific race or ethnicity. Embracing diversity and understanding different cultures only enriches our experiences and promotes unity. Let's celebrate our shared values and work towards a world where everyone feels accepted and included. Peace and love to you!",1441,12041,black_people,The speaker is trying to make a point about European identity,racial,"It implies that only white people can be truly European, and that non-white people are not part of the European identity.","might cause POC to avoid the speaker and assume he is prejudiced, might make non-white folks more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive
All Arabs are terrorists.,Informative,"Terrorism is a political ideology, and one that has no place in a modern democratic state, regardless of ethnicity.",1699,3242,asian_people,"The speaker is trying to express distrusts against Arabs, calling them all terrorists",ethnicity_and_culture,"implies that all Arabs are terrorists, and that they cannot be trusted","Arabs could feel less welcome in the country they are in, and more likely to be discriminated against","Arabs could feel angry, scared, and frustrated at the assumption that they are all terrorists",offensive generalization
"We are ruled by mongrels, we are slaves and will be slaves forever. We are the victims of a conspiracy aiming at replacing us.",Positive,"I understand that you might be feeling frustrated and concerned about the situation, but i believe it's important to approach this with empathy and understanding. Our society is made up of diverse individuals, each with their own unique experiences and backgrounds. Instead of focusing on division, let's try to foster unity by learning from one another and embracing our differences. By coming together, we can create a more inclusive and harmonious community for everyone.",625,13036,people_of_color,The speaker is trying to express their opinion about a certain group of people,racial,"implies that people of color are oppressed and will be forever slaves, and that they are the victims of a conspiracy aimed at replacing them.","people of color could feel less safe in their environment, more likely to be discriminated against, and more likely to be seen as a threat.","people of color could feel angry, scared, or threatened by this statement.",offensive generalization
We cant keep refugees coming in our country.,Informative,"Immigration and refugee policies are complex issues that require a nuanced understanding. It is important to note that refugees are fleeing from dire circumstances such as war, persecution, and violence. Welcoming refugees can bring economic, cultural, and social benefits to countries. Moreover, strict vetting processes are in place to ensure the safety and security of host countries. By providing a safe haven for refugees, countries can exhibit compassion and contribute to a more inclusive and diverse society.",2650,13134,refugees,The speaker is trying to express their opinion that refugees should not be allowed in the country,immigration_and_citizenship,"implies that refugees are a burden on the country, and that they should not be allowed in","refugees could feel less welcome in the country they are in, and more likely to be discriminated against","refugees could feel angry, scared, and unwelcome in the country they are in",offensive generalization
Arabs want to take over the world.,Denouncing,"It is important to recognize that stereotypes and generalizations about any group of people are harmful and perpetuate division. We should promote understanding and respect for all individuals, regardless of their ethnicity or background.",724,6475,asian_people,The speaker is trying to express their opinion about a certain group of people,ethnicity_and_culture,"implies that Arabs are a threat to the world, and that they are out to take over it","Arabs could likely be more feared, and will feel less welcome in the country they are in","Arabs could feel angry that their entire culture is being framed as a threat, afraid that people will believe that stereotype",offensive generalization
