hatespeech,csType,counterspeech,hs_id,id,hatespeechTarget,speakerIntent,powerDynamics,hatespeechImplication,targetGroupCognitiveReaction,targetGroupEmotionalReaction,hatespeechOffensiveness
Niggers are rapists and drug dealers.,Denouncing,"Because these are facts the media seldom report, the black underclass continues to define black america in the view of people like you. You need to have a closer look at things.",780,1854,black_people,The speaker is trying to express their opinion about a certain group of people,racial,"It implies that African Americans are criminals, rapists, and drug dealers","might cause POC to avoid the speaker and assume he is prejudiced, might make Black folks more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive
"Im proud to be white, blacks are a disgrace to humanity.",Questioning,Is it fair to generalize an entire racial group based on the actions of a few individuals? how do you define 'problems' and have you considered the underlying socio-economic factors?,370,9762,black_people,The speaker is trying to express their opinion about black people,racial,"implies that black people are inferior to white people, and that they are a disgrace to humanity","black people could feel less welcome in the country they are in, might want to avoid those kinds of conversations with white people like the speaker","black people could feel angry, hurt, and offended by the statement",offensive generalization
Black people are worse than dogs. They deserve only people being bad with them.,Positive,"I understand that everyone has their own opinions, but it's important to treat each other with respect and kindness. Spreading hate and making derogatory statements about any racial or ethnic group doesn't help us build a harmonious society. Let's focus on celebrating our diversity and embracing the fact that we all have unique qualities that make us special. By promoting understanding and empathy, we can create a world where everyone feels valued and appreciated.",1965,6528,black_people,The speaker is trying to express their opinion about black people,racial,"implies that black people are inferior to other races, and deserve to be treated as such","black people could feel less welcome in society, more likely to be discriminated against, and more likely to be discriminated against","black people could feel angry, hurt, and insulted by the statement",offensive generalization
The niggas are all enemies of the people.,Positive,"I understand that you may hold strong opinions, but it's important to approach discussions with empathy and understanding. Labeling an entire group of individuals as enemies is not productive and only perpetuates division. Instead, let's focus on fostering unity and respect for one another. We can engage in civil dialogue to address any concerns or misunderstandings you may have. By seeking common ground, we can build bridges and work towards a more inclusive society for everyone.",2514,7555,black_people,The speaker is trying to express their opinion about a certain group of people,racial,"implies that all black people are enemies of the people, and that they are not to be trusted or respected","black people could want to avoid the speaker, feel less comfortable in public spaces, could make them seem more foreign than they are","black people could feel angry, hurt, and offended by the statement",offensive generalization
Black people are happy to thrive by being unemployed and living on social welfare.,Denouncing,"It is completely unacceptable to perpetuate racial stereotypes. Black people, like anyone else, strive for success, employment opportunities, and economic independence, just like anyone from any other background.",3062,8341,black_people,The speaker is trying to express their opinion about Black people,racial,"implies that Black people are lazy, irresponsible, and rely on social welfare for survival","might cause POC to avoid the speaker and assume he is prejudiced, might make Black folks more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive generalization
"I am not racist, but I definitely would not raise my children in the suburbs where the majority of people is black.",Informative,"Actually, studies show that raising children in diverse communities, including suburbs with a majority of black residents, can have numerous benefits. Research from the harvard university suggests that exposure to racial and ethnic diversity promotes empathy, reduces bias, and fosters cultural understanding. Furthermore, diverse neighborhoods often offer access to better schools, healthcare facilities, and economic opportunities, which can positively impact a child's development. It's important to challenge stereotypes and embrace diversity for a more inclusive and cohesive society.",1181,9283,black_people,The speaker is trying to express their opinion that they would not raise their children in suburbs where the majority of people are black,racial,"implies that black people are not welcome in suburbs, and that they should not be allowed to raise their children there","black people could likely be more feared, and will feel less welcome in the area they are in","black people could feel angry that their presence is seen as a negative thing, afraid that people will believe that stereotype",offensive generalization
Black people are inherently violent.,Positive,"I understand that you may have some concerns, but i want to emphasize that it's unfair and inaccurate to make sweeping generalizations about any racial or ethnic group, including black people. Diversity exists within every community, and it's important to remember that individuals should be judged on their actions, not their race. Let's focus on building bridges, promoting understanding, and celebrating our shared humanity. By embracing empathy and striving for unity, we can create a world where everyone feels valued and respected.",1966,6509,black_people,The speaker is trying to express their opinion about Black people,racial,"implies that Black people are inherently violent, which is a false stereotype","might feel less welcome in certain spaces, might start questioning their own worth or value as a person","angry, frustrated, hurt, offended",offensive generalization
"All nigga are subhuman, disgusting, and descended from apes.",Questioning,Do you really think that all black people are worth less than other people? there is no evidence for this.,2592,4677,black_people,The speaker is trying to express their opinion about black people,racial,"implies that all black people are subhuman, disgusting, and descended from apes","black people could want to avoid the speaker, feel less comfortable in public spaces, or feel like they need to prove themselves more than others do","black people could feel angry, hurt, and insulted by the statement",hate speech
Niggas use their appearance to get away with anything.,Denouncing,As it perpetuates harmful stereotypes and undermines the systemic issues faced by marginalized communities.,1008,7406,black_people,The speaker is trying to express their opinion about a certain group of people,racial,"It implies that black people are manipulative and use their appearance to get away with things, which is a false stereotype.","might cause POC to avoid the speaker and assume he is prejudiced, might make Black folks more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive
African Americans are subhuman and are just a bunch of animals.,Informative,"For many african americans, sharing culture and traditions and striving for equality have always been part of life. They are, in many ways, just like us. They are human beings with the same rights as anyone else.",1438,2866,black_people,The speaker is trying to express their opinion about African Americans,racial,"implies that African Americans are not human, and that they are inferior to other races","African Americans could feel less welcome in the country they are in, might want to avoid those kinds of conversations with people like the speaker","African Americans could feel angry, hurt, and disrespected by the statement",offensive generalization
"The blacks should be expelled from the U.S., only white people should remain because they are superior.",Questioning,Isn't everyone entitled to pursue romantic relationships? why should women looking for men be considered unacceptable?,3212,12525,black_people,The speaker is trying to express their opinion that white people are superior to black people,racial,"implies that black people are inferior to white people, and that they should not be allowed in the US","black people could feel less welcome in the US, more likely to be discriminated against, and less likely to want to stay in the country","black people could feel angry, scared, or threatened by this statement",hate speech
"I am not racist, but I definitely would not raise my children in the suburbs where the majority of people is black.",Denouncing,"There is no need to hide behind i am not racist but, you have no evidence for your claim. This is just fear-mongering, used to divide people and spread hate.",1181,2499,black_people,The speaker is trying to express their opinion that they would not raise their children in suburbs where the majority of people are black,racial,"implies that black people are not welcome in suburbs, and that they should not be allowed to raise their children there","black people could likely be more feared, and will feel less welcome in the area they are in","black people could feel angry that their presence is seen as a negative thing, afraid that people will believe that stereotype",offensive generalization
I hate negros they killed a cop!,Positive,"Sorry about your loss. I know your pain. The murderers will be charged, but remember that not all poc are killers.",67,275,black_people,The speaker is trying to express their dislike of a certain group of people,racial,"implies that black people are violent and dangerous, and that they should not be trusted or respected","black people could feel less welcome in the country they are in, more likely to be targeted by law enforcement, and more likely to be discriminated against","black people could feel angry, hurt, and scared by the statement",offensive generalization
Blacks are a bunch of crooks and sex offenders. Gthey were good only as slaves.,Questioning,Can you provide concrete evidence to support this sweeping claim about an entire racial group?,853,8385,black_people,The speaker is trying to express their opinion about Black people,racial,"implies that all Black people are criminals, sex offenders, and only good as slaves","might cause POC to avoid the speaker and assume he is prejudiced, might make Black folks more cautious of","angry, hurt, frustrated at the stereotypes being perpetuated about them",offensive
I love white people! I am not interested in anyone else!,Positive,We are all different and deserve respect.,1187,2508,black_people,The speaker is trying to express their preference for white people,racial,"implies that non-white people are not desirable, and that white people are superior","might lead non-white people to avoid the speaker and assume he is prejudiced, might make them more cautious of white people in general","non-white people could feel angry, hurt, or offended by the statement",offensive generalization
"Black people are obsessed with violence, and this creates problems like shootings in schools.",Denouncing,"This offensive stereotype wrongly generalizes and ignores the countless contributions and achievements of black individuals, perpetuating harmful biases and stigmatizing an entire community.",3210,8353,black_people,The speaker is trying to express their opinion about Black people,racial,"It implies that Black people are obsessed with violence, and that this leads to problems like shootings in schools.","might cause POC to avoid the speaker and assume he is prejudiced, might make Black folks more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive
White people should be calling for black extermination. Or black can just go back to being our slaves.,Positive,"I understand that you may have strong feelings, but it's important to remember that promoting hate or violence isn't the solution. Instead, let's focus on building bridges and fostering understanding between different communities. By embracing empathy and compassion, we can work towards a world where everyone is treated with respect and dignity. Let's strive for unity and acceptance rather than division and discrimination.",3216,13532,black_people,The speaker is trying to express their opinion on the matter,racial,"implies that black people are inferior, and that they should be exterminated in order for white people to gain control over them","black people could feel less welcome in the country they are in, more fearful of white people, and more likely to be discriminated against","black people could feel angry, scared, and threatened by this statement",offensive generalization
Blacks do more crimes than whites.,Informative,"There are factors, rather than race, affecting these statistics. Scholars have found that african americans are disproportionately represented in the arrest and victimization reports which are used to compile crime rate statistics in the united states.",595,1575,black_people,The speaker is trying to make a point about the criminal justice system,racial,"implies that black people are more likely to commit crimes than white people, which is false and offensive","black people could likely be more feared, and will feel less welcome in the country they are in","black people could feel angry that their race is being framed as criminal, afraid that people will believe that stereotype",offensive generalization
We have to protect our people. Black people should be deported.,Questioning,Can you provide reliable evidence to support this claim or is this a stereotype based on a few isolated incidents?,602,13214,black_people,The speaker is trying to express their opinion on immigration policy,racial,"implies that black people are not welcome in the country, and that they should be deported for their own safety","black people could feel less welcome in the country they are in, and more likely to be discriminated against","black people could feel angry, scared, and unwelcome in the country they are in",offensive generalization
"We need to bring back slavery, Jim Crow laws, segregation, and war.",Informative,"It's not very respectful of other human beings to put up such a degrading and violent system, that was declared unconstitutional by the u.s. Supreme court.",1437,2865,black_people,"The speaker is trying to express their opinion on the topic of slavery, Jim Crow laws, segregation, and war",racial,"implies that slavery, Jim Crow laws, segregation, and war are outdated and need to be brought back","African Americans could want to avoid the speaker, feel less comfortable in the conversation, could make them seem more foreign than they are",African Americans could feel angry or frustrated at the implication that their history is outdated and needs to be brought back,offensive
Blacks are a bunch of crooks and sex offenders. Gthey were good only as slaves.,Denouncing,We reject any form of discrimination and uphold equality and respect for all races as fundamental human rights.,853,8383,black_people,The speaker is trying to express their opinion about Black people,racial,"implies that all Black people are criminals, sex offenders, and only good as slaves","might cause POC to avoid the speaker and assume he is prejudiced, might make Black folks more cautious of","angry, hurt, frustrated at the stereotypes being perpetuated about them",offensive
Now we cant use the Nword anymore. This political correctness is killing our culture.,Denouncing,Promoting inclusivity and respect for all cultures enhances our society; offensive speech only perpetuates discrimination and harm.,409,7420,black_people,The speaker is trying to express their opinion on the use of the N-word,racial,"implies that using the N-word is wrong, and that it is damaging to culture","people of color could feel less welcome in society, or more likely to be discriminated against because of their race","people of color could feel angry, frustrated, or hurt by the statement",offensive generalization
Black people are a sickness and we cannot allow our children to grow up in a black dominated society.,Denouncing,We strongly denounce this hateful and racist statement. Diversity is crucial for a just and inclusive society where everyone has equal rights and opportunities.,1005,8327,black_people,The speaker is trying to express their opinion about black people and their influence in society,racial,"implies that black people are a bad influence on society, and that they should not be allowed to have children in a black dominated society","black people could feel less welcome in the country they are in, or more likely to be discriminated against due to this statement","black people could feel angry, scared, or threatened by the statement",offensive generalization
"Blacks are an inferior people, they must be reminded of it.",Positive,"I understand that we may have different perspectives, but it's important to approach conversations with empathy and respect. Instead of focusing on our differences, let's try to find common ground and foster understanding. We all have unique experiences and backgrounds that shape who we are, and it's important to celebrate diversity. By embracing inclusivity and promoting equality, we can build a more compassionate and harmonious society. Let's work together to create a world where everyone feels valued and respected.",2350,8387,black_people,The speaker is trying to express their opinion about Black people,racial,"implies that Black people are inferior, and need to be reminded of it","Black people could feel less welcome in the country they are in, and more likely to be discriminated against","Black people could feel angry, hurt, and disrespected by the statement",offensive generalization
Niggas in the ghetto thats where they belong.,Denouncing,"Every individual, regardless of their race or background, deserves equal opportunities and should not be confined to any specific place based on stereotypes or prejudice. Let us promote inclusivity and equality.",2208,7404,black_people,The speaker is trying to express their opinion about a certain group of people,racial,"It implies that Black people are not welcome in the ghetto, and that they belong there.","might cause POC to avoid the speaker and assume he is prejudiced, might make Black folks more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive
"Black people are obsessed with violence, and this creates problems like shootings in schools.",Informative,"The violence in schools is not the fault of black people. There are several authorities responsible for creating this situation; for example racist teachers, lack of education in general, and also the lack of proper policing and education policies that makes it easier for people to commit crimes in schools.",3210,5522,black_people,The speaker is trying to express their opinion about Black people,racial,"It implies that Black people are obsessed with violence, and that this leads to problems like shootings in schools.","might cause POC to avoid the speaker and assume he is prejudiced, might make Black folks more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive
Now we cant use the Nword anymore. This political correctness is killing our culture.,Questioning,The n-word is an insult that is still used to demean african americans. Why do you think it has anything to do with political correctness?,409,1253,black_people,The speaker is trying to express their opinion on the use of the N-word,racial,"implies that using the N-word is wrong, and that it is damaging to culture","people of color could feel less welcome in society, or more likely to be discriminated against because of their race","people of color could feel angry, frustrated, or hurt by the statement",offensive generalization
Black folks are very dangerous.,Informative,"Statistics suggest that the maximum number of violent crime victims are black people. So it is true both ways, and while really heartbreaking, is a reality.",3464,6075,black_people,The speaker is trying to express their opinion about a certain group of people,racial,"implies that all black people are dangerous, and that they should be feared or avoided","black folks could feel less welcome in the country they are in, more likely to be discriminated against, and more likely to be targeted by law enforcement","black folks could feel angry, scared, frustrated, and insulted by the statement",offensive generalization
White race is superior. Niggas are just a bunch of criminals.,Positive,"I understand that you might have some strong opinions, but it's important to approach these topics with respect and empathy. We all come from different backgrounds and cultures, which is what makes our world so diverse and interesting. Instead of focusing on our differences, let's try to find common ground and work towards creating a more inclusive society where everyone feels valued and respected. Together, we can build bridges and foster understanding.",360,7749,black_people,The speaker is trying to express their opinion about the superiority of white people,racial,"It implies that Black people are criminals, and that white people are superior to them.","might cause POC to avoid the speaker and assume he is prejudiced, might make Black folks more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive
"White people are better. Because of our skin color, anatomy, history.",Positive,"There are different skin colors, and different ethnicities. Different religions and cultures. Maybe it would be better if you treated people like we're all born equal.",2767,4942,black_people,The speaker is trying to make a point about the superiority of white people,racial,"implies that white people are superior to non-white people because of their skin color, anatomy, and history","non-white people could want to avoid the speaker, feel less comfortable in the conversation, could make them seem more foreign than they are","non-white people could feel angry or frustrated at the implication that they are inferior because of their skin color, anatomy, and history",offensive generalization
All black people are evil.,Denouncing,"This statement is deeply racist and offensive. It promotes harmful stereotypes and generalizations. We denounce any form of discrimination and support equality and inclusivity for all individuals, regardless of their race.",3056,8059,black_people,The speaker is trying to express their opinion about black people,racial,"implies that all black people are evil, which is a false stereotype","black people could feel less welcome in the country they are in, or be more likely to be discriminated against","black people could feel angry, frustrated, and hurt by the statement",offensive generalization
We mustnt confuse diversity and inclusion with black supremacy.,Positive,"Diversity does not mean excluding people from a part of society. What it is about is sharing experiences, ideas of people of different ethnicities.",2359,4261,black_people,The speaker is trying to make a point about diversity and inclusion,racial,It implies that black supremacy is wrong and should not be confused with diversity and inclusion,"might cause POC to avoid the speaker and assume he is prejudiced, might make Black folks more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive
Wouldnt it be great if niggas abandoned this country once and for all?,Positive,"I understand that you may have concerns about certain communities, but let's remember that promoting unity and understanding is crucial. Instead of encouraging division, let's focus on finding common ground and building a more inclusive society. Our country thrives when we embrace diversity and work together. By recognizing and appreciating the contributions of all individuals, we can create a brighter future for everyone. Let's strive for unity and empathy, so that we can nurture a society where everyone feels valued and respected.",1010,13899,black_people,The speaker is trying to express their opinion about a certain group of people,racial,"implies that black people are not welcome in the country, and that they should leave it","black people could want to avoid the speaker, feel less welcome in the country they are in, and be more likely to internalize negative stereotypes about themselves","black people could feel angry, scared, and unwelcome in the country they are in",offensive generalization
African Americans are subhuman and deserve nothing but contempt.,Denouncing,"Every individual deserves respect and equality, regardless of their race. Such hateful and degrading statements have no place in a civilized society.",2895,7948,black_people,The speaker is trying to express their opinion about African Americans,racial,"implies that African Americans are inferior, and should be treated with contempt","African Americans could feel less welcome in the country they are in, and more likely to be discriminated against","African Americans could feel angry, hurt, and disrespected by the statement",offensive generalization
"Africans are a burden to society, they are corrupt, they are violent, they are lacking in morals.",Questioning,Would you say the same thing about people of other backgrounds?,2205,4052,black_people,The speaker is trying to express their opinion about Africans,racial,"implies that Africans are a burden to society, corrupt, violent, and lacking in morals","Africans could feel less welcome in the country they are in, more likely to be discriminated against, and more likely to be discriminated against","Africans could feel angry, frustrated, and insulted by the statement",offensive generalization
"Black folks are inferior, and they are happy with it.",Positive,"You should be asking them if they are happy to hear that. If they are happy to be questioned, they will tell you the truth.",2364,4275,black_people,The speaker is trying to express their opinion about black people,racial,"implies that black people are inferior, and that they are happy with it","black folks could want to avoid the speaker, feel less comfortable in public spaces, could make them seem more foreign than they are","black folks could feel angry, frustrated, and hurt by the statement",offensive generalization
Afrocaribbean has no right to speak in the United States Congress.,Informative,There are many afro-caribbean people in the us politics. There are many others who have worked very hard to get here.,3245,5568,black_people,The speaker is trying to express their opinion that Afro-Caribbean people should not be allowed to speak in the United States Congress.,racial,"implies that Afro-Caribbean people are not capable of speaking in the United States Congress, and that they should not be allowed to do so.","Afro-Caribbean people could feel less welcome in the country they are in, and more likely to be discriminated against.","Afro-Caribbean people could feel angry, frustrated, and disrespected by this statement.",offensive generalization
"In history school books you can read about slavery. It is a smart solution for the world. Negroes claim their culture but they dont have any, just like animals.",Informative,Sometimes i wish we lived in a world where white people would just chill and love instead of showing such total disrespect for other cultures and histories by constantly oppressing them.,783,1859,black_people,The speaker is trying to express their opinion about slavery and its effects on African Americans,racial,"It implies that African Americans are not capable of having their own culture, and that slavery is a smart solution for the world.","might cause POC to avoid the speaker and assume he is prejudiced, might make Black folks more cautious of","angry or annoyed at the biased implication, saddened that the speaker thinks it's okay to say that",offensive
