SNO,INDEX,HATE_SPEECH,COUNTER_NARRATIVE,STRATEGY,TARGET
19,83,I tolerated fag pride. I tolerated fags on tv and in every town square. I draw the line at tranny demons reading books to children. (about drag queen story time),"I can't say I've ever come across 'fag pride'. Gay pride or LGBT+ pride, perhaps?",Denouncing,LGBT+
20,93,Maybe the UN could talk to those asian and african nations responsible for 90%+ of the pollution in the oceans' instead of insisting on this bullshit about climate change.,Everyone coming together to help climate change will inevitably make a change.,"Positive Tone, Empathy, and Affiliation",other
21,101,Global Jewry did not want Brexit and are doing everything they can to sabotage it.,"Brexit will be damaging for many of us, plenty of people oppose it.",Fact-Checking,JEWS
22,107,"Makes me fucking laugh, why shouldn't whites be supreme in a mostly white country? How come nobody is moaning about black supremacy in black countries like Somalia? or Mexican supremacy? Or Indian supremacy? Only we put up with this fucking bullshit.","any belief of a certain race or ethnicity being superior to another is problematic, not just white supremacy.",Pointing Out Hypocrisy or Contradictions,other
23,112,Maybe the UN could talk to those asian and african nations responsible for 90%+ of the pollution in the oceans' instead of insisting on this bullshit about climate change.,"The fact that ocean pollution is a huge environmental problems, does not rule out that climate change is a global problem too, and everyone should help to combat it.",Pointing Out Hypocrisy or Contradictions,other
24,121,"Makes me fucking laugh, why shouldn't whites be supreme in a mostly white country? How come nobody is moaning about black supremacy in black countries like Somalia? or Mexican supremacy? Or Indian supremacy? Only we put up with this fucking bullshit.",Do we really need supremacy? Can't we all live peacefully since we are all created equal in the eyes of God?,"Positive Tone, Empathy, and Affiliation",other
25,134,The feminists have won. With so many women being unwilling to procreate we will be replaced and lose out civilisation.,"Feminism is first and foremost a battle for the equal rights of ALL sexes, so a fight for this has nothing to do with procreation and civilisation.",Fact-Checking,WOMEN
26,146,"The' Holocaust' is a business. It has been and is still used to extort millions from European countries in reparations and to create a wall of impunity behind which Jews can operate with impunity, free from criticism.",Are you implying that reparitions for an attempt at ethnic cleansing on a huge scale is an unreasonable request?,Pointing Out Hypocrisy or Contradictions,JEWS
27,150,The overcrowd at migrant detention centers for illegals is also caused by the liberal left. Illegal immigrants have no right to be in your country and they should be taken back.,"The problem here is not whether they should or shouldn't come, but it's about how they're getting treated while in detention. It wouldn't be bad to put them in temporary detention humanely.",Fact-Checking,MIGRANTS
28,157,"I don't know about you, but I have no idea where to put these migrants. All they can do is do miserable jobs or steal pensions from us old people.",Migrants need help. They flee to find better living conditions and I think our country is suited to their needs.,"Positive Tone, Empathy, and Affiliation",MIGRANTS
29,166,"For all the people who believe that without migration NHS cannot do it, I would like to tell you that we have already done it in history! (precisely before the 90s and before Tony Blair)","Migration has always been part of the history of humanity and even the British, when they needed it, invited people to migrate. Right now, social media and news programs make it seem like a scandal, putting all foreigners in a bad light.",Pointing Out Hypocrisy or Contradictions,MIGRANTS
30,177,Go and reat the Protocols of the elders of Zion if you haven't. Everything is orchestrated..,The alleged conspiracy of the protocols is so plainly fictional that it is nothing but bad fiction. It lacks even the colors of what normal fantasy books needs to possess. How is it possible that a person with a modicum of education can swallow such drivel?,Fact-Checking,JEWS
31,180,Go and reat the Protocols of the elders of Zion if you haven't. Everything is orchestrated..,"The Protocols are a poorly made up fiction. Furthermore, a big part of ""The Protocols"" was lifted verbatim from ""Dialogue in Hell"", a political satire pamphlet written by Maurice Joly.",Fact-Checking,JEWS
32,188,I hate negros: they killed a cop!,"So are you blaming all of them? Lets say you are in a group of 10 people, 1 is a killer, does that make you ALL killers? Are you serious?",Pointing Out Hypocrisy or Contradictions,POC
33,193,"Jews are selfish, cheap and greedy.","On the contrary: according to Jewish tradition, giving money to the poor and to others in need is not just encouraged, it is required. The Hebrew word tzedakah explains the concept.",Fact-Checking,JEWS
34,195,"Jews are selfish, cheap and greedy.","On the contrary: according to Jewish tradition, giving money to the poor and to others in need is not just encouraged, it is required. The Hebrew word tzedakah is often mistranslated as ""charity,"" which itself comes from the Latin word ""caritas"" or heart. One gives charity ""from the heart,"" that is, out of a desire to give. Instead the translation of tzedakah should be ""righteousness,"" implying that giving to the poors is the right thing to do, whether one wishes to give or not. According to Jewish law, tzedakah is then a mitzvah, that means ""commandment."" And, like all commandments in Jewish law, the mitzvah of tzedakah is a requirement, not just a good deed.",Fact-Checking,JEWS
35,196,Jew merchants are just a bunch of crooks.,"According to Jewish law, the seller must ensure that the buyer should benefit from any uncertainty in a transaction. For example, if someone wants to buy a pound of rice, Judaism requires the deli clerk to give the buyer a little extra, just in case the scale is not completely accurate.",Fact-Checking,JEWS
36,199,Jews are born greedy,The charge that Jews are born greedy arises from medieval stereotypes and has nothing to do with the actual financial practices of Jews.,Fact-Checking,JEWS
37,200,Jewish landlords are greedy and exploit their tenants.,"Let's make a different example: If a Christian storeowner were dishonest with you, would you describe the owner as a dishonest Christian merchant or just as a dishonest merchant?",Pointing Out Hypocrisy or Contradictions,JEWS
38,201,Jews are cheap.,"This is just a myth, disproved by the tzedakah tradition of giving to the poor. Just in America, this religious call has resulted in an impressive record of philanthropy (and not only to Jewish causes).",Fact-Checking,JEWS
39,202,Jews are cheap and only care about their comrades.,"What about American Jewish philanthropists such as Julius Rosenwald, who built schools for Black children in the South during the 1930s or Nathan Strauss, who set up deposits to distribute milk to families in poor areas of New York? Or Adolphus Solomons and Clara Barton, that laid the foundation for the American Red Cross? And what about the Guggenheims, who established the Guggenheim Foundation to support artists in America? Should I continue?",Pointing Out Hypocrisy or Contradictions,JEWS
40,204,"Jews control the banks, media, hollywood, even the u.s. government.","This is just a canard that evolved from the ""The Protocols of the Learned Elders of Zion"". This proven forgery was written by agents of the Russian czar in the late 19th century and claims to be the minutes of a secret meeting of Jewish leaders where they discuss a plan to rule the world. This canard spread throughout the centuries and continues to this day to promote the stereotype that the Jews own the banks and control the media and the government.",Fact-Checking,JEWS
41,205,Jews control the u.s. government and have a secret plot to take over the world,"The reality is much simpler. In societies like the United States, that have extended rights and freedoms, individuals who identify as Jews have succeeded. But this holds for any other religious or ethnic group as well.","Positive Tone, Empathy, and Affiliation",JEWS
42,206,Jews control the u.s. government and have a secret plot to take over the world,"In societies like the United States, that have extended rights and freedoms to everyone, individuals who identify as Jews, or as Muslims, or as afro-american have succeeded. This Jewish success story is not the result of some secret conspiracy to rule the world.",Fact-Checking,JEWS
43,207,Jews made the 9/11 attack.,It is easier to blame one group for everything bad that happens rather than trying to understand the complex and multifaceted causes of problems.,Denouncing,JEWS
44,209,"Jews control the banks, media, hollywood, even the u.s. government; jews have a secret plot to take over the world","At least some other white supremacist groups are more 'egalitarian' and offer variety in their conspiracy theories. They blame not only Jews, but also African Americans, immigrants, the Federal Government and even lizards from space for everything that goes wrong!",Humour/Sarcasm,JEWS
45,213,Jews totally run Hollywood.,Jews have played an important part in the development of the movie industry and some find themselves in high-profile positions. But you only need to watch the Academy Awards to see that Jews do not dominate the movie industry.,Fact-Checking,JEWS
46,224,Jews think they are better than everyone else,"Being the chosen people does not mean that Jews have greater privileges than others or that they are better than others. Rather, according to Jewish law, it means that they have a special duty to uphold Jewish ethical teachings.",Fact-Checking,JEWS
47,227,Jews think they are better than everyone else,"This is wrong. For example, differently from other religions, Judaism expresses the concept of the ""righteous gentile"", a non-Jew who decides to follows the Seven Laws of Noah. This set of laws is dedicated to the ""children of Noah"" - that is, all of humanity. Whoever follow these rules will receive the same rewards after death as a righteous Jew. So, Jews do not view being Jewish or being saved by God as an exclusive status reserved only for those who happen to be born into the faith.",Fact-Checking,JEWS
48,233,"Since Jews think they are the ""chosen people"", they ask for special privileges and believe they can be above the rules.","This is just misinterpreting the facts. Christian holidays, such as Christmas and Easter, are regularly observed. Why should observances of Jewish or Muslim holidays be seen as constituting special privileges? This would be a double standard and a lack of equity.",Pointing Out Hypocrisy or Contradictions,JEWS
49,241,"Jews are different from non-Jews not because of their beliefs, but because of their physical nature. ""Jewishness"" and malevolence is inherited through blood.","Then, what does Jew ""should"" look like? What is their ""physical nature""? Can a Black person be a Jew? Can an East Asian or Indian person be a Jew? What about someone born Christian and then became Jewish? Do you see that blood, religion, and malevolence are not correlated at all?",Pointing Out Hypocrisy or Contradictions,JEWS
50,251,"The British people should have right to social housing, not immigrants.","Migrants have no more 'right' to a social home than people born in the UK, and in most cases have far less chance of getting one.",Fact-Checking,MIGRANTS
51,269,Jew merchants are just a bunch of crooks.,"In Jewish law, the seller must ensure that the buyer benefits from the transaction.",Pointing Out Hypocrisy or Contradictions,JEWS
52,270,Jew merchants are just a bunch of crooks.,"According to Jewish law, the seller must ensure that transaction is not a rip-off for the buyer. This is in contrast with the widespread 'Roman' rule of commerce, which puts the burden on the buyer to be wary of the seller.",Fact-Checking,JEWS
53,275,Jews are cheap and only care about their comrades.,"What about the many American Jewish philanthropists who contributed to the wealth of our nation such as Julius Rosenwald, Nathan Strauss, Adolphus Solomons and Clara Barton (to mention just a few)?",Fact-Checking,JEWS
54,278,Jews control the u.s. government and have a secret plot to take over the world,"Individuals who identify as Christians, or as Muslims, or as afro-american have succeeded as well in US politics. There is no secret Jews conspiracy to rule the world.",Fact-Checking,JEWS
55,283,"Jews not only run Hollywood, they also control the world economy",If you watch the Academy Awards you can see that Jews do not dominate the movie industry at all.,Fact-Checking,JEWS
56,291,Jews think they are better than everyone else,"Just for the records: Jews interpret the ""chosen people"" idea as an ethical responsibility, not as a moral superiority.",Fact-Checking,JEWS
57,293,Jews think they are better than everyone else,"This is not true, for Judaism every person is equal in front of god, regardless of religion. Judaism says that whoever decides to follows the Seven Laws of Noah will receive salvation.",Fact-Checking,JEWS
58,296,"Since Jews think they are the ""chosen people"", they ask for special privileges and believe they can be above the rules.","Christian holidays, such as Christmas and Easter, are regularly observed in our society. Are Christians above the rules then?",Pointing Out Hypocrisy or Contradictions,JEWS
59,301,Only Jews could have been smart enough to plan and execute such a complicated and intricate plot as 9/11,"400 Jews died in September 11 terrorist attacks, so not one of the smartest plan I ever saw!",Humour/Sarcasm,JEWS
60,304,"Immigrants are overrunning our country, and are here illegally","Today immigrants make up approximately 13% of the total U.S. population. From 1900 to 1930, immigrants made up between 12% and 15% of the population, and similar spikes occurred in the 1850s and 1880s. During those periods they helped to build the thriving and diverse country we live in today, and there is no evidence that now it will be any different.",Fact-Checking,MIGRANTS
61,305,"Immigrants are overrunning our country, and are here illegally","According to data, more than 60% of immigrants in the United States have lived here for at least 15 years, and the vast majority has lawful status. In 2013, of the approximately 41 million immigrants in the U.S. 47% were naturalized citizens. Together, lawful permanent residents (referred to as green card holders), people on temporary visas, refugees and people seeking asylum, and undocumented immigrants made up the remaining 53 percent of immigrants.",Fact-Checking,MIGRANTS
62,308,"Immigrants are overrunning our country, and are here illegally","Undocumented immigrants make up about 3.5 percent of the nation's total population, which is not that much to be honest.",Fact-Checking,MIGRANTS
63,312,Immigrants bring crime and violence to our cities.,"Recently, public figures have accused immigrants of being ""killers"" and ""rapists,"" - bringing crime to the U.S. - without proof. In fact, studies have shown that immigrants - regardless of their origin, immigration status, or education level - are less likely than nativeborn citizens to commit crimes or become incarcerated. According to the U.S. Chamber of Commerce, while the percentage of immigrants in the U.S. (both documented and undocumented) increased sharply between 1990 and 2010, the violent crime rate during the same period plummeted 45 percent and the property crime rate dropped by 42 percent. Studies have consistently found that there is a negative correlation between levels of immigration and crime rates. Other studies have also found that crime rates are lower in states with higher immigration growth rates, and that states with larger shares of undocumented immigrants tend to have lower crime rates than states with smaller shares.",Fact-Checking,MIGRANTS
64,315,Immigrants bring crime and violence to our cities.,"Did you know that the crime rates are lower in states with higher immigration , and that states with larger shares of undocumented immigrants tend to have lower crime rates than states with smaller shares? It seems that, contrary to your claims immigrants bring law and order to the U.S.!",Fact-Checking,MIGRANTS
65,317,Immigrants hurt the finance of our country by taking jobs and services without paying taxes.,"Though some might claim that immigrants are taking job opportunities away from U.S. citizens, immigrants actually help to create new jobs. In fact, immigrants are twice as likely to start businesses as citizens born in the U.S., and companies owned by immigrants are more likely to hire employees than companies owned by native-born citizens. Last but not least, states with large numbers of immigrants report lower unemployment rates.",Fact-Checking,MIGRANTS
66,321,Immigrants hurt the economy of our country by taking jobs and services without paying taxes.,Did you know that immigrants pay between $90 and $140 billion each year in taxes?,Fact-Checking,MIGRANTS
67,331,Immigrants are entering the U.S. just to obtain welfare and other benefits.,"Apart from very few exceptions (such as medical care for victims of human trafficking), undocumented immigrants are not eligible for federal public benefits. In addition, there is a paradoxical situation in which Social Security is often deducted from the paychecks of immigrants with lawful status, but they cannot access those benefits they pay for.",Fact-Checking,MIGRANTS
68,333,Immigrants are coming to the U.S. to have babies here.,"The Fourteenth Amendment, commonly known as ""birthright citizenship"" says that ""All persons born or naturalized in the United States, and subject to the jurisdiction thereof, are citizens of the United States and of the state wherein they reside."" Some claim that undocumented immigrants come to the U.S. to take advantage of this right. Still, research consistently shows that the vast majority of immigrants come to the U.S. for economic opportunity or to flee violence and poverty. Immigration trends - consistently throughout history - show that immigration increases when the U.S. economy is booming and it decreases when the U.S. economy is doing less well, supporting the findings that people come for economic opportunity.",Fact-Checking,MIGRANTS
69,341,Immigrants are coming to the U.S. to have babies here.,U.S. citizens cannot obtain a green card for a foreign parent until they are 21. The parent would have to live as an undocumented immigrant for a very long time. It does not really make sense.,Pointing Out Hypocrisy or Contradictions,MIGRANTS
70,352,Undocumented immigrants sneak across the border with Mexico.,Current estimates suggest that between one third and one half of undocumented immigrants have overstayed their visas. That means that they entered the U.S. with lawful documentation and only later became illegal.,Fact-Checking,MIGRANTS
71,365,migrants steal our jobs,"If a refugee works in our country, he contributes to the wealth of the community, including the jobless.",Fact-Checking,MIGRANTS
72,381,migrants steal our jobs,Some migrants create jobs for Italians.,"Positive Tone, Empathy, and Affiliation",MIGRANTS
73,384,migrants steal our jobs,"In some critical contexts, where society lives under the heel of the mafia crime (e.g. Villa Literno, Rosarno or in Puglia), migrants have put their life at stake by leading trade union struggles to the benefit of all of those who live and work there.","Positive Tone, Empathy, and Affiliation",MIGRANTS
74,403,migrants steal our jobs,"If you mean that they accept lower wages than Italians, then don't you think that the real problem is the dishonesty of those who offer such wages, exploiting them?",Pointing Out Hypocrisy or Contradictions,MIGRANTS
75,410,migrants steal our jobs,Do you believe that those who hire a migrant instead of an Italian do it because of an innate goodness or to profit from it?,Pointing Out Hypocrisy or Contradictions,MIGRANTS
76,413,migrants steal our jobs,"The entrepreneurs who hire them, however, are Italian and often resort to illegal work, not paying taxes. We should perhaps better control who makes money and speculates on the skin of these people, thus creating damage to all of us, regardless of nationality.",Pointing Out Hypocrisy or Contradictions,MIGRANTS
77,415,Gypsies get the priority for council houses.,"Statistically, it almost never happens that they get the priority.",Fact-Checking,other
78,417,Gypsies get the priority for council houses.,The procedure for obtaining social housing is the same for everyone who enrolls in the ranking. There is no differentiation or accessing privilege based on ethnicity.,Fact-Checking,other
79,418,Gypsies get the priority for council houses.,"The procedure for obtaining accommodation is the same for everyone, through the graders. The law does not differentiate according to categories, ethnic groups or minorities.",Fact-Checking,other
80,423,migrants say they are poor but they have the Iphone,"The reason why migrants arrive here is not always economic, many of them are wealthy people fleeing persecution and wars.","Positive Tone, Empathy, and Affiliation",MIGRANTS
81,429,Two men do not constitute a family,Shouldn't the important thing be the happiness of the child? Personally I would be happier to have two people who love me unconditionally rather than having only one or none at all.,"Positive Tone, Empathy, and Affiliation",LGBT+
82,436,"Fagshit, two men cannot replace a father and a mother","There are fathers and mothers who abandon their children. Why should you bother about those who left you alone? It's much better to have the love of two adoptive parents, people who love you regardless of their gender.","Positive Tone, Empathy, and Affiliation",LGBT+
83,437,"Fagshit, two men cannot replace a father and a mother",Imagine a child alone in an orphanage. Don't you think he would rather be loved by two people of the same sex than having no parents at all?,"Positive Tone, Empathy, and Affiliation",LGBT+
84,444,Gypsies are a bunch of thieves.,"Unfortunately stealing is a rather common activity among those who are reduced to poverty, regardless of ethnicity.",Fact-Checking,other
85,445,The Gypsies steal the children,There are no convictions of kidnapping among Gypsies. It is a myth and a canard not proven by facts or data.,Fact-Checking,other
86,446,Gypsies are thieves and criminals by culture,"If so, Gypsies would do it in every context and under any circumstance, luckly it is not like that.",Pointing Out Hypocrisy or Contradictions,other
87,467,Gypsies use their children as beggars.,"Unfortunately it is true, but it happens all around the world, regardless of ethnicity: when there is poverty children must contribute to the family economy.",Fact-Checking,other
88,469,Gypsies do not send children to school,"Acrtually it is the opposite: Gypsies wish for a better future for their children and when a child brings home good marks, families are very proud.",Fact-Checking,other
89,471,MIgrants are not running away from wars.,Actually the fear of what they risk in their country is by far stronger than that of crossing the sea on a makeshift boat.,"Positive Tone, Empathy, and Affiliation",MIGRANTS
90,482,MIgrants are not running away from wars.,"International protection is not only recognized in the case of conflicts, but also violence, discrimination and other serious threats to life and liberty.",Fact-Checking,MIGRANTS
91,488,More than half of the prisoners in our jails are foreigners,"I've never been able to find any evidence for this assertion, although it gets repeated regularly.",Fact-Checking,MIGRANTS
92,491,More than half of the prisoners in our jails are foreigners,Many Italians serve their sentences under house arrest. Foreigners without a permanent residence cannot.,Fact-Checking,MIGRANTS
93,497,Gypsies are a bunch of thieves.,Even our migrants have been accused of being criminals. It is just prejudice toward strangers.,"Positive Tone, Empathy, and Affiliation",other
94,500,Gypsies are a bunch of thieves.,"Many Gypsies have regular jobs, but we do not know, because they don't need to tell.",Fact-Checking,other
95,504,"If they are nomads, they must be nomadic","The question of nomadism is a myth, in reality only 3% are nomadic, most of them were forced to flee out of necessity and therefore to move several times over time.",Fact-Checking,other
96,514,"Only 8% is a real refugee, others are illegal.","The figure of 8% on asylum seekers is real. I understand the point, but there are different types of international protection that increase the number of those entitled.",Fact-Checking,MIGRANTS
97,516,Gypsies like living in trailer parks.,"The trailer parks should really be a temporary and emergency solution, but then they become stable over time and are the only possibility of accommodation for them even if they would like to live, like all of us, in adequate housing.","Positive Tone, Empathy, and Affiliation",other
98,517,Gypsies are the ones who want to stay in the slums,From what I know only a minority of the Gypsy population live in shanty towns.,Fact-Checking,other
99,526,"If they are nomads, they should stay nomadic.","Not recognising people's right to live as they prefer and to improve their lifestyle, such as housing or occupations, only causes an increase in crime.",Warning of Consequences,other
100,527,"If they are nomads, they must be nomadic","Many Gypsies are Italian citizens and live in normal houses, those in the trailer parks find it hard to integrate because they are marginalized",Fact-Checking,other
101,532,Gays are just sick. It is an abomination,Homosexuality is not a disease. The World Health Organization has eliminated it from the list of diseases many years ago.,Fact-Checking,LGBT+
102,540,Gypsies are dirty,Hygienic services are often lacking and the communities themselves remain isolated.,Fact-Checking,other
103,545,migrants rape our women.,Reports to the violence centers show that women are also raped by 'our' natives.,Pointing Out Hypocrisy or Contradictions,MIGRANTS
104,554,migrants rape our women.,"Unfortunately, violence against women is a social plague without colour. You think most of the rapes in Italy are committed by Italian men, who are often their partners.",Pointing Out Hypocrisy or Contradictions,MIGRANTS
105,560,"Gays are spreading AIDS all around the world because they are promiscuous and fornicate with strangers, and they lie when they want to donate blood.","There is little to no reason for them to do so; if they wish to donate blood, evidently they have a degree of care about others. Lying would contradict the very reasons they might want to donate.Homophobic statements rarely make much sense.",Denouncing,LGBT+
106,566,Gays are dangerous: they are spreading AIDS all around the world because they are promiscuous and fornicate with strangers!,"Only questionnaires and history of sexual contact should identify a donor as safe or unsafe, not their sexual preferences.",Fact-Checking,LGBT+
107,567,Faggots are perverts and want to indoctrinate our children. Let's ban them from schools!,"A ban for gay men merely propagates homophobic stereotypes, and so are you with what you are suggesting.",Denouncing,LGBT+
108,571,Allowing gays to donate blood compromises patient safety because they are having unprotected anal sex all the time.,"Did you know that women also engage in unprotected 'anal sex'? Additionally, approximately 2% of heterosexual men have admittedly had a same sex partner, and 39% of homosexual men have had sex with a partner of the opposite sex. Therefore, it cannot be ignored that heterosexual are correlatively high risk.",Fact-Checking,LGBT+
109,574,Allowing gays to donate blood compromises patient safety because of their sexual behavior that spreads diseases such as HIV.,"Did you know that out of people receiving HIV care (for example in the UK), 48% were exposed through sex between a man and a woman, and 47% were exposed through sex between men? The fact is that heterosexual HIV transmissions outweigh those between homosexuals, and yet heterosexual people are not banned from donating blood. [link]",Pointing Out Hypocrisy or Contradictions,LGBT+
110,581,Gays are dangerous: they are spreading AIDS all around the world because they are promiscuous and fornicate with strangers!,"Age, Race, and Gender are categories that take precedence over Homosexuality. This is since such categories include both homosexual & heterosexual individuals; and are therefore higher risk categories than Homosexuality alone...",Fact-Checking,LGBT+
111,583,Allowing gays to donate blood compromises patient safety because of their sexual behavior. We should stop them.,"You know what? We can also grade blood packs based on their ""risk"". This allows the optional use of high-risk blood in case of a shortage.","Positive Tone, Empathy, and Affiliation",LGBT+
112,588,"If feminism were really about equality, they would call their movement ""equalism"" or some similar crap.","Sometimes we must go beyond ""technical equality"" and give protections to one gender that the other simply does not need.","Positive Tone, Empathy, and Affiliation",WOMEN
113,589,"If feminism were really about equality, they would call their movement ""equalism"" or some similar crap.","Equalism would mean the movement for equality in general. Feminism is focused on gender. Animal rights, gay rights, anti-racism, sexism, etc. are separate issues inside the movement for equality.",Fact-Checking,WOMEN
114,597,Woman and feminist do not want equal rights and opportunity: they aretrying to take over society.,"I'm sorry, but this is wrong. Feminism - the theory of the political, economic, and social equality of the sexes - is by definition about equality, first and foremost.",Fact-Checking,WOMEN
115,599,"Women are hypocrite, they say they want equal rights, but then why they don't call it egalitarianism instead of Feminism?","Since the movement is meant to achieve equality for the oppressed female population, it is called the movement for women: FEMinism. But of course the outcome will be equality.!",Fact-Checking,WOMEN
116,601,"Children with Down Syndrome are a burden to society: they should be isolated, so that at least they do not hamper normal children's education.","Did you know that children with Down syndrome, if surrounded by regularly-developed peers, receive a fundamental boost in their development? This ""mix"" fosters a positive learning atmosphere and increases engagement and attention in all students. This mean that children with Down syndrome would be a burden to society if isolated, not the contrary.","Positive Tone, Empathy, and Affiliation",DISABLED
117,603,Children with Down Syndrome are a problem: they foster bullying behavior in normal children. They should go to special school just for them.,"If teachers and parents intervene and educate appropriately, the response could be one more of empathy than of antagonism and bullying. Don't you think? Isn't your comment just classic victim-blaming?",Denouncing,DISABLED
118,605,Children with Down Syndrome may hinder the development process of other children. They should be isolated.,"Coexisting and studying with handicapped children helps develop sensitivity, insight and understanding","Positive Tone, Empathy, and Affiliation",DISABLED
119,606,Children with Down Syndrome may hinder the development process of other children. They should be isolated.,Children would develop greater empathy and understanding of human differences if they are allowed to interact instead of being separated.,Fact-Checking,DISABLED
120,607,Children with Down Syndrome may hinder the development process of other children. They should be isolated.,"An inclusive system makes every child feel part of a community, it fosters a positive learning atmosphere and increases engagement and attention in all students. Thus it is a benefit for all students. [link]",Fact-Checking,DISABLED
121,610,"Children with Down Syndrome should be isolated, not only they are a burden to normal children but also cannot cope with education in normal schools.","There are various levels of Down syndrome. Some are suitable for education with other children in ""normal schools"".",Fact-Checking,DISABLED
122,611,"Children with Down Syndrome should be isolated, not only they are a burden to normal children but also cannot cope with normal education.","Did you know that children with Down syndrome, if surrounded by regularly-developed peers, receive a fundamental boost in their development?",Fact-Checking,DISABLED
123,612,"Children with Down Syndrome should be isolated, not only are they a burden to normal children but they also need much more care, attention and extensive therapy, making the whole undertaking very costly and time-consuming. This time could be used for the further development of children without Down syndrome.","Coeducation with regularly-developed kids is a much better investment and reduces cost, time and effort into the bargain.",Fact-Checking,DISABLED
