source,HATE_SPEECH,COUNTER_NARRATIVE,Matched_counterSpeech
intentconan,We began to break down when we allowed women to vote/meddle in the civilization that we built and maintained for thousands of years. A completely different energy and thought pattern. They are weak and bring our society down to their emotionally soft level.,"who is 'we', surely it was men and women working together that built civilisation? why is it you think being 'soft' is a problem? everyone is entitled to their emotions, and men shouldn't have to 'man up'.","who is 'we', surely it was men and women working together that built civilisation? why is it you think being 'soft' is a problem? everyone is entitled to their emotions, and men shouldn't have to 'man up'."
intentconan,"Jews like to cordon off areas for themselves, where no jew is allowed to go, while simultaneously having their judges fill white neighbourhoods with social housing.",which suggests that white people like to cordon off areas for themselves...,which suggests that white people like to cordon off areas for themselves...
intentconan,Minorities vote to strip wealth and power from White people and they are organised to do this by the J*ws.,where is your evidence?,where is your evidence?
intentconan,"Israel, Zionism and Jewish Supremacist control of America are the main causes of terrorism, instability and conflict in the world. All other theories are diversions from this ultimate truth.",where are the facts?,where are the facts?
intentconan,"Israel, Zionism and Jewish Supremacist control of America are the main causes of terrorism, instability and conflict in the world. All other theories are diversions from this ultimate truth.",where are the facts?,where are the facts?
intentconan,"The Jews did: USS Liberty Attack, the King David hotel attack, New York 9/11, London 7/7",where are the facts?,where are the facts?
intentconan,"The Jews did: USS Liberty Attack, the King David hotel attack, New York 9/11, London 7/7",where are the facts?,where are the facts?
intentconan,"Zionist extremists conspire in Jerusalem. Their objectives are to cause chaos, carnage, murder, create more refugees, and destroy Europe.",what's your proof for claiming this?,what's your proof for claiming this?
intentconan,What if our entire ruling class consisted of J-controlled paedophiles? That would explain a lot.,what would it explain? this comment is very vague i wonder if you have any facts that make you wonder this.,what would it explain? this comment is very vague i wonder if you have any facts that make you wonder this.
intentconan,Global Jewry did not want Brexit and are doing everything they can to sabotage it.,what makes you think that? do you have any facts to back this up?,what makes you think that? do you have any facts to back this up?
intentconan,"The Jews did: USS Liberty Attack, the King David hotel attack, New York 9/11, London 7/7",where is the proof of this? looks like assumptions as opposed to facts...,where is the proof of this? looks like assumptions as opposed to facts...
intentconan,"An American Jew, just like a Muslim, is an outsider, loyal to their birth tribe, posing as a member of the in-group in order to subvert cultural, political and social norms. We don’t have to choose, it’s OK to hate them both.",we do have to choose. it's ok to accept them both.,we do have to choose. it's ok to accept them both.
intentconan,"An American Jew, just like a Muslim, is an outsider, loyal to their birth tribe, posing as a member of the in-group in order to subvert cultural, political and social norms. We don’t have to choose, it’s OK to hate them both.","we can choose not to hate, and start to build bridges so we understand each other.","we can choose not to hate, and start to build bridges so we understand each other."
intentconan,"UK Education Secretary: ‘All children from the age of 4 will have mandatory lessons on same sex relationships.’ – This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities.","we are always developing as time goes on and same sex relationships are a part of the world now, why would we not educate our children on different ways of life?","we are always developing as time goes on and same sex relationships are a part of the world now, why would we not educate our children on different ways of life?"
intentconan,"Who the fuck are you? We are gutful sick of Vagina Misandrists trying to undermine White powerful makes, when they themselves are just envious, incompetent and useless.","undermine or speak their mind? yes, women have minds and they work just as well as men's.","undermine or speak their mind? yes, women have minds and they work just as well as men's."
intentconan,"The UK Government recently published a paper on ‘Online Harms’ – in other words they are going to be working with Jewish and Muslim anti-hate organisations to censor the Internet. (Referring to Tell Mama, CST and Stop Hate UK)",to work with people from different backgrounds and different opinions is promoting free speech. if there wasn't free speech for everyone you couldn't express how you feel.,to work with people from different backgrounds and different opinions is promoting free speech. if there wasn't free speech for everyone you couldn't express how you feel.
intentconan,Since when has abusing the anus as a sex organ been a ‘monumental achievement’? THIS IS STATE ENFORCED HOMOSEXUALITY! Maybe we should change our motto to ‘In Usury and Sodomy we trust (In reply to Botswana decriminalising homosexuality),to recognise and accept practices that we don't take part in isn't state inforcement. it's just stating facts and stopping persecution of people who have different preferences.,to recognise and accept practices that we don't take part in isn't state inforcement. it's just stating facts and stopping persecution of people who have different preferences.
intentconan,"This is why women do not belong in politics, if a man complained like them, he’d be called a coward and told to get the hell out of the job. Equality is a lie and feminism is a death sentence for any civilisation.","to have a more positive political environment, inclusivity and representation of all types of people is necessary, therefore women do belong in politics","to have a more positive political environment, inclusivity and representation of all types of people is necessary, therefore women do belong in politics"
intentconan,Pakistan: 202 Million Nigeria: 193 Million Bangladesh: 165 Million Ethiopia: 107 Million Congo: 84 Million Great Britain: 66 Million  'Ethnic minorities' Don’t make me fucking laugh!,"this is correct, but their percentage of the population within great britain makes them a minority","this is correct, but their percentage of the population within great britain makes them a minority"
intentconan,"UK Education Secretary: ‘All children from the age of 4 will have mandatory lessons on same sex relationships.’ – This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities.","this is about teaching children about the world they live in, and helping them get on with others.","this is about teaching children about the world they live in, and helping them get on with others."
intentconan,Pakistan: 202 Million Nigeria: 193 Million Bangladesh: 165 Million Ethiopia: 107 Million Congo: 84 Million Great Britain: 66 Million  'Ethnic minorities' Don’t make me fucking laugh!,"these groups tend to be a minority in britian. either way, everyone deserves respect and protection and human rights.","these groups tend to be a minority in britian. either way, everyone deserves respect and protection and human rights."
intentconan,Pakistan: 202 Million Nigeria: 193 Million Bangladesh: 165 Million Ethiopia: 107 Million Congo: 84 Million Great Britain: 66 Million  'Ethnic minorities' Don’t make me fucking laugh!,"these are numbers of residents in countries, not ethnic grouping.","these are numbers of residents in countries, not ethnic grouping."
intentconan,"Took this in Wanstead, east London. An area with £1m+ houses. Beggars on the high st & someone sleeping on a bench. We cannot house our own people but bring in millions more. To point out that homelessness is due to uncontrolled immigration is to be smeared as 'racist. (Caption to a photo of a homeless person sleeping on a part bench)",there are more than enough empty homes in this country right now to house every single homeless person. there is also more than enough wealth in this country to build new homes. we can house our ‘own people’ but the government chooses not to. homelessness is an issue of wealth inequality not migration – if you genuinely care about poverty issues like homelessness you need to be questioning power structures and wealth distribution.,there are more than enough empty homes in this country right now to house every single homeless person. there is also more than enough wealth in this country to build new homes. we can house our ‘own people’ but the government chooses not to. homelessness is an issue of wealth inequality not migration – if you genuinely care about poverty issues like homelessness you need to be questioning power structures and wealth distribution.
intentconan,"When you animals have ruined the world and are eating each other, because that’s all you are good for, we’ll still be here, keeping our bloodlines pure against all the odds, regretting the day we heeded the womenfolk and took our heels off your throats.",the womenfolk appear to have wisdom and not a little heart.,the womenfolk appear to have wisdom and not a little heart.
intentconan,Maybe the UN could talk to those asian and african nations responsible for 90%+ of the pollution in the oceans' instead of insisting on this bullshit about climate change.,"the us is the second most polluting country in the world - as the world’s biggest industrial and commercial power. we are all to blame here and need to work hand in hand to create sustainable change, as opposed to pointing the finger to others.","the us is the second most polluting country in the world - as the world’s biggest industrial and commercial power. we are all to blame here and need to work hand in hand to create sustainable change, as opposed to pointing the finger to others."
intentconan,Their power to have movies banned and directors censured is proof that the Jews control Hollywood.,"the ultra rich people in this industry - jewish or not - have the power and influence. not sure where you got your facts from regarding jewish people ""controlling"" hollywood.","the ultra rich people in this industry - jewish or not - have the power and influence. not sure where you got your facts from regarding jewish people ""controlling"" hollywood."
intentconan,The feminists have won. With so many women being unwilling to procreate we will be replaced and lose out civilisation.,"the term 'feminism' is fighting for equal rights of all sexes, you may find that you too identify as a feminist. maybe try some of the following sites to find out more on how the feminist movement can benefit you: feminist.com, read more on the 'man up campaign' on mind.org.uk","the term 'feminism' is fighting for equal rights of all sexes, you may find that you too identify as a feminist. maybe try some of the following sites to find out more on how the feminist movement can benefit you: feminist.com, read more on the 'man up campaign' on mind.org.uk"
intentconan,"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.",the patriarchy is not man's friend. boys and men are told to be tough and to bear many burdens without being able to show any emotions or to talk about their struggles. this has led to great levels of suicide amoungst men. it is a question of survival and happiness to accept our differences and similarities and to work together.,the patriarchy is not man's friend. boys and men are told to be tough and to bear many burdens without being able to show any emotions or to talk about their struggles. this has led to great levels of suicide amoungst men. it is a question of survival and happiness to accept our differences and similarities and to work together.
intentconan,The Nazis sucked at killing Jews… everywhere you look there’s a holocaust survivor.,the nazi killing machine was all too efficient. survivors lost so much and braved terror and cruelty. they should be celebrated.,the nazi killing machine was all too efficient. survivors lost so much and braved terror and cruelty. they should be celebrated.
intentconan,The Nazis sucked at killing Jews… everywhere you look there’s a holocaust survivor.,the murder of around 6 million jews shows the scale of the genocide. this is 6 million more than should have ever happened.,the murder of around 6 million jews shows the scale of the genocide. this is 6 million more than should have ever happened.
intentconan,"The’ Holocaust’ is a business. It has been and is still used to extort millions from European countries in reparations and to create a wall of impunity behind which Jews can operate with impunity, free from criticism.","the jews suffered horribly in the holocaust, as did many other groups.reparation is a small step to enable suffering people to rebuild their lives. common humanity, surely?","the jews suffered horribly in the holocaust, as did many other groups.reparation is a small step to enable suffering people to rebuild their lives. common humanity, surely?"
intentconan,"The UK Government recently published a paper on ‘Online Harms’ – in other words they are going to be working with Jewish and Muslim anti-hate organisations to censor the Internet. (Referring to Tell Mama, CST and Stop Hate UK)",the internet has become a shouting platform for people's hateful views. of course something needs to be done since people don't seem able to moderate their words themselves.,the internet has become a shouting platform for people's hateful views. of course something needs to be done since people don't seem able to moderate their words themselves.
intentconan,The Nazis sucked at killing Jews… everywhere you look there’s a holocaust survivor.,"the holocaust was hugely tragic, and we are blessed to have holocaust survivors to hear from. they tell an important story that we must learn from.","the holocaust was hugely tragic, and we are blessed to have holocaust survivors to hear from. they tell an important story that we must learn from."
intentconan,"Race is a social construct, and if you see any difference between these two women, it’s because you have a mental illness. [image showing a blonde, European female athlete, juxtaposed against an image of an African woman wearing a lip plate]","the difference between these two individuals has nothing to do with race or gender, it is individual lifestyle and cultural difference.","the difference between these two individuals has nothing to do with race or gender, it is individual lifestyle and cultural difference."
intentconan,"UK Education Secretary: ‘All children from the age of 4 will have mandatory lessons on same sex relationships.’ – This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities.","teaching children that there are different ways to be happy, and that their feelings are valid is something i totally agree with.","teaching children that there are different ways to be happy, and that their feelings are valid is something i totally agree with."
intentconan,"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.","soft and emotional? you must have never heard of the likes of rosa parks, emmeline pankhurst and florence nightingale, then.","soft and emotional? you must have never heard of the likes of rosa parks, emmeline pankhurst and florence nightingale, then."
intentconan,"Women are basically childlike, they remain this way most of their lives. Soft and emotional. It has devastated our once great patriarchal civilizations.","soft and emotinal' are personality traits, may i sugesst you read up on the #heforshe movement that works for equal rights for men and women, and aims to stop the stigma around men showing emotions.","soft and emotinal' are personality traits, may i sugesst you read up on the #heforshe movement that works for equal rights for men and women, and aims to stop the stigma around men showing emotions."
intentconan,Pakistan: 202 Million Nigeria: 193 Million Bangladesh: 165 Million Ethiopia: 107 Million Congo: 84 Million Great Britain: 66 Million  'Ethnic minorities' Don’t make me fucking laugh!,since when was great britain an ethnic group? or pakistan for that matter. or nigeria...etc,since when was great britain an ethnic group? or pakistan for that matter. or nigeria...etc
intentconan,"UK Education Secretary: ‘All children from the age of 4 will have mandatory lessons on same sex relationships.’ – This is not about Education, this is about willingly confusing and indoctrinating kids and preventing them from developing their personalities.","same sex relationship happen within many species of animals and we are no exception. might as well inform people about things that happen in nature - that's the point of education, to learn about the world.","same sex relationship happen within many species of animals and we are no exception. might as well inform people about things that happen in nature - that's the point of education, to learn about the world."
intentconan,"The UK Government recently published a paper on ‘Online Harms’ – in other words they are going to be working with Jewish and Muslim anti-hate organisations to censor the Internet. (Referring to Tell Mama, CST and Stop Hate UK)","sadly people need censoring, to stop them spreading hate,.","sadly people need censoring, to stop them spreading hate,."
intentconan,Since when has abusing the anus as a sex organ been a ‘monumental achievement’? THIS IS STATE ENFORCED HOMOSEXUALITY! Maybe we should change our motto to ‘In Usury and Sodomy we trust (In reply to Botswana decriminalising homosexuality),respect for people who are different from us and not harming anyone with their private activities is a monumental achievement in any country with a history of oppression.,respect for people who are different from us and not harming anyone with their private activities is a monumental achievement in any country with a history of oppression.
intentconan,The feminists have won. With so many women being unwilling to procreate we will be replaced and lose our civilisation.,replaced by what exactly? i think our population will be fine.,replaced by what exactly? i think our population will be fine.
intentconan,"The’ Holocaust’ is a business. It has been and is still used to extort millions from European countries in reparations and to create a wall of impunity behind which Jews can operate with impunity, free from criticism.","reparation is a historical process and has happened in many contexts. after ww1 when europe wanted massive reperations from germany for example? it's a normal and established process, and when so many people have lost their lives it makes perfect sense.","reparation is a historical process and has happened in many contexts. after ww1 when europe wanted massive reperations from germany for example? it's a normal and established process, and when so many people have lost their lives it makes perfect sense."
intentconan,"The’ Holocaust’ is a business. It has been and is still used to extort millions from European countries in reparations and to create a wall of impunity behind which Jews can operate with impunity, free from criticism.",reparations for an attempt at ethnic cleansing on a huge scale seems reasonable to me...,reparations for an attempt at ethnic cleansing on a huge scale seems reasonable to me...
intentconan,"‘Juice (Jews) are worse that nukes.’ Caption to a meme showing Hiroshima 1945 and present day, contrast against pictures of Detroit in 1945 and present day.’",really? i'd sit with a group of jews any day.,really? i'd sit with a group of jews any day.
intentconan,"Makes me fucking laugh, why shouldn't whites be supreme in a mostly white country? How come nobody is moaning about black supremacy in black countries like Somalia? or Mexican supremacy? Or Indian supremacy? Only we put up with this fucking bullshit.",perhaps the nations that you cite are more accepting of other nationalities.,perhaps the nations that you cite are more accepting of other nationalities.
intentconan,Minorities vote to strip wealth and power from White people and they are organised to do this by the J*ws.,"people who vote for parties which target the most powerful are often mostly concerned about making it financially until the next month. redistributing wealth from people who have way too much money seems fair, not threatening.","people who vote for parties which target the most powerful are often mostly concerned about making it financially until the next month. redistributing wealth from people who have way too much money seems fair, not threatening."
intentconan,I tolerated fag pride. I tolerated fags on tv and in every town square. I draw the line at tranny demons reading books to children. (about drag queen story time),"people reading stories to children, teaching them about the world?","people reading stories to children, teaching them about the world?"
intentconan,"Zionist extremists conspire in Jerusalem. Their objectives are to cause chaos, carnage, murder, create more refugees, and destroy Europe.",or maybe they want their culture to survive.,or maybe they want their culture to survive.
intentconan,I tolerated fag pride. I tolerated fags on tv and in every town square. I draw the line at tranny demons reading books to children. (about drag queen story time),"not sure how reading a book is a problem, sounds pretty nice for the kids.","not sure how reading a book is a problem, sounds pretty nice for the kids."
intentconan,"‘Juice (Jews) are worse that nukes.’ Caption to a meme showing Hiroshima 1945 and present day, contrast against pictures of Detroit in 1945 and present day.’","not quite sure i agree, i have never felt threatened by a jewish person, whereas i'm pretty scared of nuclear war.","not quite sure i agree, i have never felt threatened by a jewish person, whereas i'm pretty scared of nuclear war."
intentconan,Since when has abusing the anus as a sex organ been a ‘monumental achievement’? THIS IS STATE ENFORCED HOMOSEXUALITY! Maybe we should change our motto to ‘In Usury and Sodomy we trust (In reply to Botswana decriminalising homosexuality),no-one is forcing anyone into practices they don't want to take part in here.,no-one is forcing anyone into practices they don't want to take part in here.
intentconan,Global Jewry did not want Brexit and are doing everything they can to sabotage it.,"my whole family voted against brexit, and we are not jewish.","my whole family voted against brexit, and we are not jewish."
intentconan,"Jews cannot be patriots, since their allegiance will always be to the state of Israel.","my best friend is jewish, she volunteers to help woman, disadvantages children, and her whole family work to make the uk a better place.","my best friend is jewish, she volunteers to help woman, disadvantages children, and her whole family work to make the uk a better place."
intentconan,The only nation Jews don’t hate is their own and they are flooding Europe with Africans and Muslims.,"my best friend is jewish, she volunteers to help woman, and disadvantaged children, and her whole family work to make the uk a better place.","my best friend is jewish, she volunteers to help woman, and disadvantaged children, and her whole family work to make the uk a better place."
intentconan,Minorities vote to strip wealth and power from White people and they are organised to do this by the J*ws.,minority voices are notoriously ignored.,minority voices are notoriously ignored.
intentconan,What’s the difference between a Cow and the Holocaust? You stop milking the cow after 70 years.,milking it? millions of people suffered during this tragedy,milking it? millions of people suffered during this tragedy
intentconan,Foreigners on UK benefits leaps 41% in 5 years with over 400K now handed payouts. This nonsense has got to stop.,"maybe the reason for such a rise in uk benefit claimants is due to unequal opportunities and lack of job opportunities , and this goes for everyone, not just 'foreigners'.","maybe the reason for such a rise in uk benefit claimants is due to unequal opportunities and lack of job opportunities , and this goes for everyone, not just 'foreigners'."
intentconan,"Makes me fucking laugh, why shouldn't whites be supreme in a mostly white country? How come nobody is moaning about black supremacy in black countries like Somalia? or Mexican supremacy? Or Indian supremacy? Only we put up with this fucking bullshit.","maybe the roots of white supremacy deriving from centuries of mass colonisation, slavery and domination over others, are the reason that white supremacy is such a problem.","maybe the roots of white supremacy deriving from centuries of mass colonisation, slavery and domination over others, are the reason that white supremacy is such a problem."
intentconan,"The UK Government recently published a paper on ‘Online Harms’ – in other words they are going to be working with Jewish and Muslim anti-hate organisations to censor the Internet. (Referring to Tell Mama, CST and Stop Hate UK)",my reading of the online harms bill is that is seeks to ensure that people are able to conduct their lives online and exercise their right to free speech without suffering harm and abuse while they do so.,my reading of the online harms bill is that is seeks to ensure that people are able to conduct their lives online and exercise their right to free speech without suffering harm and abuse while they do so.
intentconan,Maybe the UN could talk to those asian and african nations responsible for 90%+ of the pollution in the oceans' instead of insisting on this bullshit about climate change.,"it’s a simple line to believe that population growth in other places is the cause of climate change and ocean pollution – but really if you think about it, the poorest people aren’t the ones over-consuming resources and pumping out pollution into our oceans. it is right to be worried about our oceans, but we need to be talking about resource-consumption and wealth inequality! question power at the top not the bottom.","it’s a simple line to believe that population growth in other places is the cause of climate change and ocean pollution – but really if you think about it, the poorest people aren’t the ones over-consuming resources and pumping out pollution into our oceans. it is right to be worried about our oceans, but we need to be talking about resource-consumption and wealth inequality! question power at the top not the bottom."
intentconan,"Jews cannot be patriots, since their allegiance will always be to the state of Israel.",it is possible to love one's country and one's religious home. the two are not exclusive.,it is possible to love one's country and one's religious home. the two are not exclusive.
intentconan,Foreigners on UK benefits leaps 41% in 5 years with over 400K now handed payouts. This nonsense has got to stop.,"it is more than 'foreigners' who are asking for help, white british families are the most likely out of all ethnic groups to receive state support, with 57% doing so.","it is more than 'foreigners' who are asking for help, white british families are the most likely out of all ethnic groups to receive state support, with 57% doing so."
intentconan,"Took this in Wanstead, east London. An area with £1m+ houses. Beggars on the high st & someone sleeping on a bench. We cannot house our own people but bring in millions more. To point out that homelessness is due to uncontrolled immigration is to be smeared as 'racist. (Caption to a photo of a homeless person sleeping on a part bench)","is it due to immigration, or the lack of affordable housing, unemployment, poverty, mental illness and the lack of needed services, substance abuse and the lack of services? do i need to go on?","is it due to immigration, or the lack of affordable housing, unemployment, poverty, mental illness and the lack of needed services, substance abuse and the lack of services? do i need to go on?"
intentconan,"Jews cannot be patriots, since their allegiance will always be to the state of Israel.",if you personally had some distant spanish or jewish heritage and you identified more as american surely that doesn't mean that you can't be an american patriot?,if you personally had some distant spanish or jewish heritage and you identified more as american surely that doesn't mean that you can't be an american patriot?
intentconan,Their power to have movies banned and directors censured is proof that the Jews control Hollywood.,"if the jewish community was controlling these kind of industries, they would surely make a high priority of jewish concerns? but there's so many anti-israel narratives in the american media. so this doesn't make sense.","if the jewish community was controlling these kind of industries, they would surely make a high priority of jewish concerns? but there's so many anti-israel narratives in the american media. so this doesn't make sense."
intentconan,"Makes me fucking laugh, why shouldn't whites be supreme in a mostly white country? How come nobody is moaning about black supremacy in black countries like Somalia? or Mexican supremacy? Or Indian supremacy? Only we put up with this fucking bullshit.",i'm not moaning about diversity in the uk when i get a doctor from abroad who is highly competent and allows me to get better - in an nhs which is understaffed and underfunded.,i'm not moaning about diversity in the uk when i get a doctor from abroad who is highly competent and allows me to get better - in an nhs which is understaffed and underfunded.
intentconan,"Jews like to cordon off areas for themselves, where no jew is allowed to go, while simultaneously having their judges fill white neighbourhoods with social housing.",i'd suggest a walk down west london where areas like st john's wood are very affluent with mostly white people living there.,i'd suggest a walk down west london where areas like st john's wood are very affluent with mostly white people living there.
intentconan,The only nation Jews don’t hate is their own and they are flooding Europe with Africans and Muslims.,i wonder how you account for refugees who are fleeing wars and a lack of security for their themselves and their families. wars which are often directly or indirectly caused by western powers who created long lasting problems abroad.,i wonder how you account for refugees who are fleeing wars and a lack of security for their themselves and their families. wars which are often directly or indirectly caused by western powers who created long lasting problems abroad.
intentconan,Must be hard being gay. They have to do everything we do but also find the time to molest children.,child molestors can have any sexual orientations and the majority of straight or gay people are not child molestors. this is an issue that can affect anyone regardless of sexual orientation.,child molestors can have any sexual orientations and the majority of straight or gay people are not child molestors. this is an issue that can affect anyone regardless of sexual orientation.
intentconan,Global Jewry did not want Brexit and are doing everything they can to sabotage it.,i didn't want brexit either and i'm not a jew.,i didn't want brexit either and i'm not a jew.
intentconan,I tolerated fag pride. I tolerated fags on tv and in every town square. I draw the line at tranny demons reading books to children. (about drag queen story time),"i can't say i've ever come across 'fag pride'. gay pride or lgbt+ pride, perhaps?","i can't say i've ever come across 'fag pride'. gay pride or lgbt+ pride, perhaps?"
intentconan,Foreigners on UK benefits leaps 41% in 5 years with over 400K now handed payouts. This nonsense has got to stop.,"i can understand that you’re frustrated – austerity has hit so many of us horribly, but your blame is directed to the wrong people. migrants are statistically less likely to claim benefits, plus they’re not easy to access anyway. most people receiving benefits in the uk are actually in work, direct your anger towards better pay and conditions!","i can understand that you’re frustrated – austerity has hit so many of us horribly, but your blame is directed to the wrong people. migrants are statistically less likely to claim benefits, plus they’re not easy to access anyway. most people receiving benefits in the uk are actually in work, direct your anger towards better pay and conditions!"
intentconan,The only nation Jews don’t hate is their own and they are flooding Europe with Africans and Muslims.,"actually there are also some jews that hate other jews: ""i belonged to europe, to germany, and i thanked my creator that i was german"" - victor klemperer speaking of his experience in ww1, explaining his dislike of russian jews... do you feel better now that we proved that jews hate everybody? #sarcasm","actually there are also some jews that hate other jews: ""i belonged to europe, to germany, and i thanked my creator that i was german"" - victor klemperer speaking of his experience in ww1, explaining his dislike of russian jews... do you feel better now that we proved that jews hate everybody? #sarcasm"
intentconan,"Took this in Wanstead, east London. An area with £1m+ houses. Beggars on the high st & someone sleeping on a bench. We cannot house our own people but we still bring in millions more. To point out that homelessness is due to uncontrolled immigration is to be smeared as 'racist'. (Caption to a photo of a homeless person sleeping on a part bench)",how many people walked by and did nothing? is the problem uncontrolled immigration or indifference of our society?,how many people walked by and did nothing? is the problem uncontrolled immigration or indifference of our society?
intentconan,"Took this in Wanstead, east London. An area with £1m+ houses. Beggars on the high st & someone sleeping on a bench. We cannot house our own people but bring in millions more. To point out that homelessness is due to uncontrolled immigration is to be smeared as 'racist. (Caption to a photo of a homeless person sleeping on a part bench)",homelessness is a very complex issue with no simple answers.,homelessness is a very complex issue with no simple answers.
intentconan,"Makes me fucking laugh, why shouldn't whites be supreme in a mostly white country? How come nobody is moaning about black supremacy in black countries like Somalia? or Mexican supremacy? Or Indian supremacy? Only we put up with this fucking bullshit.",have you considered equality rather than supremacy? seems like a sensible option,have you considered equality rather than supremacy? seems like a sensible option
intentconan,"This is why women do not belong in politics, if a man complained like them, he’d be called a coward and told to get the hell out of the job. Equality is a lie and feminism is a death sentence for any civilisation.",gender equality is the key to a productive household as well as economy overall. to restrict women from entering all spheres of society is to reduce the potential of any country.,gender equality is the key to a productive household as well as economy overall. to restrict women from entering all spheres of society is to reduce the potential of any country.
intentconan,The feminists have won. With so many women being unwilling to procreate we will be replaced and lose out civilisation.,"feminism is about equal rights between men and women, and challenges socially imposed burdens upon both men and women.","feminism is about equal rights between men and women, and challenges socially imposed burdens upon both men and women."
intentconan,What if our entire ruling class consisted of J-controlled paedophiles? That would explain a lot.,explain what exactly?,explain what exactly?
intentconan,Maybe the UN could talk to those asian and african nations responsible for 90%+ of the pollution in the oceans' instead of insisting on this bullshit about climate change.,everyone on the planet has a responsibility towards the climate.,everyone on the planet has a responsibility towards the climate.
intentconan,Maybe the UN could talk to those asian and african nations responsible for 90%+ of the pollution in the oceans' instead of insisting on this bullshit about climate change.,everyone coming together to help climate change will inevitably make a change.,everyone coming together to help climate change will inevitably make a change.
