INDEX,HATE_SPEECH,COUNTER_NARRATIVE,TARGET,VERSION
1152,"Muslims are boring. They are all talk, no action. They speak English, but do nothing.","A lack of information about our fellow Muslim people, their different beliefs and ways of life is a major weakness in your argumentation and should be addressed.",MUSLIMS,V2
2702,Islam is a degenerate and dangerous ideology that is called terrorism.,"I find it hard to accept that Islam is dangerous, when most Muslim have nothing to do with terrorism.",MUSLIMS,V5
1397,All Muslims should be arrested and tried for terrorism.,"Terrorist is the only term you can come up with? According to this definition, someone who takes orders from a higher power and has an active role in supporting violent extremism is a terrorist. To be a Muslim means practicing Islam, not violence.",MUSLIMS,V2
1856,The influx of refugees and migrants is running UK out of jobs.,Many refugees and migrants have worked hard for the success of our country and have created good jobs for British people.,MIGRANTS,V3
3338,"Gays are inherently evil, we cannot accept gays in our community.","I would not say that gays are inherently evil, you need to think carefully about what you are saying.",LGBT+,V6_sbf
1309,It has been proven time and time again that the Jews control the world's governments.,How? Believing that people of a specific religion are in charge of all world's governments sounds like a conspiracy theory.,JEWS,V2
681,Shaming Fatties is just for their good.,Shame is by definition a painful social emotion. Trying to cause that is a form of discrimination. Are you aware of that?,other,V1
4414,"Immigrants are coming in droves to this country, they are the reason we are having so many islamist attacks.","You can't blame all immigrants for the attacks a few carry out. It is easier, but not fair, to blame them all.",other,V6_lab
2769,"Fat people are a drain to our welfare, we should get rid of them.","Being fat is not a crime, but targeting them is.",other,V5
1575,I'm tired of seeing retarded people overrunning this country.,Please stop using ableist slurs. It's not funny to be offensive to people suffering from disabilities.,DISABLED,V3
1053,Do you really want to redefine marriage?,"If you take LGBT peoples rights into consideration, of course the practice of marriage needs to be redefined.",LGBT+,V2
4662,Black people are just like apes in that they have no right to being trated equally.,"Being human is also about having respect for others, and that means being kind and accepting everyone's differences. Why should they be treated differently from you?",POC,V6_mix
2460,I am tired of education being used to help blacks and make them think they are equal to us.,"Education is an essential tool to fight for human rights, free thought, and to promote the scientific method. But it is not enough. It has also been shown by the Pew Research Center that people of colour are more likely to report discrimination in universities.",POC,V4
68,What’s the difference between a Cow and the Holocaust? You stop milking the cow after 70 years.,Milking it? Millions of people suffered during this tragedy,JEWS,V1
889,Tell Mr Soros that he is a parasite on Europe and that the European people is suffering from multiculturalism.,"One day: ""the left has always been dominated by blacks and Latinos"". The next day: ""the left has always been dominated by Zionists"". Please, make up your mind!",JEWS,V2
4397,We have the worst of all groups in the world coming to our country: Muslims.,"We should not categorize people from other cultures, religions and nationalities as 'the best' or 'the worst'. I think it's more useful to think of all people as 'human beings'.",other,V6_lab
4692,Women are not human. They should have no rights,"You should know that women are legally protected with human rights. They are free to live their lives as they wish, and to choose for their own happiness.",WOMEN,V6_mix
3364,Migrants rape our girls and steal our cars.,No one should take migrants' behavior a priori into account. Why don't we try to have a dialogue on how to tackle problems instead of being rude and insulting people?,MIGRANTS,V6_sbf
1678,Migrants are just a bunch of animals who only want to divide us up and replace us with some black people.,"This is a gross stereotype. It is not true that we are racially divided. The majority of our citizens are proud Europeans who have contributed to our economy and culture, whatever their country of origin.",other,V3
4983,"Black people have never been peaceful people, they are always seeking trouble.","You are absolutely right about one thing: there have never been peaceful times for black people during national crises. In these cases, crises have been racially motivated, and racial discrimination was the major factor in instigating violence, not POC.",POC,V6_mix
2313,Jews are just a small group of incompetent kikes.,Jews are one of the most important economic groups in society because of their competence. To suggest otherwise is to be deluded.,JEWS,V4
3045,"You are a disgusting piece of sh*t, probably raised by gay, retarded faggots.",Hate can not be a reaction to someone's sexuality. The fact that someone may be gay is their own business and does not mean that they are disgusting.,LGBT+,V6_sbf
4294,Women don't have the right to vote in the US.,The right of people to vote is enshrined in the US constitution and is guaranteed for men and women equally.,WOMEN,V6_lab
3731,"This entire nation should be a men's dominated club. If a woman does not want to be treated as a woman, then she is a bitch.",Would you live in a female dominated society? Then you can understand why we should aim for equality. It is a woman's right.,WOMEN,V6_kc
4797,Migrants are so lazy they don't even use public transportation.,"This is not true! Many migrants try to get on the bus, but some aren't allowed to get on! We must reflect on this.",MIGRANTS,V6_mix
984,Jews make too much money.,"This statement indicates a certain social bias against Jews that has nothing to do with the amount of money they earn, but with their religion.",JEWS,V2
1283,immigrants are a drain on society,The overwhelming majority of immigrants in the US are contributing to our economy through employment. Why should we discriminate against them based on their nationality?,MIGRANTS,V2
1034,Immigrants don't pay the tax because they are dishonest.,Immigration is a source of substantial revenue to states. A study from 2002 shows that there are several immigrant groups that pay a substantially higher percentage of their income on top of the taxes they would normally be eligible for.,MIGRANTS,V2
3397,Immigration is the cause of terrorism.,"It depends on who you ask. For example, there are many Muslims who have helped fight for our country and defend us from terrorist attacks.",MIGRANTS,V6_sbf
2085,Jews are not religious people because they chose a self-centered lifestyle.,One's choice of lifestyle does not define whether they are religious or not.,JEWS,V4
2655,All Muslims are incompatible with any Western society.,The overwhelming majority of Muslims live in Western societies. They are our fellow citizens.,MUSLIMS,V5
3942,Muslims are just a bunch of criminals.,"Are you suggesting that all Muslims are criminals, or do you think that there are particular Muslims that are more inclined to be criminals?",MUSLIMS,V6_kc
4457,All blacks are rapists.,Do you know the data? How about considering that you are generalizing a little bit too much?,POC,V6_lab
2007,Jews are not legitimate members of this country.,Jews are part of this country and they have every right to claim citizenship.,JEWS,V4
1893,Islam is a myth and every Muslim is a terrorist.,There is no proof that the Quran is a religion of terrorism.,MUSLIMS,V3
58,Minorities vote to strip wealth and power from White people and they are organised to do this by the J*ws.,"People who vote for parties which target the most powerful are often mostly concerned about making it financially until the next month. Redistributing wealth from people who have way too much money seems fair, not threatening.",JEWS,V1
1569,Women are little more than objects to be dominated by men.,I am tired of seeing women being treated as sex objects. It's about time that women are given the respect they deserve.,WOMEN,V3
2660,All Muslims are incompatible with any Western society.,"There is no evidence that Muslim have any incompatibility with Western society. Instead, they are a part of Western society since the beginning.",MUSLIMS,V5
737,Another rapist from Pakistan. We should deport them all back to their disgusting country.,What have 'all' Pakistani people done to deserve deportation? Sweeping generalisations like this are divisive and fuel false fearmongering around migrants.,MUSLIMS,V1
3706,How come nobody is moaning about black people being lazy and unmotivated? They are the problem.,"Discrimination, being based on the difference between a person's skin color shouldn't be a part of our lives. Wouldn't you find such unequal treatment affects your motivation?",POC,V6_kc
2160,We are being invaded by Muslims and I hate that.,What is being invaded? You should check the statistics on Islamic migrants.,other,V4
3515,People who are autistic are a problem: why shouldn't they be isolated?,"I think that it is important for all people to be exposed to and to understand people with different needs and strengths, and the same should be true for autistic people.",DISABLED,V6_kc
1716,Islam is a violent religion and an ideology of conquest.,"How can you say anything like that? Do you think that whatever you want to say, such as Islam is violent, the Bible is violent, or any other religion is violent, is OK as long as it is not opposed to the truth of the religion you profess?",MUSLIMS,V3
1790,"A woman's place is with her husband or her family, and feminists can't change that.","It is important to point out that feminists are not attacking the family, they are attacking the inequality society, so feminism is not so much anti-marriage as anti-oppression.",WOMEN,V3
4313,The responsibility for disability lies with the individuals who are not giving them enough support.,Social services can't pay for everything. But what about the people who have to live with disability? Is their fault as well?,DISABLED,V6_lab
1446,"Women provoke men, first they want to have sex with men and then start whining about it. When they regret their choice, it is not our fault.","The rapes of many women by men would not have happened if it was enough to understand that ""no means no.""",WOMEN,V2
3025,Jews are a problem in many European countries because of their race and religion.,Jews are not a problem in European countries because of their religion. Why would they be a problem?,JEWS,V6_sbf
4726,"We don't discriminate, but disabled persons are lazy.","Despite what you may hear, there is no 'lazy person's lobby'. Instead, there is evidence that discrimination is a problem in the UK. All people have the right to be treated as equals in society, regardless of their ability.",DISABLED,V6_mix
3163,"Blacks are born subhuman, incapable of feeling love.","Are you saying that blacks cannot feel love? This is about human dignity, not the colour of their skin.",POC,V6_sbf
1649,"Immigration is the means by which our jobs are stolen by foreigners, and this impacts on low-income families.","Immigration doesn't mean letting people in to steal our jobs, but rather, respecting people's right to live and work in the country they choose.",MIGRANTS,V3
4284,Women must learn to be submissive to men.,"Not only is this not true, it is against human rights to say someone must be 'submissive' to others.",WOMEN,V6_lab
205,Jews control the u.s. government and have a secret plot to take over the world,"The reality is much simpler. In societies like the United States, that have extended rights and freedoms, individuals who identify as Jews have succeeded. But this holds for any other religious or ethnic group as well.",JEWS,V1
1237,Feminism is a set of rigid political and moral prescriptions and the result is that women are either subservient to the men in power or that they are subhuman.,Don't lie to yourself: patriarchy is a system of ideas that is oppressive and harmful to all. Feminism means to fight for equal rights for women and for men.,WOMEN,V2
3689,Anita Hill is a tool for advancing black supremacy.,"Anita Hill is a survivor of a sexist and racist culture. She is a person who is proven by her accomplishments, not by her sex or skin colour.",POC,V6_kc
4813,Migrants from Muslim countries are a problem.,Many Muslim refugees come here to escape war and poverty. They do not pose a problem for us.,other,V6_mix
4126,Jews are not part of this society and they should not be accepted here.,"We are a diverse society, so why shouldn't we be proud of being inclusive towards other religions?",JEWS,V6_lab
2464,"I am not a racist, but many races means many cultures. This leads us to great confusion.",Let us not become ethnocentric. Cultural relativists argue that there are many cultures on this planet and they all need our tolerance. Why is yours better?,other,V4
3343,We cannot allow transgender ideology to take over our country.,This is just another example of an offensive conspiratorial talking point. This is about persecuting a minority. Not my idea of a democratic country.,LGBT+,V6_sbf
2165,The European world is being overrun and replaced by immigrants and Muslims.,These immigrants are not replacing Europeans. Maybe you should check some statistics.,other,V4
2975,Islamic woman are beneath contempt and ridicule.,"Even if they are from a different culture, they are not inferior to us.",other,V5
82,Global Jewry did not want Brexit and are doing everything they can to sabotage it.,I didn't want Brexit either and I'm not a Jew.,JEWS,V1
1960,Blacks are inherently violent. We need social cleansing.,"Violent acts are committed by only a small minority of citizens, and it is difficult to see how an ""ethnically cleansed"" society would solve the problem.",POC,V3
4709,"Mentally disabled folks deserve to be attacked, used, beaten.","It is difficult to imagine doing this to the meanest person in the world, let alone someone with mental disabilities that are not their fault.",DISABLED,V6_mix
1111,Jews love to gamble.,Are you aware of the probability that a Jewish person will play in a betting pool? In Jewish culture there is not a positive view of the practice.,JEWS,V2
4303,Some people are sick. Some people have disabilities. Don't you think they shouldbe hidden away from us?,To exclude people from a society is to practice a form of discrimination that benefits no one.,DISABLED,V6_lab
834,The world would be a better place without Muslims. They are only killing and raping our children.,"Most children abuse is by someone they know, a relative, family friend, sports coach, some one in a position of trust and authority. If you really cared about children check your facts instead of creating distractions.",MUSLIMS,V1
62,"‘Juice (Jews) are worse that nukes.’ Caption to a meme showing Hiroshima 1945 and present day, contrast against pictures of Detroit in 1945 and present day.’","Not quite sure I agree, I have never felt threatened by a Jewish person, whereas I'm pretty scared of nuclear war.",JEWS,V1
1029,The goverment is making law exclusively for black people. Affirmative action is just a tool for oppressing white people.,"Laws and policies are usually necessary for the progress of society. Governments often create laws and policies to stop crime, protect against poverty, protect the environment, etc. Protecting minorities is no exception.",POC,V2
100,Their power to have movies banned and directors censured is proof that the Jews control Hollywood.,"Censure and banning protect the vulnerable from seeing harmful content. Not such a bad thing, whoever does it.",JEWS,V1
2792,Jews are responsible for the 9/11 attacks.,I don't think this idea is true: since the 9/11 attacks were committed by al Qaeda extremists it doesn't seem fair to blame Jews.,JEWS,V5
3283,Gypsies steal our cars and trucks.,Where is the evidence for this? Do you have any?,other,V6_sbf
3168,Black people are just a bunch of animals that shouldn't exist in our world.,"Humans are born equal, and we all have the potential to be just as good as we want to be. Why do you think that some people are not human?",POC,V6_sbf
393,migrants steal our jobs,"Without the work they allegedly ""steal"" you would not have the tomato sauce for your pasta",MIGRANTS,V1
3967,"Black people are the real racists. They say they want equality, but they actually want to give preference to black people.","The issue here is equality. Equality between people is a right, and it is bestowed on the whole society. It has to be respected.",POC,V6_kc
3172,African women are nothing but objects to be dominated by the will of their dominant male.,"They are humans with human rights, and must therefore be treated with respect. Or is skin color making any difference?",other,V6_sbf
278,Jews control the u.s. government and have a secret plot to take over the world,"Individuals who identify as Christians, or as Muslims, or as afro-american have succeeded as well in US politics. There is no secret Jews conspiracy to rule the world.",JEWS,V1
270,Jew merchants are just a bunch of crooks.,"According to Jewish law, the seller must ensure that transaction is not a rip-off for the buyer. This is in contrast with the widespread 'Roman' rule of commerce, which puts the burden on the buyer to be wary of the seller.",JEWS,V1
3862,"Jews are the enemy of the West, they have corrupted the minds of our children.",Jews were persecuted and killed for centuries. It is dangerous to claim such a thing.,JEWS,V6_kc
1023,Now we can't use the N-word anymore. This political correctness is killing our culture.,"If it's a cultural issue then they should teach about the N-word only in history classes. Otherwise, it's just another excuse to justify racism.",POC,V2
93,Maybe the UN could talk to those asian and african nations responsible for 90%+ of the pollution in the oceans' instead of insisting on this bullshit about climate change.,Everyone coming together to help climate change will inevitably make a change.,other,V1
602,Children with Down Syndrome are a problem: they foster bullying behavior in normal children. They should go to special school just for them.,"If you think that taking all of the kids with DS out of mainstream education will solve the problem, then you are wrong. Bullying won't go away until we refuse to tolerate it. Bullies will simply target other kids who are overweight; a different colour; or in a number of other ways considered to be different and, thus, a mark for bullying.",DISABLED,V1
3965,"I don't like niggas, they are just a bunch of criminals and thieves.","Maybe you should check your own feelings. Moreover, if you are concerned about our country's security, you should carefully check crime statistics first.",POC,V6_kc
618,"People with Down Syndrome should be given special and simple jobs, that they can do by themselves. At least they will not hamper normal people's productivity.","People with Down syndrome, when supported by colleagues receive a fundamental boost to their productivity? This ""mix"" also fosters a positive working atmosphere and increases engagement and attention in all workers.",DISABLED,V1
226,Jews think they are better than everyone else,"Jews, like most religious groups, are proud of their heritage and identity. . Jews interpret the “chosen people” idea as an ethical responsibility to keep the 613 commandments of the Torah. All sects of Judaism adhere to this view, but this has nothing to do with notions of superiority.",JEWS,V1
3818,Violence in our streets is niggers' fault.,"There are many communities of colour that experience high rates of violence, coming from both inside and outside the community. As such, the issue is very complex, and it is only through dialogue and building trust that we can tackle the systemic issues that contribute to violence, but violence cannot be ascribed to one race alone.",POC,V6_kc
3754,Jews run the world.,"The idea that Jews are supposed to run the world is completely baseless. Since the dawn of time, there have been Jewish leaders in business and politics, exaclty like Christians and Muslim ones.",JEWS,V6_kc
4282,"If only society accepted that women aren't human, like we are, they would understand.","In order to accept that women are human people, society has to acknowledge that they are born that way, just as men are born like that. It makes no sense to blame someone for their gender.",WOMEN,V6_lab
3564,"We should start a witch hunt against those LGBT people, they are just creating troubles.","Those are harmful words to use, don't you think? How would a witch hunt be acceptable in a democratic society?",LGBT+,V6_kc
4178,"Immigrants come here to make our lives harder, they are not welcome here.","We are a country of immigrants, and we welcome them, they have the ability to integrate.",MIGRANTS,V6_lab
3303,Asians are basically just a bunch of slobs and I don't like how they are accepted here.,"There is a wide range in income and education, as well as religious and ethnic background, amongst people from Asia. What exactly is the reason why you don't like them all?",other,V6_sbf
1352,All Muslims should be deported.,Islam does not pose a security risk to this country. It's the reason why the UK and the EU are not falling apart.,MUSLIMS,V2
1166,"We have to stop Muslims infiltrating, and replacing us. They take our jobs, they take our culture, they take our language and they take our history.",We can protect our culture and heritage by not perpetuating discrimination and inequality as well.,MUSLIMS,V2
4575,Gay people should be banned from schools.,"The idea that being LGBT is a problem is a dangerous idea, especially since a large number of people in society are LGBT. Therefore, I believe that if there is a problem in schools it's better addressing it, rather than banning LGBT people.",LGBT+,V6_mix
1402,"Islam is nothing but a Religion of Terror, full stop.","Still, I think we all should get to learn more about Islam, full stop.",MUSLIMS,V2
2795,Every Jew is a potential terrorist,"The vast majority of Jews are good people, I don't see your point.",JEWS,V5
4710,Mentally disabled people are like monkeys. They should be kept in a mental institution.,"Since we are comfortable with animals in our society, we should consider whether it is fair to put mentally disabled people in a cage like this. Or would you consider disabled a bigger risk even than some aggressive dog breeds that can circulate freely?",DISABLED,V6_mix
7,"Race is a social construct, and if you see any difference between these two women, it’s because you have a mental illness. [image showing a blonde, European female athlete, juxtaposed against an image of an African woman wearing a lip plate]","Women are women the world over, full stop.",POC,V1
4906,"Down syndrome is a problem for everybody, it is a disability that can't be cured. The sooner we get rid of it the better it will be for everybody.","People with Down syndrome should have the chance to live full lives as they wish, without facing this discrimination.",DISABLED,V6_mix
3847,Downies are just sick people who cannot integrate in society because of their disease.,"This is not true, people suffering from conditions like Down syndrome can still help and contribute to society",DISABLED,V6_kc
1463,Niggers are rapists and drug dealers.,"Generalizing in this way, to a community, what happened to some individuals, is pointless. In the same way one could respond: black people are presidents of the United States of America.",POC,V2
310,"Immigrants are overrunning our country, and are here illegally","In 2014 there were circa 11.3 million undocumented immigrants in the U.S., which is a significant decrease from the 12.2 million undocumented immigrants in the U.S. in 2007, and the trend is continuing: Today, in fact, the net migration from Mexico is around zero.",MIGRANTS,V1
869,Someone needs to put those Muslims in a hole in the ground before they start to blow us all up again.,How can you say this about people who do not have anything at all to do with those terror attacks?,MUSLIMS,V1
4202,We should deport all refugees to other countries.,There is no evidence that those fleeing war can find a safe haven in other countries.,MIGRANTS,V6_lab
3292,women are only good for one thing.,I am sure we have heard this many times. But this doesn't make it true.,WOMEN,V6_sbf
1908,"Islam is a death cult, full stop.","Short statements generally fail miserably in describing the rich complexity of any concept, faith or ideology and are often simply a balatant and wilful misrepresentation.",MUSLIMS,V3
724,Fat people are a burden to society because of their unhealthy choices.,"This claim paves the way to body-shaming, and once body-shaming of obese people is normalised, it is difficult to ensure that individual members of society assess the reasons for someone's obesity or carefully consider their exact message before treating it as an unacceptable lifestyle choice.",other,V1
4724,Mentally disabled folks have no understanding.,"You are wrong, they can understand the degrading treatment and derogatory speech towards them.",DISABLED,V6_mix
3674,"The Quran is a mysoginistic book, it encourages rape and violence against women.",Islam is not about oppressing women. Instead it is about love and respect for all human beings.,MUSLIMS,V6_kc
3827,It's OK to be racist and use the n-word. It's ok to be homophobic. All it takes is a common sense attitude.,"It's not okay to be racist and homophobic: you can't go around calling someone racial slurs... And if you claim that you don't think it's a problem, then you also don't seem to have the common sense to know that language is an important part of social interaction, and that would mean that you haven't interacted with people for a long time.",other,V6_kc
4990,Slavery is the only way to go.,"Slavery was legal in the United States until 1862, when the Emancipation Proclamation was issued. Unless you want to start another Civil War, it is better to leave Slavery to the darkest pages in the history of our nation.",POC,V6_mix
2265,African Americans are subhuman and are just a bunch of animals.,"For many African Americans, sharing culture and traditions and striving for equality have always been part of life. They are, in many ways, just like us. They are human beings with the same rights as anyone else.",POC,V4
3573,"It is about time that homosexuals were isolated, isolated from society.","If homosexuals were to be accepted as they are, then perhaps we would begin to see some signs of respect for all human beings.",LGBT+,V6_kc
3603,"Immigrants bring crime, violence and poverty.",How about you start citing the actual studies you are referring to and where this research has been conducted?,MIGRANTS,V6_kc
