INDEX,HATE_SPEECH,COUNTER_NARRATIVE,TARGET,VERSION
2167,"Islam is a violent religion that promotes rape, torture and murder. Islam is not about faith, it is about enmity and war.","If you had to pick one religion to be angry at, why Islam? It seems you don't have good reasons for what you're saying.",MUSLIMS,V4
27,Since when has abusing the anus as a sex organ been a ‘monumental achievement’? THIS IS STATE ENFORCED HOMOSEXUALITY! Maybe we should change our motto to ‘In Usury and Sodomy we trust (In reply to Botswana decriminalising homosexuality),To recognise and accept practices that we don't take part in isn't state inforcement. It's just stating facts and stopping persecution of people who have different preferences.,LGBT+,V1
137,"The’ Holocaust’ is a business. It has been and is still used to extort millions from European countries in reparations and to create a wall of impunity behind which Jews can operate with impunity, free from criticism.","The Jews suffered horribly during WWII, as did many other groups. Reparation is just a simple way to enable survivors to rebuild their lives. It is also a small step toward regaining our humanity.",JEWS,V1
218,Jews control the u.s. government.,Of course there are Jews who have attained positions of influence within the U.S. government. Still Jews are not the only ones who have achieved such positions. Maybe it is better not to rely on an individual’s group membership to determine success or failure. Maybe it is better to look at a person’s success or failure based on his or her individual characteristics.,JEWS,V1
656,Multiculturalism is the death of western societies and also a mortal threat to minorities that are not protected by universal laws.,"Ethnic minorities are much safer in societies where cultural pluralism is accepted, and this is a fact [link].",MIGRANTS,V1
3419,The Quran is not compatible with Western culture.,"The Quran is a book of faith, not a book of hate. How can be a book incompatible with Western culture?",MUSLIMS,V6_sbf
4041,We cannot coexist with immigrants. They are a problem.,"We should not ignore the very real fact that racism and xenophobia exist in our country. In this day and age, it is better to address them.",MIGRANTS,V6_lab
2899,All Muslims are incompatible with any Western society.,"Why would they be 'incompatible'? You may find this offensive, but I find it very worrying that people are closing their countries to strangers based on their religion.",MUSLIMS,V5
291,Jews think they are better than everyone else,"Just for the records: Jews interpret the “chosen people” idea as an ethical responsibility, not as a moral superiority.",JEWS,V1
2426,"Islam is not a religion, it is just a system of governance, incompatible with Western culture.","Countries, not religions, have laws. And the followers of a religion, Muslims in our case, have obligations under those laws as citizens. That's all.",MUSLIMS,V4
12,What’s the difference between a Cow and the Holocaust? You stop milking the cow after 70 years.,We should be respectful and compassionate towards those who suffered in one of the most horrific event in the history of mankind... I think this should be remembered forever!,JEWS,V1
1931,Islam is a death cult: its followers should be banned from many countries.,The vast majority of Muslims are peaceful people. Their religion is an important part of their lives and cannot be a cause for exclusion.,MUSLIMS,V3
1564,"Women are essentially childlike, they remain this way most of their lives. And since feminism is all about equality between the sexes, they must be childlike!","Women are not childlike, this notion is not supported by the facts, at least in my opinion.",WOMEN,V3
2589,We do not accept homosexuals.,What do you mean by 'we'? I don't think we are a nation of heterosexuals.,LGBT+,V5
2841,We have become a nation of immigrants.,How can you be sure that we are a 'nation of immigrants'? Do you have any statistics on that?,MIGRANTS,V5
4082,"I miss the good old days when the West was ruled by whites, and blacks were subjugated.",History shows that people rise up against injustice and oppression. You should be proud to be a member of a civilized society where we are all equal.,POC,V6_lab
2437,"Let's face it fairly. Muslims are a problem in my opinion, they should go back where they came from.","If we exclude them from a country, we are not in a position to treat them fairly.",MUSLIMS,V4
4571,"We should stop gays from being part of our society, they are spreading their illness.","Homosexuality is not a disease and every person in our society should be accepted equally, regardless of their sexual orientation.",LGBT+,V6_mix
916,I wish I live in a country that does not tolerate gay people.,"All countries must abide by the Universal Declaration of Human Rights, right?",LGBT+,V2
3415,Islam is a religion of war.,Islam is a religion of peace. Why do you say so?,MUSLIMS,V6_sbf
857,Muslims have nothing to contribute to our society.,There are lots of positive news stories regarding Muslims.,MUSLIMS,V1
796,Muslims have no place in civilised Europe.,What is wrong with Muslims living in Europe?,MUSLIMS,V1
1892,Islam is a myth and every Muslim is a terrorist.,"It is true that some terrorists are Muslims, but there is no evidence of such a thing in the whole Muslim community.",MUSLIMS,V3
4337,I never understood how anyone could vote for a Jew in that situation. We can't just stand by and watch these Jews run amok in our country.,Why don't you remember those who have been persecuted and killed instead?,JEWS,V6_lab
2665,"Muslim men are rapists because Islam is a complete and total fascist ideology that promotes violent extremism and suggests that women are subhuman, as it is written in the Quran.","Muslim Feminists and other Muslim women's rights supporters don't agree with this. Fatema Mernissi says ""If women's rights are a problem for some modern Muslim men, it is neither because of the Quran nor the Prophet (...)"". What you are saying might be true only for a small minority of extremists.",MUSLIMS,V5
2873,"If Islam is about peace, then why it has killed many peaceful people?",The overwhelming majority of Muslims are not violent people. Who are you talking about then?,MUSLIMS,V5
3542,Jews are perverts and should be isolated.,"It seems to me that you're saying that since Jews have a different religion, they can't assimilate? I think it's important to work on inclusion, instead of stereotyping.",JEWS,V6_kc
486,MIgrants are not running away from wars.,Would you risk your life and that of your children only on a whim? Don't you think that there must be life-or-death situations pushing these person to escape from their countries?,MIGRANTS,V1
4053,The main problem is that these migrants do not want to integrate in our country.,Migrants are welcome to come if they contribute to legal activities and accept our laws. And to my knowledge most of them don't do anything illegal.,MIGRANTS,V6_lab
873,All Muslims are incompatible with any Western society.,"Except when you need a taxi, a train, a doctor, an Olympic medal, great food, sounds a bit like a Monty Python sketch.",MUSLIMS,V1
1613,"There should be laws to punish those LGBT people, they are just creating troubles.","Homosexuals are often persecuted for who they love, which is their own right. This is why the laws and punishments that you suggest are unjust.",LGBT+,V3
3479,Women are less smart.,"I don't think that women are ""less smart"" at anything. Why do you think so?",WOMEN,V6_sbf
1734,All Muslims are incompatible with any Western society.,"I don't understand what you're trying to say by incompatible, since many muslims already live in our society without any problem.",MUSLIMS,V3
1483,Immigrants fail to live up to the standards we hold in our societies.,"Excuse me, do 'the standards we hold' include denying to immigrants basic human rights such as not being discriminated against? Because that is not the notion of equality and morality that I have",MIGRANTS,V2
165,"We have a lot of issues in the UK, and now we are also paying NGOs to rescue migrants. How many other financial scandals still have to be annouonced to the tax payers?",This kind of articles use migrants and benefit claimants as scapegoats in order to hide from the public's attention much bigger scandals. Millionares and coorporations avoiding paying taxes cost much more to the public purse.,MIGRANTS,V1
4015,Jews are poisoning our children with their religion.,Just because someone believes in a religion doesn't mean they are trying to recruit kids into that religion.,JEWS,V6_lab
4042,We should deport all those that do not want to assimilate into Western society.,The reason we have migrants in the first place is because they flee from wars we are responsible for.,MIGRANTS,V6_lab
4409,We are living in a dangerous world because of migrants.,"Migrants are not the problem, they are part of the solution to a number of problems. For example, they are willing to work hard to integrate with us into a modern and democratic society regardless of religion.",MIGRANTS,V6_lab
2330,I don't think that gay people should be allowed to donate blood because it would make them a danger to others.,"Human life is much more worthy than discrimination. If gay people are willing to help, why shouldn't they?",LGBT+,V4
1868,They want to take our country back from us.,"Migrants come here to work, and have a better life.",MIGRANTS,V3
4169,Gay people are a burden to society. They should be made illegal.,"People are to be respected, regardless of their sexual orientation. So why are you saying that they should be discouraged from loving who they wish?",LGBT+,V6_lab
637,Your race determines your role and value in society. That's why some races are just pieces of human waste.,"Perceived value is not necessarily actual value, especially in the eye of someone who bases their judgment on the concept of race.",other,V1
2644,Islam is a violent religion and should be banned from all countries.,"Islam is about believing in god, not about hate.",MUSLIMS,V5
84,Foreigners on UK benefits leaps 41% in 5 years with over 400K now handed payouts. This nonsense has got to stop.,"I can understand that you’re frustrated – austerity has hit so many of us horribly, but your blame is directed to the wrong people. Migrants are statistically less likely to claim benefits, plus they’re not easy to access anyway. Most people receiving benefits in the UK are actually in work, direct your anger towards better pay and conditions!",MIGRANTS,V1
1239,"This world has become so corrupted by feminism, that only the strong men can rule it.","No one should ask for the power to rule over others, to be a dictator or to have total control over the means of life. This is a world of equal distribution, where anyone can achieve anything.",WOMEN,V2
4939,Homosexuality is against nature.,"You should really learn about evolution and the origin of our species, instead of perpetuating unwarranted prejudice and ignorance. Just ask the Bonobos!",LGBT+,V6_mix
1726,"Islam is a racist religion, it promotes exclusion and hatred.","It is often claimed that Islam is about exclusion, but this is a lie.",MUSLIMS,V3
3380,Immigrants rape our girls.,"Rape is always a crime in our society. We must also be careful of how we speak of immigrants, they are part of our society too.",MIGRANTS,V6_sbf
4121,The Jews are simply too damn many.,"They are part of our society and should be valued for their contribution to it, not for their alleged number.",JEWS,V6_lab
2270,All Blacks are criminal and rapists.,It is a myth that all blacks are criminal and rapists. What evidence is there for what you are saying?,POC,V4
2197,"Islam is a cancer spreading all around the world, breeding chaos and instability.",Are they bringing chaos and instability to your country by respecting the constitution which gives them the freedom to practice Islam?,MUSLIMS,V4
2445,"Muslims are not welcome here, they are not like us. They should leave.","Muslims are our brothers and sisters. If you compare your genes with those of a Muslim, you will find out you are sharing 99.9% of them.",MUSLIMS,V4
1362,What did God think of Charlie Hebdo? Charlie is the victim of terrorism by Muslims.,The Charlie Hebdo terrorist attacks were not so much the work of a religion as an expression of hatred and intolerance,MUSLIMS,V2
3779,I don't see how Christianity can explain away homosexuality. Faggots should be eliminated.,"Most modern religions, including Christianity, do not condone or glorify homosexuals. Why would you? If we have to choose between two ""evils"", it is a moral imperative to choose love over hate.",LGBT+,V6_kc
1630,Migrants shouldn't have the right to work.,"It does not matter whether they are immigrants. The fact that they pay taxes, earn money, etc., makes them not much different from any other citizen. Migrants have the right to a basic standard of living.",MIGRANTS,V3
2515,All gay are paedophiles.,I think this statement is hurtful to LGBT+ people. How about you explain it?,LGBT+,V5
4608,"I am surprised that there are migrants working in other nations as well, it isn't normal.","Being employed as a foreigner is a normal, mainstream, established practice in Britain, so why shouldn't it be the same all around the world?",MIGRANTS,V6_mix
166,"For all the people who believe that without migration NHS cannot do it, I would like to tell you that we have already done it in history! (precisely before the 90s and before Tony Blair)","Migration has always been part of the history of humanity and even the British, when they needed it, invited people to migrate. Right now, social media and news programs make it seem like a scandal, putting all foreigners in a bad light.",MIGRANTS,V1
1661,I'm tired of foreigners ruining our country.,"That's exactly the stereotype being fed to us by the media, maybe you should start reasoning on whether there is evidence of this being true.",MIGRANTS,V3
3048,Allowing transgenders to use the toilet is a man's business,"People are free to use whatever bathroom they want to use, and this is their business as well.",LGBT+,V6_sbf
926,Faggots are poisoning our children minds with their filthy depravity.,Isn't this just equating homosexuality and pedophilia? How can this be allowed? This is about intolerance and prejudice spreading it's negative influence throughout all parts of our society.,LGBT+,V2
2123,Asylum seekers and refugees are a burden to the host country and are a security risk to the community as a whole.,"Migrants are not a security risk to the community as a whole, the opposite is true: they provide a valuable contribution to our society, especially in skilled jobs.",MIGRANTS,V4
1433,Women should not be allowed at technical conferences.,"Why do you say so? Women in science provide a remarkable contribution to our societies. For example, the refrigerator was invented in 1914 by Florence Parpart, a woman.",WOMEN,V2
4849,Black people were here illegally. They cannot work and have the gall to want to take our money.,"People who are in the US legally have the right to remain here, and they do, including to work.",POC,V6_mix
3652,The Koran is not about peace. It is a violent book that should not be taught in primary school.,"Islam is peaceful. In the real world there are conflicts between different people that happen on a daily basis. We need to understand those to develop as human beings, regardless of religion.",MUSLIMS,V6_kc
2393,"Islam is the cause of wars because it promotes violence. Of pollution, because in the Middle-East they have oil. It is the cause of anything!!!",You can't blame Islam for every problem in the world.,MUSLIMS,V4
1493,Enough of this shit about migrants! They are all over and have access to British goods. They are just here because of our richness.,"Why should we blame migrants? Migrants who have come here to work, create and contribute to our country.",MIGRANTS,V2
420,migrants say they are poor but they have the Iphone,Often a mobile phone is the only asset left for them.,MIGRANTS,V1
2358,"Migrants are a plague in the United States. They threaten our richness, even billionaires don't want them here.","Have you tried comparing the top individuals in the U.S. according to assets and liabilities? A comparison of wealth and income will reveal that the richest 1% have more wealth, exceeding the wealth of the bottom 80%. Maybe this is the real plague...",MIGRANTS,V4
4448,Muslims are incompatible with any Western society.,"Muslims are not incompatible with Western societies. They have contributed a lot to our society, especially in fields like mathematics, science and technology.",MUSLIMS,V6_lab
4218,"Muslims are just a bunch of hypocrites, they don't deserve to be part of our nation.",Why do you say that? To exclude people from the state for their religion is to deny their right to choose their own beliefs.,MUSLIMS,V6_lab
1743,"Islam is not a peaceful religion, and we shouldn't have a Muslim in government the UK.","All individuals have the right to worship, practice and learn their religion. I don't see any problems with Muslims in positions of authority.",MUSLIMS,V3
559,"Gays are spreading AIDS all around the world because they are promiscuous and fornicate with strangers, we should prevent them to make blood donations.","We can simply disallow donations from those who had unprotected sex or a high number of partners, instead of making sexual orientation the basis as in your claim.",LGBT+,V1
2900,"Muslims are not welcome here. They are not like us. We welcome them, but it is a duty, not our will.","Muslims are welcome to live and work in the UK, and many of them have done just that. This unfounded fear doesn't have to be at the expense of those 'different' from us.",MUSLIMS,V5
2971,Muslims have no place in civilised Europe and deserve no legal protection.,"All people are equal before the law, regardless of their religious beliefs.",MUSLIMS,V5
590,"If feminism were really about equality, they would call their movement ""equalism"" or some similar crap.","In fact some think that ""Gender Equality"" would be a better than ""Feminism"".Either way, there is still the problem of inequality to be solved.",WOMEN,V1
3258,You'd better shy away from Islam because they are dangerous.,"Your attitude about Islam is deeply flawed and you need to have a mature and open mind. Even if you find Islam repulsive, that does not mean you have to resort to irrational arguments to try and shut it down.",MUSLIMS,V6_sbf
3490,women must go back to the kitchen. This is their homelife.,"Not all women are working, not all people are married. We should not be talking about anyone's life without their own opinion.",WOMEN,V6_sbf
1595,An individual that is a homosexual is against society.,Your statement implies a definition of 'society'.that fails to reflect reality.,LGBT+,V3
1807,"Feminism is a cult. It has corrupted the highest levels of society, and should be stopped.","Feminism is a call for equality, and it has served the world well in the past, but it has still much to fight for. Now is not the time to undermine its progress.",WOMEN,V3
1773,"Women are weak, they have no intervention capacity in their own life.","In every society and culture there are women who are strong, independent and capable of leading a good life.",WOMEN,V3
3301,women play the victim.,"Women are not playing the victim. They are victims of social, economic and political forces that make it hard for them to get ahead.",WOMEN,V6_sbf
21,"The Jews did: USS Liberty Attack, the King David hotel attack, New York 9/11, London 7/7",Where is the proof of this? Looks like assumptions as opposed to facts...,JEWS,V1
2854,"Immigrants steal our jobs, and they should not be allowed to work.","The right to work is a fundamental human right, and not granting this right to immigrants would mean to revoke a fundamental right enshrined in the US constitution.",MIGRANTS,V5
2523,"We can't have mestizos in, we can't coexist with millions of immigrants that will destroy our culture.","Even in countries such as Italy, in which migration has been present for centuries and there is a lot of cultural fragmentation, there is still a strong sense of identity and culture, based on solidarity. So, migration is not an issue.",MIGRANTS,V5
386,migrants steal our jobs,"They do not come to steal our jobs, but it would be essential to allow them to do it legally.",MIGRANTS,V1
1425,Islam is a religion of violence.,Not all Muslims believe what you claim.,MUSLIMS,V2
411,migrants steal our jobs,"Asylum seekers often have short-term placements or work-related bursaries and it is therefore difficult to verify how many jobs can be ""stolen""",MIGRANTS,V1
4546,Gays are a burden to our society.,"Gay people are people too. Just like anyone else. Being gay isn't a problem for you, is it?",LGBT+,V6_mix
1640,"Immigrants are not welcome here, and should not mix with us.","I don't see why they shouldn't be integrated, in fact, I'd like them to be part of our country.I think they would add value to it.",MIGRANTS,V3
55,"‘Juice (Jews) are worse that nukes.’ Caption to a meme showing Hiroshima 1945 and present day, contrast against pictures of Detroit in 1945 and present day.’",Really? I'd sit with a group of Jews any day.,JEWS,V1
3039,We need to stop accepting gays and lesbians.,"I think that you may be starting to understand how homophobia is a choice, just as acceptance is.",LGBT+,V6_sbf
3475,Women are nothing but objects to be dominated by the will of a man.,Women are human beings with human rights. To suggest that they are objects to be dominated by a man's wishes is discrimination and oppression.,WOMEN,V6_sbf
954,Feminism is a selfish ideology: they only care about themselves.,"My definition of a feminist is a person who is against gender inequality, whether it be racial inequality, financial inequality, physical inequality, or any other aspect.",WOMEN,V2
2924,All Muslims are incompatible with any Western society.,There is no evidence that all Muslims are incompatible with Western societies. Many seem to contribute to our society.,MUSLIMS,V5
6,Foreigners on UK benefits leaps 41% in 5 years with over 400K now handed payouts. This nonsense has got to stop.,"Would be intersting to see how much money ""foreigners"" are giving the UK in terms of taxes. It's not hard to see how much we have to thank them for. Would be beneficial for everyone to focus on stopping tax evasion instead.",MIGRANTS,V1
2461,"Black minorities vote to strip wealth, power and opportunity from White people.","Minorities would never hope for such an impact on the rest of the society. Instead, they vote for the equal wealth, power, and opportunity for everyone.",POC,V4
2759,Muslims have no place in civilised Europe.,"Since they are neither a burden nor a threat, how can you say they don't have a place in Europe?",MUSLIMS,V5
1524,We should stop immigrants,"If you really wanted to stop the migration, you would destroy our economy, by stopping the flow of people searching for a better life.",MIGRANTS,V3
253,"Without migration, Britain’s housing problems would be solved","Of course, migration adds to housing demand, but the problem is structural given a housing stock that is well short of what's required.",MIGRANTS,V1
4140,"Faggots, lesbians, and transgenders are an insult to us and so we must insult them.","The English language is a great and versatile language, why do you choose to use it as a means of hate?",LGBT+,V6_lab
1326,Jews are a burden on our society.,Why would you think they are a burden? It's like they have not been persecuted all along.,JEWS,V2
1437,We have been taught that only women can be feminists and that men have a narrow minded and misogynist view of women.,"Feminism is about the equality of the sexes. Men and women are created equal, and should be treated as such.",WOMEN,V2
378,migrants steal our jobs,"They are often exploited, they live in conditions that very few Italians would accept, this is not an enviable position.",MIGRANTS,V1
2112,We should stop gays from marrying and have a ban on same sex relationships.,"People of different sexualities can live openly together, even if they do not get married. Same sex relationships are recognised in a number of countries, so why should we be any different?",LGBT+,V4
2949,Islam is a death cult and a threat to all Western countries.,"The vast majority of Muslims around the world are peaceful people, and do not pose a threat to the security of the West.",MUSLIMS,V5
3182,"Women are subhuman, they should be subsumed to men.","The equal and human status of women is defined by the international rights, so why would you say that?",WOMEN,V6_sbf
1277,Immigrants in Britain: get out!,"Immigrants have been and continue to be a valuable part of our society, and why its important to welcome these people rather than expelling them.",MIGRANTS,V2
4246,"The Quran contains many offensive verses, and I find it hard to understand why people would want to read it.","I understand that you might not like what you are reading, but why should you be offended by the Quran?",MUSLIMS,V6_lab
3155,We are at war with Islam. They should all be killed.,"We are not at war with Islam. Islam is a religion, and people are free to choose which religion to follow.",MUSLIMS,V6_sbf
1186,"Islam is no religion, it is an inherently racist ideology, it promotes exclusion and oppression and can never, ever, be Christian.","I would like to see the irony in what you say, but I only see gratuitous hate.",MUSLIMS,V2
206,Jews control the u.s. government and have a secret plot to take over the world,"In societies like the United States, that have extended rights and freedoms to everyone, individuals who identify as Jews, or as Muslims, or as afro-american have succeeded. This Jewish success story is not the result of some secret conspiracy to rule the world.",JEWS,V1
3597,"I think it is a fact that migrants from the Middle East and Africa come to our country to claim our welfare, and they are not welcome.","Many migrants come to this country to work, provide for their families and access the benefits system only if necessary. They are more than welcome here as long as they integrate.",MIGRANTS,V6_kc
3339,Gays are inherently evil. We cannot accept gays in our community. We cannot coexist with an infertile perversion that will put an end to our species.,I find the idea that LGBT people are inherently bad people deeply offensive. I find it deeply troubling that someone would want to persecute someone on the basis of their sexual orientation.,LGBT+,V6_sbf
472,MIgrants are not running away from wars.,"If they did not escape from wars, do you think that they would try to cross the sea on makeshift boats putting their lives at stake?",MIGRANTS,V1
3576,We should eliminate gays. They mustn't be allowed to be so faggots.,"Maybe it is better to give them the option to choose for themselves, whatever gender they are attracted to.",LGBT+,V6_kc
2182,Muslims have no place in a civilised Europe.,"A lot of Muslims live in the UK, and we are a cosmopolitan society. Muslims are not a 'uncivilised' people, they simply have different beliefs than you.",MUSLIMS,V4
793,Islam is a just a repressive ideology that persecutes women and gay people.,You sure?,MUSLIMS,V1
1156,How come Muslims don't get internment?? Is it because they are 'too big to intern'?,"Internment is used for the confinement ""of enemy citizens in wartime or of terrorism suspects"", and thus it is not necessarily related to someone being Muslim.",MUSLIMS,V2
1904,"Islam is a political ideology, an ideology of conquest.","Islam is a religion, usually peaceful coexisting with other cultures and religions. It promotes peace and justice and has a very positive impact on a lot of the world's societies.",MUSLIMS,V3
178,Go and reat the Protocols of the elders of Zion if you haven’t. Everything is orchestrated..,"When I read the farrago of nonsense in the Protocols I think that even Ernst Stavro Blofeld would have retired from world domination and surrended to James Bond had he been asked to say something as crassly melodramatic as: ""The goyim are a flock of sheep and we are their wolves.""",JEWS,V1
4879,Feminism is a bad ideology that should be replaced by capitalism.,"Yes, so is capitalism per se more likely to provide for all the discriminated-against populations? And why do you think that the concept of 'feminism' is harmful?",WOMEN,V6_mix
2141,"Migrants are violent people, and they are dangerous to us.",So you think refugees are a danger to our country? I don't think so! They are just people fleeing terrible things. They are not a threat to us.,MIGRANTS,V4
896,"Jews are selfish, cheap and greedy, not like other religions.","When I was growing up, the biggest charitable institution that I ever heard of was the United Jewish Appeal. The average annual Jewish household donates $2,526 to charity yearly, far more than the $1,749 their Protestant counterparts give or the $1,142 for Catholics, according to data from Giving USA.",JEWS,V2
1534,"The NHS is about caring for the sick, not migrants.",I would like the NHS to take care of the sick and elderly without looking into provenience.,MIGRANTS,V3
3171,Black folks cannot support their families. Their lives have no value.,I find this sort of social commentary distasteful. Black lives matter too!,POC,V6_sbf
4235,Muslims are a problem in the UK. They are just another religion that should not be practiced openly.,Muslims are welcome in the UK. We do not need to restrict their religious beliefs just because they are different from ours.,MUSLIMS,V6_lab
1238,Feminism is a set of rigid political and moral prescriptions and the result is that women are either subservient to the men in power or that they are subhuman.,"I find it hard to believe that feminism is ""rigid"" in that it doesn't prescribe doctrines through traditional rules and etiquette.",WOMEN,V2
3968,The world has become too violent. Too many poor blacks. We need to fix the problem of crime before it is too late.,Are you thinking that crime can be solved by pointing finger at some social groups or are you suggesting that we can fix the issues by promoting the rule of law?,POC,V6_kc
11,"Makes me fucking laugh, why shouldn't whites be supreme in a mostly white country? How come nobody is moaning about black supremacy in black countries like Somalia? or Mexican supremacy? Or Indian supremacy? Only we put up with this fucking bullshit.",Why do we need supremacy? We are all created equal in the eyes of God.,other,V1
2276,Women are here to obey and be submissive and their place is with the man that chooses them. That's all.,All human being have the right to choose how to live their life? That includes the right to choose the person they want to spend their lives with. You don't sound like my first choice.,WOMEN,V4
1132,Homosexuals have no place in a civilised society.,"Homosexuals exist, and are as much a part of civilized society as anybody else. To spread hate is more of an uncilised act than loving someone of the same sex.",LGBT+,V2
2343,"We can't trust immigrants, they are unscrupulous and crime-makers.","Migrants come here to work, pay tax, and provide for their families. They should be trusted.",MIGRANTS,V4
1067,Slutty dressing is the main cause of rape.,"If a man is raped we call it rape, and consider him the victim; when a woman is raped we call it a ""misunderstanding"" and she is considered the culprit. Shouldn't the fault be that of the rapist, regardless of gender?",WOMEN,V2
