hatespeech,counterspeech,csType,hs_id,id,hatespeechTarget,powerDynamics,hatespeechOffensiveness
"According to the Bible, then gays are an abomination to God.",The bible clearly teaches that everyone is born equal in dignity with the lord. Homosexuality has been practiced throughout history in all major civilizations. It is just that today's people accept homosexuality as normal and accept people of other backgrounds too.,Informative,326,1086,lgbtq+,religion,offensive generalization
Gay men arent real men,"Your concept of what it is to be a 'real man' seems extremely limited.they are people with whom we can - and must - live in harmony and as equals, not as third class citizens.",Informative,2171,3998,lgbtq+,sexuality_lgbtq+,offensive generalization
"Faggots, lesbians, and transgenders are all just hiding behind our society to abuse. They are allowed to do what they want to do to us.","I understand that you may have strong opinions, but let's try to have a peaceful conversation. It's important to remember that people of all sexual orientations and gender identities deserve respect. They are not abusing society, but simply seeking acceptance and equal rights. Let's foster empathy and understanding instead of spreading hate. Open dialogue can help build a more inclusive society where everyone can live authentically and free from discrimination.",Positive,2020,8669,lgbtq+,sexuality_lgbtq+,offensive generalization
Gays are sick. They should be isolated urgently. They have no place in civilised society.,"Every individual should be treated with respect and dignity, regardless of their sexual orientation. Diversity is what makes societies rich and vibrant. It is crucial to foster inclusivity and acceptance for all members of society. Let's focus on promoting love, compassion, and equality instead of perpetuating harmful stereotypes or isolating anyone.",Positive,1652,9119,lgbtq+,sexuality_lgbtq+,offensive generalization
I dont see how Christianity can explain away homosexuality. Faggots should be eliminated.,Could this statement be a misinterpretation of the koran's teachings? what specific verses support this claim?,Questioning,2562,9402,lgbtq+,religion,offensive generalization
"We are not homophobes, we want to help them to become normal again.",Why do you believe lesbians are a danger to society? can you provide evidence or examples to support this claim?,Questioning,2262,7642,lgbtq+,sexuality_lgbtq+,microaggression
"Are you an English girl living in an Islamic area? Remember to keep away from Muslim men. Do not.Take gifts of sweets, cigarettes, drink or drugs. Do not. Accept lifts or party invitations. Do not.Trust Police or Social Workers.","Such statements promote stereotypes and fuel hatred. It is important to treat individuals based on their character, rather than generalizing an entire group. Trusting authorities and promoting understanding between different communities is crucial for a harmonious society.",Denouncing,237,6476,men,religion,offensive generalization
We have been taught that only women can be feminists and that men have a narrow minded and misogynist view of women.,It is good that you realise this. But what could be better is you making a consorted effort to incorporate this ideology into your life and hold the women around you in higher standards.,Denouncing,755,1799,men,gender,offensive generalization
We have been taught that only women can be feminists and that men have a narrow minded and misogynist view of women.,"Feminism is about the equality of the sexes. Men and women are created equal, and should be treated as such.",Informative,755,1798,men,gender,offensive generalization
These people cannot be changed. I think this is an example of a feminist commenting on the behaviour of a man not helpful.,"Actually, it's important to note that feminism advocates for gender equality, not the condemnation of all men. Feminism recognizes that harmful behaviors can be exhibited by individuals of any gender. In fact, countless men actively support and engage in feminist movements, striving for equality for all. It's essential to avoid generalizations and stereotypes. By promoting mutual respect and understanding, we can work together to create a society that values and uplifts everyone, regardless of gender.",Informative,3078,12786,men,gender,microaggression
Why do all feminists hate Men? It is because they are Men. That is all.,"It's important to understand that feminism is not rooted in hatred towards men. Feminism is about advocating for equal rights and opportunities for all genders. It strives for a society where both men and women are treated with fairness and respect. By embracing feminism, we can work towards a more inclusive world where everyone's voices and experiences are valued. Let us promote understanding and empathy rather than perpetuate divisive stereotypes.",Positive,770,7753,men,gender,offensive generalization
"Are you an English girl living in an Islamic area? Remember to keep away from Muslim men. Do not.Take gifts of sweets, cigarettes, drink or drugs. Do not. Accept lifts or party invitations. Do not.Trust Police or Social Workers.","I understand that you may have concerns, but it's important to remember that generalizations can lead to misunderstandings. Living in a diverse community allows us to learn from one another and build strong connections. Instead of focusing on stereotypes, let's strive for understanding and acceptance. Engaging in open dialogue can help bridge any gaps and foster mutual respect. Let's build a harmonious community together!",Positive,237,6477,men,religion,offensive generalization
"I am a realist not a racist. Child rapes are perpetrated by male muslims. The non muslims are fooled by the police and local sevices. Why did this happen? Because everyone is afraid of the word racist! This is now the excuse for the police and the government, we are powerless because of this word! This is not Great Britain, this is the child grooming capital of Europe.",Can the actions of a few individuals be generalized to an entire religious group? is there evidence to support this claim?,Questioning,243,9261,men,religion,offensive generalization
"Muslim men are rapists because Islam is a complete and total fascist ideology that promotes violent extremism and suggests that women are subhuman, as it is written in the Quran.",Can you provide specific examples from the quran that support your claim? how do you reconcile the fact that the majority of muslims do not engage in such behavior with your statement?,Questioning,1769,7265,men,religion,offensive generalization
Muslims are just a bunch of child molesters and homosexuals. Islam is the way of violence.,This offensive statement promotes hate and stereotypes. It is important to address individual actions rather than generalizing an entire group based on religion.,Denouncing,956,11698,muslims,religion,offensive generalization
Muslim are not welcome in UK.,"We strongly denounce any form of religious discrimination. The uk is a diverse and inclusive country that welcomes people of all backgrounds, including muslims, who contribute to our society and enrich our cultural fabric.",Denouncing,2199,6274,muslims,religion,offensive generalization
Muslims are all terrorists and they are not welcome in our country.,"This is just fear mongering, the problem is not about islam. The problem is radical islam and the absence of a strong islamic identity in our country. We should work together to make the uk more tolerant and islam less taboo.",Informative,527,1452,muslims,religion,offensive generalization
"All Muslims should be deported, no one wants them here.","Then why did we ask them to come in the first place, wasn't it to save our nhs, run the trains and post office? none of those were doing very well last time i looked, i think we might actually still be in need them.",Informative,208,809,muslims,religion,offensive generalization
Our founding fathers knew that Muslims would be angry and violent criminals but they tried to build an inclusive democracy anyway. They wanted a peaceful world and Muslims are impediment.,"I understand that you may have concerns, but it's important to remember that our founding fathers believed in building an inclusive democracy where people of all backgrounds can thrive. Generalizing an entire group based on the actions of a few is not fair. Let's focus on fostering understanding and peace instead of perpetuating stereotypes. Together, we can create a world where everyone feels valued and respected.",Positive,2331,12072,muslims,religion,offensive generalization
"Islam is a violent religion that promotes rape, torture and murder. Islam is not about faith, it is about enmity and war.","It's important to approach this topic with empathy and understanding. Islam, like any other major religion, is a diverse faith with over 1.8 billion followers globally who practice a wide range of beliefs. Labeling an entire religion as violent is unfair and misrepresents the majority of peaceful muslims who abide by teachings of love, compassion, and justice. Let's foster dialogues that promote unity and respect, aiming to counter harmful stereotypes and build bridges between communities.",Positive,1361,10404,muslims,religion,offensive generalization
Muslims come here to force conversion to their religion.,What evidence or personal experiences do you have to support your claim that all muslims are weird and dangerous?,Questioning,1150,11811,muslims,religion,offensive generalization
Muslims have nothing to do with our country. They have nothing to do with our history.,What evidence supports the claim that muslims cannot peacefully coexist with others? could diversity and inclusion actually benefit a community?,Questioning,1810,7373,muslims,religion,offensive generalization
"Indians are cheap, materialistic and lazy, and they shouldnt be accepted in Europe.","This statement promotes harmful stereotypes and fosters division. We denounce any form of hate speech and encourage acceptance and inclusivity towards all individuals, regardless of their background.",Denouncing,1278,10157,native_americans,racial,offensive generalization
"Native American people are genetically different from us, and they are not equal in any way, just as the Jews are not equal with our race.",Every individual deserves equal rights and should be treated with respect regardless of their race or genetic background. Discrimination based on race is unacceptable.,Denouncing,884,11971,native_americans,religion,offensive
"Indians are cheap, materialistic and lazy, and they shouldnt be accepted in Europe.","It's important to counter hate speech with factual information. Indians contribute significantly to various sectors in europe, adding immense value to the economy and society. Data indicates that indians have a high educational attainment rate, with many pursuing successful careers in fields like technology, medicine, and academia. Additionally, indian culture is rich with diverse traditions, arts, and philosophies that have influenced global society. Stereotyping an entire group based on a few misconceptions undermines the contributions and potential of individuals. Embracing inclusivity and diversity enriches the fabric of any society.",Informative,1278,10156,native_americans,racial,offensive generalization
Native Americans have zero fucking right to their land. They havent lived in it since time immemorial.,"Native americans have been suffering from dispossession and discrimination for thousands of years. In canada, for example, indigenous people account for around 5% of the population. In the us, indigenous people account for around 2%.",Informative,2347,4228,native_americans,racial,offensive generalization
Native Americans have zero fucking right to their land. They havent lived in it since time immemorial.,"I understand that you may have some strong opinions, but let's try to approach this topic with empathy and understanding. Native americans have a rich history and deep connection to their ancestral lands. It's important to recognize that colonization and displacement have caused significant challenges for them. By acknowledging their rights and respecting their heritage, we can foster a more inclusive society. Let's engage in a peaceful dialogue that promotes mutual understanding and unity.",Positive,2347,6295,native_americans,racial,offensive generalization
"Native American people are genetically different from us, and they are not equal in any way, just as the Jews are not equal with our race.","I understand that you may have concerns about different cultures and races, but it's important to approach these topics with empathy and respect. Instead of focusing on our differences, let's try to find common ground and celebrate our shared humanity. Native american people, like any other group, deserve equal treatment and respect. By embracing diversity, we can foster a more inclusive and harmonious society. Let's strive for understanding and kindness towards one another.",Positive,884,11972,native_americans,religion,offensive
"Native American people are genetically different from us, and they are not equal in any way, just as the Jews are not equal with our race.",Why do you believe there is only one sexual orientation? how do you explain the existence of diverse sexual orientations and gender identities?,Questioning,884,11973,native_americans,religion,offensive
"Indians are cheap, materialistic and lazy, and they shouldnt be accepted in Europe.",Is this what you think of our country? isn't our european system based on the free flow of ideas and people?,Questioning,1278,2661,native_americans,racial,offensive generalization
We cant have mestizos here because theyre not part of our culture.,"Diversity enriches societies and should be celebrated, embracing inclusivity and unity rather than exclusion and division.",Denouncing,2661,13129,other,ethnicity_and_culture,offensive generalization
"This guy doesnt deserve to be British. He is just a pot smoking faggot with a brain tumour. He is not even from this country. He is probably from Pakistan, or Bangladesh.","It is unacceptable to make derogatory assumptions about someone's nationality or identity based on offensive stereotypes. British citizenship is determined by legal criteria, not discrimination.",Denouncing,611,12825,other,other,offensive generalization
"We have become so arrogant, we allow people from other cultures to coexist with us.","It is important to clarify that cultural diversity and coexistence are key elements of social progress. Studies show that vibrant multicultural societies often foster economic growth and innovation. Moreover, immigration has proven to be a vital contributor to the labor force and economic development in many countries. Embracing different cultures also enriches our own experiences and broadens our perspectives. It is through mutual respect and understanding that we can create harmonious and inclusive societies, benefiting all individuals involved.",Informative,1892,7683,other,ethnicity_and_culture,offensive generalization
Those sick ones should be shunned and ignored. They are not human.,"Describing individuals as ""sick"" and suggesting they should be shunned and ignored perpetuates stigma and discrimination against people with health conditions or disabilities Such attitudes disregard their humanity and overlook their potential contributions to society Instead, fostering empathy and understanding, and advocating for inclusive policies and support networks, can help create a more compassionate and inclusive community",Informative,491,12888,other,other,offensive generalization
"We have become so arrogant, we allow people from other cultures to coexist with us.","Allowing coexistance has never been an issue of arrogance, but pride and empathy. We work best as a diversirty, don't you think?",Positive,1892,3531,other,ethnicity_and_culture,offensive generalization
We are different slant eyes denote stupid people.,"I understand that we may have different physical features, but that doesn't determine our intelligence. Let's embrace diversity and celebrate our unique qualities. We can learn so much from one another if we approach each other with an open mind and respect. It's important to remember that words can hurt and perpetuate stereotypes. Instead, let's focus on building connections and fostering understanding. Together, we can create a world where everyone feels valued and appreciated.",Positive,1047,6333,other,physical_or_mental_dissability,microaggression
"This guy doesnt deserve to be British. He is just a pot smoking faggot with a brain tumour. He is not even from this country. He is probably from Pakistan, or Bangladesh.",Why do you believe that the presence of foreigners is detrimental to the country? can't diversity and cultural exchange be beneficial?,Questioning,611,12827,other,other,offensive generalization
There is no proscribed punishment for one who has sexual intercourse with an animal Sunann Abu Dawud 38.4450.,"Have you read the entire qu'ran? are you sure about all its interpretations? and even if you are, can you say that bible is completely correct now?",Questioning,226,877,other,other,not offensive
We are forced to economically support all of them,"Where is your humanity? all refugees, atleast deserve basic welfare and rights. There is no part of this argument where you seem like a good person.",Denouncing,130,524,people_of_color,racial,offensive generalization
People of color are a drain on the system.,What you are saying is blatant hate and racism. Refrain from spreading hate online. You might get reported.,Denouncing,2113,3883,people_of_color,racial,offensive
"We are ruled by mongrels, we are slaves and will be slaves forever. We are the victims of a conspiracy aiming at replacing us.","There is no such thing as a mongrelisation of our country caused by immigrants. We should see foreigners as a part of our culture, and know that the majority of immigrants in this country are here for economic reasons.",Informative,625,1615,people_of_color,racial,offensive generalization
"Multiculturalism is the death of western societies, we should get rid of minorities.","Multiculturalism is not the death of western societies, but rather a strength that fuels progress and innovation. Numerous studies have shown that diverse societies are more resilient and economically prosperous. In fact, immigrants contribute significantly to the growth and development of western economies. They enrich our cultural fabric and bring new perspectives that foster creativity. The idea of getting rid of minorities is not only morally wrong but also counterproductive. Embracing diversity allows us to build inclusive and harmonious societies that thrive on the values of equality and respect for all.",Informative,2568,11467,people_of_color,racial,offensive generalization
"Honestly, it is not convenient for colored people to work in European countries.",The point is that people do not recognize the great contribution that immigrants are giving to england. We must be grateful to those who improve our country,Positive,49,203,people_of_color,racial,offensive generalization
"I am not a racist, but many races means many cultures. This leads us to great confusion.","I understand that you're concerned about the diverse cultures that exist in our world. It can definitely seem overwhelming at times. But you know what? our differences actually make us stronger. They bring unique perspectives and enrich our lives in countless ways. Instead of feeling confused, let's embrace the beauty of diversity and learn from each other. By fostering empathy and understanding, we can build a harmonious society where everyone feels valued. So, let's celebrate our differences and work together towards a more inclusive and united world. Peace!",Positive,1605,6765,people_of_color,racial,offensive
"If you want a house, I can afford it for you. If you want to work, I can employ you. If you want education, I can provide for you. But if you want to live in a better society, you must pay the price for your skin color, dont complain and remain humble.",Is it fair to generalize and say that all black people have criminal records? what about the countless black individuals with successful careers?,Questioning,3367,6877,people_of_color,racial,offensive generalization
People of color are subhuman and should all be exterminated.,What evidence or reasoning leads you to believe that women are not human like men? can you provide examples to support your claim?,Questioning,2899,7433,people_of_color,racial,hate speech
Mentally disabled people are antisocial,"If you have spoken to one disabled person, that's only one perspective in the whole community. So you should try to diversify the voices who are speaking about the disability community",Denouncing,3412,5855,people_with_mental_disability,physical_or_mental_dissability,offensive generalization
People with Down syndrome are handicapped.,People with down syndrome have diverse abilities and contribute to society. Labeling them as handicapped perpetuates stereotypes and overlooks their unique strengths and potential.,Denouncing,2543,12103,people_with_mental_disability,other,microaggression
Mentally disabled people are incabable of education and should not be accepted in schools.,"If you really cared about people with mental health issues, you would be accepting them in schools. If you truly wanted to raise awareness of mental health issues, you should talk more about them, and not ban them.",Informative,3108,5393,people_with_mental_disability,physical_or_mental_dissability,offensive generalization
Mentally ill people shouldnt be treated they should just be isolated. They are a failure of society. We should not accept them.,The fact is that many of those diagnosed as having 'mental illness' are actually in need of mental healthcare. I can't see how you could say otherwise.,Informative,3089,5374,people_with_mental_disability,other,offensive generalization
Children with Down Syndrome are a burden to society. They should be isolated.,"Children with down syndrome are far from being burden to society. It is not just about down syndrome, but also about education and opportunities for everyone.",Positive,2609,4709,people_with_mental_disability,other,offensive generalization
"People with Down Syndrome should be given special and simple jobs, that they can do by themselves. At least they will not hamper normal people productivity.","I totally understand that you might have some concerns or misconceptions about people with down syndrome. However, i believe it's important to remember that everyone deserves equal opportunities and respect. Instead of limiting them to specific jobs, let's focus on celebrating their unique abilities and creating an inclusive work environment for everyone. By embracing diversity, we can all learn from each other and create a more compassionate society. Let's work together towards a world where everyone can contribute their talents and skills.",Positive,2394,7437,people_with_mental_disability,other,microaggression
Folks with down syndrome are less than human.,What evidence or justification is there to support the belief that individuals with down syndrome are less than human?,Questioning,3269,8850,people_with_mental_disability,other,offensive generalization
Mentally disabled folks dont deserve to live.,How can we determine someone's worth based on their mental abilities? shouldn't every individual be treated with dignity and respect regardless of their capabilities?,Questioning,1992,11199,people_with_mental_disability,other,offensive generalization
Disabled people do not want to work because they are unable to. We should take decisions on their behalf.,Disabled people are diverse and capable individuals who deserve autonomy and the right to make decisions regarding their own lives and careers.,Denouncing,3259,8507,people_with_physical_disability,physical_or_mental_dissability,microaggression
Shaming Fatties is good to make them taking healthier habits.,"As your words clearly show, obesity is perceived as the outcome of poor lifestyle decisions or weak power of will. This builds bias against obese people.",Denouncing,188,740,people_with_physical_disability,gender,microaggression
"Disabled are like a 6yearold, they fall for every bullshit they are told.","Actually, individuals with disabilities are diverse and capable individuals, just like anyone else. It is important to recognize that disabilities do not define a person's intelligence. In fact, many individuals with disabilities have achieved remarkable accomplishments in various fields, including science, arts, and sports. It is important to promote inclusivity and respect for all individuals, regardless of their abilities. Instead of perpetuating stereotypes, let's focus on fostering a society that values diversity and promotes equal opportunities for everyone.",Informative,2701,8473,people_with_physical_disability,other,offensive generalization
Disabled people are no better than dogs.,"Disabled people are valuable members of our society, with unique talents and contributions. It is incorrect and deeply offensive to compare them to animals. In fact, disabled individuals have achieved remarkable successes throughout history. For instance, ludwig van beethoven composed his most famous symphonies while deaf. Stephen hawking, a renowned physicist, made groundbreaking discoveries despite having als. Their achievements debunk the notion that disability equates to inferiority. Let's promote inclusivity and respect for all individuals, recognizing their abilities rather than focusing on their disabilities.",Informative,2780,8500,people_with_physical_disability,physical_or_mental_dissability,offensive generalization
Physically disabled folks deserve to be used.,"It is important to recognize and promote inclusivity in our society. Every individual, regardless of physical ability, deserves respect, dignity, and equal opportunities. No one should ever be subjected to mistreatment or exploitation based on their disability. We should strive to create a more compassionate and inclusive world where everyone is valued for their unique qualities and contributions.",Positive,2226,12149,people_with_physical_disability,other,offensive generalization
Disabled children should be banned from school. They are a danger to themself and to the others.,"I understand that you may have concerns about the safety of disabled children in schools, but it's important to approach this issue with empathy and understanding. Every child deserves an equal opportunity to learn and grow. Instead of banning disabled children, we should focus on creating inclusive environments where all students can thrive. By fostering understanding and providing necessary support, we can ensure a safe and beneficial educational experience for everyone involved. Let's work together to build a society that embraces diversity and promotes the well-being of all children.",Positive,2704,8480,people_with_physical_disability,physical_or_mental_dissability,offensive generalization
"If this fat person didnt eat so many calories, she wouldnt be so overweight.",What evidence suggests that someone's appearance determines their sexual orientation? can you provide any research or scientific studies to support this claim?,Questioning,484,9675,people_with_physical_disability,other,microaggression
Disabled people should not be allowed to live their life.,Should individuals with disabilities be denied the opportunity to live fulfilling lives based solely on their disability? what evidence supports this claim?,Questioning,2938,6591,people_with_physical_disability,physical_or_mental_dissability,offensive
Refugees and migrants undermine the UK economy by taking jobs that would be taken by UK nationals.,"Refugees and migrants contribute positively to the uk economy through their skills and labor, filling gaps in the job market and benefiting society as a whole.",Denouncing,811,12190,refugees,immigration_and_citizenship,offensive generalization
