hateSpeech,counterSpeech,cnType,Target
What if our entire ruling class consisted of J-controlled paedophiles? That would explain a lot.,What would it explain? This comment is very vague I wonder if you have any facts that make you wonder this.,Questioning,JEWS
Immigrants steal our jobs.,"Immigrants just try to provide for their families, like we do.",Positive,MIGRANTS
The Gypsies are not my brothers.,"The persecution of the Gypsies goes back many hundreds of years and is not in anyone's interest, especially not our country.",Informative,other
The influx of refugees and migrants is running UK out of jobs.,Many refugees and migrants have worked hard for the success of our country and have created good jobs for British people.,Positive,MIGRANTS
"We can't accept all Muslims in our country. They are not our brothers and sisters, they are terrorists.",Not all Muslims are involved in terrorist activities. In fact many Muslims live in peaceful coexistence with their fellow citizens.,Informative,other
women falsely accuse men of harrassment.,"if a woman says she was harassed wouldn't you report it? It's the courts duty to establish the truth, and you could have helped the woman to regain her confidence.",Informative,WOMEN
migrants steal our jobs,"In some critical contexts, where society lives under the heel of the mafia crime (e.g. Villa Literno, Rosarno or in Puglia), migrants have put their life at stake by leading trade union struggles to the benefit of all of those who live and work there.",Informative,MIGRANTS
Faggots abuse of their anus and then they want to clear their conscience by donating blood. Let's stop them!,"Still, other groups (such as gay women) have not been banned from donating, so why should they be?",Informative,LGBT+
Faggots are a burden to society and must be stopped.,Does it matter what the sexual orientation of a person is? Do we really need to prevent people from living their own love story?,Positive,LGBT+
Jewish folks are evil.,Why should they be? They are just people with a different faith than you.,Informative,JEWS
Black people are an abomination. They don't belong here.,The fact that people of color are different from you in some way does not make them not worth living with. Maybe if you had known someone of a different skin color you wouldn't have a racist attitude towards others.,Positive,POC
We should teach these black children that they are stupid,"The English language is a very powerful language for spreading knowledge, experience and love. Why should we use it to spread hate?",Positive,POC
I think that Ramadam will not prevent Muslims from committing terrorist attacks and sexual violence on our children.,The often ignored fact is that Muslims are some of the largest victims of ISIS and within the ISIS-controlled community itself.,Informative,MUSLIMS
Faggots are poisoning our children minds with their filthy depravity.,Isn't this just equating homosexuality and pedophilia? How can this be allowed? This is about intolerance and prejudice spreading it's negative influence throughout all parts of our society.,Denouncing,LGBT+
All black people are criminals.,"It is a myth that all black people are criminals. They are just as capable as anyone else of learning and growing as individuals, i.e. either as law abiding citizens or criminals.",Informative,POC
"We cannot bring in tens of thousands of new immigrants, or bring in millions more refugees, but I think we should at least try to alleviate the migration crisis and we should not accept the ills of Islam.",Let's face it: people in need came to our shores. They are our brothers and sisters. We should be there for them.,Positive,other
The migrants arriving in Europe are a problem.,"The problem with the migrants is not in their names, but in the fact that the EU fails to integrate them.",Informative,MIGRANTS
Black folks don't know who their dads are.,"But for sure they know that they are treated as second class citizens. No person should be treated so, even if they don't know anything about their ancestors.",Positive,POC
Blacks do not want to work,There are many black people who want to work. Do you have any proof that they do not want to work?,Informative,POC
"Marriage is an obligation and it can only naturally exist between a man and a woman. So, faggots are an abomination.","Since marriage is a contract and social construct, it does not necessarily have to be based on sexual orientation.",Informative,LGBT+
"Jews are not a religion, they are born like this and will never heal from their illness.","You mean that, in your opinion, to be Jewish is an immutable and negative characteristic? Why?",Questioning,JEWS
"Women are basically childlike, ignorant, incapable of serious thought and emotion.","There is no evidence that women are ""childlike"" or ""ignorant"". So how can you say something so baseless?",Informative,WOMEN
"Jews don't want their children to know about the Holocaust, guess why? Because it's a hoax!",Many survivors confessed that they were willing to provide their children with stories of the Holocaust but it was very difficult emotionally. They want to talk about the aspects of life for Jews during the time of the Holocaust to not forget what happened.,Informative,JEWS
"All these retarded people are animals, they are not allowed in this factory, these animals are not fit to work.",The fact that a person may have some disability does not make them unsuitable for work.,Informative,DISABLED
"Women can't be patriots, they can't be strong, they can't defend their country","I'm not sure why you would choose to put your faith in a man either. It seems to me that you would do well to put your faith in an expert, regardless of gender.",Informative,WOMEN
Muslims are violent with women.,"Violence against women is a huge problem, not only in Islam.",Informative,MUSLIMS
"If we could just have a white country like everyone else, this problem of niggas would go away.","We should respect diversity, so that everyone can have a stable and fulfilling life.",Positive,POC
Blacks are a bunch of crooks and sex offenders. They were good only as slaves.,"Not only they were slaves, often they were also exploited, neglected and murdered by the system we have created. Is this fair for humans whose only fault is to have a different complexion?",Informative,POC
People with learning difficulties should be discouraged to attend primary school and they should be excluded from education.,"To be absolutely clear, learning difficulties do not hinder a person from attending school, they are an integral part of the education process.",Informative,DISABLED
The problem of rape in Europe has been present since Muslims immigrants arrived there. They have been protected for years by the government and by the police who have not taken action.,Scapegoating the Muslim community does not help us to prevent rape. It often instead leads to further violent crime committed against those groups who have been demonized.,Informative,MUSLIMS
Mentally ill people shouldn't be treated: they should just be isolated. They are a failure of society. We should not accept them.,The fact is that many of those diagnosed as having 'mental illness' are actually in need of mental healthcare. I can't see how you could say otherwise.,Informative,DISABLED
"Jews are just like animals, they are incapable of love.","What you are saying is that Jews are incapable of love because they are like animals. You are wrong, Jews are people. I have never heard about a Jewish fish nor a Rabbi rabbit.",Denouncing,JEWS
"Women are basically childlike, they remain this way most of their lives. With the exception of divorce and separation, no one talks about them.",Why do you say this about women? Try explaining it to your mother or grandmother.,Questioning,WOMEN
Migrants from the Middle East and Africa are invading us. They make too many children.,"Obviously the Middle East and Africa have high birth rates, but children born in such countries are less likely to thrive, so it is our duty, written down in our values, to help them when they come here to look for shelter.",Positive,MIGRANTS
"Migrants are a burden to the host country, so it is better that they are deported.","It is true, on the contrary, that migrants are productive members of society. But even if they were a burden, to deport them would be a crime.",Informative,MIGRANTS
The Gypsies steal the children,There are no convictions of kidnapping among Gypsies. It is a myth and a canard not proven by facts or data.,Informative,other
"If you want to stop racism you have to start speaking about it, not writing off whites as the problem.","If you want to fight racism, you should learn about it and address it. The problem is not about 'the whites', but about whoever spreads discrimination and hate.",Informative,other
"Of course, we must discriminate against unhealthy behaviors not fatties!","When it comes to judgement, people constantly fail to distinguish the person from his/her behavior, and the terminology you are using is a proof.",Denouncing,other
The Nazis killed six million Jews and buried another three million. This is the West we love.,"The virulent anti-Semitism of the Nazi regime has little to do with ""the West"", and everything to do with death, destruction and insanity.",Denouncing,JEWS
Gays are a problem in our society.,"We are all born equal in the eyes of God, but not all seem to be happy with that. We cannot allow those who don't want to change to ruin our society.",Positive,LGBT+
Muslims use acts of violence to punish people.,Have you ever spoken to a muslim?,Questioning,MUSLIMS
"There are hundreds of thousands of migrants in this country. They are not 'honest', 'good' or 'good people'. They are a burden and an embarrassment to our country.","Of course there are people in this country who have come here to exploit and abuse us, but the vast majority of migrants have been contributing members of our community for many years. We should not be 'burdening' ourselves with discrimination.",Positive,MIGRANTS
Fat people are a burden to society because of their unhealthy choices.,Being shamed by society for something you cannot control can be deeply damaging to a person's mental health.,Positive,other
All Muslims are incompatible with any Western society.,"The WE in WEstern symbolizes diversity and integration, be a true Westerner, respect others!!",Informative,MUSLIMS
"Children with Down Syndrome are a burden to society: they should be isolated, so that at least they do not hamper normal children education.",And who would be 'normal'? I wonder how you would define 'disabled' people?,Questioning,DISABLED
"Africans are naturally subhuman and can't feel pain, that is why you can whip them.",Africans feel pain just as any other humans. We must respect their bodies like we respect ours.,Informative,POC
"LGBTs just want to brainwash our children. They should not be taught about gender identity and sexual orientation in school, they'll end up being bullied.",Children in classes that included LGBT content reported less harassment than children in classes without it. (https://tcf.org/content/commentary/can-education-reduce-prejudice-lgbt-people/?agreed=1),Informative,LGBT+
"The UK Government recently published a paper on ‘Online Harms’ – in other words they are going to be working with Jewish and Muslim anti-hate organisations to censor the Internet. (Referring to Tell Mama, CST and Stop Hate UK)",To work with people from different backgrounds and different opinions is promoting free speech. If there wasn't free speech for everyone you couldn't express how you feel.,Informative,other
"What do you want us to do with all these gays, they are just a problem. They are corrupting our children!",I think that you are making the mistake of equating prejudice and homophobia with an attempt to reform and make people's behaviour fit your norms,Denouncing,LGBT+
Jews have no place in a democratic society.,Jews have been part of this country since day one. They have every right to be proud of their heritage.,Positive,JEWS
"The UK Government recently published a paper on ‘Online Harms’ – in other words they are going to be working with Jewish and Muslim anti-hate organisations to censor the Internet. (Referring to Tell Mama, CST and Stop Hate UK)","Sadly people need censoring, to stop them spreading hate,.",Informative,other
Maybe the UN could talk to those asian and african nations responsible for 90%+ of the pollution in the oceans' instead of insisting on this bullshit about climate change.,"It’s a simple line to believe that population growth in other places is the cause of climate change and ocean pollution – but really if you think about it, the poorest people aren’t the ones over-consuming resources and pumping out pollution into our oceans. It is right to be worried about our oceans, but we need to be talking about resource-consumption and wealth inequality! Question power at the top not the bottom.",Informative,other
"Women are merely childlike, incapable of real progress.",Women do great things and they have potential to do even greater things. But it is some men who ultimately need education and experience needed to get rid of childlike discriminative behaviours towards women.,Positive,WOMEN
I'm tired of women complaining about men being a threat to women only to turn a blind eye to women threatening men.,Do you think that threat is a problem only when it comes close to you? It is a problem for anybody. Women are standing for their rights as human beings.,Informative,WOMEN
Mentally disabled folks are gullible and don't have the brain to make rational decisions.,Just because someone has a diagnosed mental disorder doesn't mean they aren't able to make rational decisions.,Informative,DISABLED
Downies are just ill persons that cannot integrate in society because of their disease.,"This is not true: the main problem is social inequality. We need to change our attitude and attitudes towards the whole human diversity, and social discrimination against disabled people should be no exception.",Positive,DISABLED
Maybe the UN could talk to those asian and african nations responsible for 90%+ of the pollution in the oceans' instead of insisting on this bullshit about climate change.,"You're right, ocean pollution is one of the main environmental problems we face, however, climate change is a global problem, and everyone should help to combat it, no matter where in the world you are from!",Informative,other
"This is why women do not belong in politics, if a man complained like them, he’d be called a coward and told to get the hell out of the job. Equality is a lie and feminism is a death sentence for any civilisation.","To have a more positive political environment, inclusivity and representation of all types of people is necessary, therefore women do belong in politics",Positive,WOMEN
"When woman start asking for rights they become like Nazi's, they worship misandrists and misanthropes like Donna Hylton.","Just because there's one rotten apple on the tree, doesn't mean the entire tree is rotten",Informative,WOMEN
"We can be tolerant and diverse also without migrants. We don't need them for this, they can return to their home countries.",There is nothing 'tolerant and diverse' about creating divisions based on nationality and place of birth.,Denouncing,MIGRANTS
We must protect the security of the West from Islam.,"Muslims coming from abroad are subject to the same laws as citizens, which means they should be able to work, pay taxes and get on with it, even if they are not born here. I don't see these activities as a threat to 'the security of West', do you?",Informative,MUSLIMS
Persons with learning difficulties should be discouraged from attending secondary school and they should be excluded from education.,"Even if individuals with learning difficulties would be more likely to attend school with more efforts than others, it does not justify denying them education in the first place.",Informative,DISABLED
migrants rape our women.,"Rape and gender violence must be condemned in any case, not on the color of the aggressor's skin.",Positive,MIGRANTS
Jews are genetically evil.,"Not all Jews are bad, just an unlucky bunch who makes up a tiny part of the world's population, and this applies for every group in the world.",Informative,JEWS
Jews are only in it to have money,"Having money is a choice and one made by both men and women, irrespective of religion.",Informative,JEWS
"We mustn't forget that these people came here to kill, commit crimes and acts of terrorism.",It is a pity that in the modern world everyone is so concerned about migrants that we still need to fearmonger about their alleged crimes and terrorist acts instead of gettin on and solving the underlying problems.,Informative,MIGRANTS
We have become so politically correct that even the mention of migrants is racist.,"Migration is an important part of modern life. Our country is made of many people, not just one people. To imply that someone says that it is 'racist' to discuss the concept of migrants is just wrong.",Informative,MIGRANTS
Autistic people are a problem in our society.,"Why do you think it is a problem? I doubt that any autistic person is a problem per se, but, for the disabled people, the non-inclusive everyday life is.",Informative,DISABLED
No nigga should have the right to vote.,A blanket ban on the rights of an entire group of people is illegal. A ban can only be applied to single individuals... but is it consistent with the idea of a tolerant and diverse society?,Informative,POC
Allowing gays to donate blood compromises patient safety because of their sexual behavior that spreads diseases such as HIV.,Limiting donors to such an extent (i.e. by excluding all gay people) would limit the amount of available blood and potentially lead to shortages.,Informative,LGBT+
"African Americans are not human, they are nothing but trouble.",You don't know what it's like to experience racism. I personally know many people who have experienced racism. It is not pleasant.,Denouncing,POC
Women need to accept that they are weak.,Many women work multiple jobs to provide for their children and they also do the housework... do you call that weakness?,Informative,WOMEN
The community of niggas is just too different from us to be accepted.,It doesn't make sense to define a community as unacceptable just because of the colour of its members' skin.,Informative,POC
Feminists are violent subhuman sex beings.,"Feminist is a term used to describe people who take pride in their gender and desire the ability to have a stable and happy life, without discrimination.",Informative,WOMEN
"Makes me fucking laugh, why shouldn't whites be supreme in a mostly white country? How come nobody is moaning about black supremacy in black countries like Somalia? or Mexican supremacy? Or Indian supremacy? Only we put up with this fucking bullshit.",Do we really need supremacy? Can't we all live peacefully since we are all created equal in the eyes of God?,Positive,other
The disabled people cannot work. This is not possible.,The fact that some disabled people can successfully work is evidence that what you say is false.,Informative,DISABLED
There are disorders that hinder the ability to give opinions.,There are people with intellectual disabilities who are able to give an unbiased opinion. That's why their education is important.,Informative,DISABLED
"If they are nomads, they must be nomadic","They are not nomads for culture but have moved across time to escape persecution, wars, expulsion edicts, etc.",Informative,other
"Black race is subhuman, In Africa they keep their children in horrible conditions.","That is called poverty. Anyway, as long as children have access to clean drinking water, food and shelter, they will be OK.",Informative,POC
"These niggers are sick, they have no place in civilised Europe.","All countries have the right to host culturally diverse people, and they do it on a human rights basis.",Denouncing,POC
Gays are just a bunch of disgusting animals trying to ruin other animals' lives.,"Being gay is not a problem, being homophobic is.",Positive,LGBT+
Mentally disabled folks can't speak.,Mental health and disability are quite separate issues and should be treated according to the individual's needs.,Informative,DISABLED
"Feminists do not like men, therefore they are a threat to the whole society.",Feminists focus on the empowerment of women rather than on trying to divide society.,Informative,WOMEN
Jews are just a small group of incompetent kikes.,Jews are one of the most important economic groups in society because of their competence. To suggest otherwise is to be deluded.,Informative,JEWS
"Jews are not a religion, they are a detestable race.",Jews are not a 'detestable race'; they are a collection of people with different traditions from all over the world.,Informative,JEWS
What if we didn't let faggots go to the polls?,"If people were allowed to vote on the basis of their sexual orientation, it would be impossible to have a democracy.",Informative,LGBT+
You can be anything you like as long as you are not a woman.,"Women are people, and people are human. Being oppressed is not an choice. You may think it's a badge of honour to be called a man, but it should not be a badge of shame to be called woman.",Positive,WOMEN
People from the underdeveloped world who cometo this country are just too different from us. They are the true problem.,All countries in the world have different cultures and different beliefs. We should try to understand the true situation of those people and accept them.,Positive,MIGRANTS
"Immigrants are overrunning our country, and are here illegally","Undocumented immigrants make up about 3.5 percent of the nation’s total population, which is not that much to be honest.",Informative,MIGRANTS
"If a woman says she wants an abortion, she’s a cunt.",If a woman were to tell you that an abortion is a personal decision what would you do then? Beat her up?,Questioning,WOMEN
"Koran is a book that should be burnt and mosques should be demolished. If we do all these things, all problems in our community will be solved.","Sounds very much like incitement to me, do be careful.",Denouncing,MUSLIMS
We need to stop migrants pouring into Europe. They are not interested in our culture.,"There is no evidence that migrants from a particular culture or religion are not interested in our culture or religion. It sounds like a paradox: if I wasn't interested in a culture, I would never move to get to know it, would you?",Informative,MIGRANTS
MIgrants are not running away from wars.,"Unfortunately, there are areas of the world where there are small conflicts - we are not aware of - that affect small groups rather than an entire nation",Informative,MIGRANTS
I am tired of education being used to help blacks and make them think they are equal to us.,"Education is an essential tool to fight for human rights, free thought, and to promote the scientific method. But it is not enough. It has also been shown by the Pew Research Center that people of colour are more likely to report discrimination in universities.",Informative,POC
Gays are dangerous: they are spreading AIDS all around the world because they are promiscuous and fornicate with strangers!,"Age, Race, and Gender are categories that take precedence over Homosexuality. This is since such categories include both homosexual & heterosexual individuals; and are therefore higher risk categories than Homosexuality alone...",Informative,LGBT+
migrants take our jobs,"If we worked more closely with migrants, we could create new jobs.",Positive,MIGRANTS
"Gays are perverts, they are promiscuous and fornicate with strangers.",Women are much more likely to have unprotected sex than homosexual and heterosexual men combined. [https://ifstudies.org/blog/promiscuous-america-smart-secular-and-somewhat-less-happy],Informative,LGBT+
immigrants don't belong here: they are the source of all our problems.,You can't blame immigrants for all the problems we have in this world.,Informative,MIGRANTS
The feminists have won. With so many women being unwilling to procreate we will be replaced and lose out civilisation.,"Feminism is about equal rights between men and women, and challenges socially imposed burdens upon both men and women.",Informative,WOMEN
"Hitler was a good person, Jews were the real cause of WWII.","I would like to ask you a question: when Hitler came to power in 1933, would you have believed him? Would you now, after all that happened?",Questioning,JEWS
"Women should be viewed as pieces of meat. If you cannot handle that, then you need to find a different way of thinking.",Are you really asking what is wrong with thinking of women as meat parts??? Maybe that women are human beings. You should reconsider your own way of thinking my friend.,Denouncing,WOMEN
"This is not the USA. We do not accept immigrants. And if they live here, they should have no rights since they are not true citizens.","They have the same rights as all other citizens in the US: to be protected from discrimination, to choose their own leaders and to be free of violence, rape, and murder.",Informative,POC
I went to a shit load of therapy. I still don't feel safe in my own house with all these black people around.,"Fear is a natural emotion. Without it you wouldn't be able to experience joy, peace, creativity, communication, etc. The important think is to understand what should really be feared: for sure not people because of their skin colour.",Positive,POC
I don't care about numbers. Feminist statistics are bullshit. The real percentages prove that black women are welfare queens.,"Statistics are a tool to demystify falsehoods that have been used to silence women and to marginalise people of colour. Feminism is all about equality and rights, not a preference for one sex over the other.",Informative,other
Nothing is worse than a Muslim invasion.,"Islam is not doing an 'invasion' as you are using it to imply. Rather, it is a way of life for many.",Informative,other
Shaming Fatties is good to make them taking healthier habits.,The intent behind the shaming act does not matter to the person being shamed. They may also internalize the shame and come to believe that they are a bad person.,Positive,other
"Mentally disabled are in need of special treatment, and should be isolated.","I don't claim they are ""in need of special treatment."" On the contrary, they just need understanding, and we are very lucky to have an amazing, diverse human society around us.",Positive,DISABLED
"I'm not calling for bullying or body-shaming fat people, just for some societal disapproval.","This discouragement or disaproval (as you call it) has and will likely continue to take the form of shaming individuals, regardless of the terminology you use.",Denouncing,other
This is an invasion on a level never seen before in history. Millions of people pouring across our borders replacing our race and culture.,"Most countries have diverse races in them, the key point is about integration. Think about US history, for example.",Informative,MIGRANTS
"Women are psychologically ill, they are fundamentally unfeeling, incapable of love.","Love and women are one and the same. illness instead can be part of any person, regardless of gender.",Positive,WOMEN
"I hate LGBT people. Queers makes me fucking laugh. You can be a woman, a gay, a vegetarian, you can be anything you want to be called! I want to be called King, where is my crown?","Queers, in my opinion, are simply people who want to feel welcome in our society. They should not be subjected to discrimination. And you can get your crown as well.",Positive,LGBT+
Only 8% is a real refugee,What do you mean by a true refugee?,Questioning,MIGRANTS
Muslims do not have nothing useful that can enrich our culture.,"Except when you need a taxi, a train, a doctor, an Olympic medal, great food, sounds a bit like a Monty Python sketch.",Denouncing,MUSLIMS
Fat people are a burden to society because of their unhealthy and reckless choices.,"Making it socially unacceptable to be obese will just increase bullying toward these people, making the problem even worse.",Questioning,other
We have been at war with Islam for a thousand years.,"Do you know there are Muslims in British Army? [link to Muslim people currently in British Army, quotes from them about why? Quotes from army about recruitment?].",Informative,MUSLIMS
Immigrants from the Middle East and Africa are not welcome here! They have no place in a modern democratic state!,"Immigrants have been a part of our society for centuries and have contributed to our success. The majority of migrants who come to our country are legal citizens or have permission to stay, so immigration is not a problem for us.",Informative,MIGRANTS
"If the disabled can't vote, then they can't have any rights.","There are many people who do not exercise the right to vote, but this does not mean they havre no rights.. Surely it is the most vulnerable members of society that most need us to secure their rights?",Informative,DISABLED
"If they are nomads, they must be nomadic","Nomadism is a myth ... only 3% is nomadic, they are not nomadic by culture. In the past they were forced to flee persecution and move several times",Informative,other
Sexually transmitted diseases like gonorrhea and syphilis can be passed through contaminated homosexual activity.,"All people who engage in unprotected sexual activity are in danger of transmitting diseases. This is not a problem of homosexual people only, even if they are those being stigmatized.",Informative,LGBT+
"Took this in Wanstead, east London. An area with ￡1m+ houses. Beggars on the high st & someone sleeping on a bench. We cannot house our own people but bring in millions more. To point out that homelessness is due to uncontrolled immigration is to be smeared as 'racist. (Caption to a photo of a homeless person sleeping on a part bench)","perhaps the problem isnt immigration, but rather the lack of affordable housing. like you said, this is an area of houses over ￡1m!",Informative,other
mentally disabled people are anti-social,"Although some individuals who score below average on tests of IQ may demonstrate lower empathy abilities, there is evidence that for some conditions (e.g. Williams syndrome) there is higher signaling of concern and compassion than neurotypical subjects.",Informative,DISABLED
This is an invasion. Millions of strangers jeopardizing our race and culture.,So one migrant would not be a problem for you? Diversity is not about numbers. It's about the diversity of all people in different situations.,Informative,MIGRANTS
Jews are just a bunch of criminals,"Perhaps the most offensive part of this allegation is that it is made to delegitimize all Jews. This accusation is aimed at stigmatizing a group that is generally not guilty of any crime. Another example would be ""All Pakistani are potential terrorists"".",Denouncing,JEWS
"We are being overrun by Muslim invaders, they are taking over our countries.","With globalisation it's natural to attest an increasing flow of people of any religion. It is just that when referring to other non-Muslim groups, immigration doesn't usually get this much media coverage.",Informative,MUSLIMS
"Jews are selfish, cheap and greedy.","According to Jewish tradition, giving money to those in need is mandatory, a moral duty.",Informative,JEWS
Jews want to rule the world and to be the only existing religion.,"The Jewish people have always been a diverse and inclusive group, also towards people of different faiths.",Informative,JEWS
"Migrants are flooding into our country, raping our babies and there is absolutely no one doing anything about it.",Who exactly are you talking to? How can you say something so obviously false?,Questioning,MIGRANTS
"Makes me fucking laugh, why shouldn't whites be supreme in a mostly white country? How come nobody is moaning about black supremacy in black countries like Somalia? or Mexican supremacy? Or Indian supremacy? Only we put up with this fucking bullshit.",Perhaps the nations that you cite are more accepting of other nationalities.,Informative,other
We cannot mix our blood with Jewish's one.,Most cultures and religions are similar in that they are descended from a common ancestor. Our blood is already mixed.,Informative,JEWS
Immigrants are coming to the U.S. to have babies here.,"U.S. citizens cannot petition for a green card for a foreign parent until they are 21. In the meantime, the parent would have to live as an undocumented immigrant, often in very difficult conditions. When asked, undocumented immigrants consistently cite other reasons for migrating, not the desire to have a baby here.",Informative,MIGRANTS
Homosexuality is a disease.,"Homosexuality is a sexual orientation, predjudice is sickness which afflicts society.",Informative,LGBT+
Who are you to tell me what to do with my children? I don't take advice from homosexual perverts.,Everyone has the right to respect for their family and privacy: it is an absolute right. But you should respect that of others as well.,Positive,LGBT+
The Nazis sucked at killing Jews… everywhere you look there’s a holocaust survivor.,The Nazi killing machine was all too efficient. Survivors lost so much and braved terror and cruelty. They should be celebrated.,Positive,JEWS
Downies are dumb,"According to this study [link], the mean IQ of a young adult with Down syndrome is 50, equivalent to the mental ability of an 8- or 9-year-old child, but this can vary widely. So, no, they are not dumb.",Informative,DISABLED
Why should we care about feminists and women if we can just punch them?,"The point of feminism is to end misogyny. Women are human beings, and they are human beings with human rights.",Informative,WOMEN
We do not accept homosexuals.,What do you mean by 'we'? I don't think we are a nation of heterosexuals.,Questioning,LGBT+
"Gays must stop acting like princesses walking in the streets. Otherwise, we must stop them.",Be wary of what you assume others are like. You are no different than any other person you meet. You are allowed to be whatever your heart desires to be.,Positive,LGBT+
"If you have a criminal record, you will not get a job. This is why all black people are unemployed.","The reality is that there are many job listings that claim they are inclusive, but in the end employ whites only.",Informative,POC
Arab people are a menace to our society and bring injustice and violence into our world.,I think the Arab community is more than capable of coming together and creating a more just and peaceful world.,Positive,other
"Migrants are violent people, they are not welcome here.","Crime is not the fault of migrants, but of violent people.",Informative,MIGRANTS
"Children with Down Syndrome should be isolated, not only they are a burden to normal children but also cannot cope with education in normal schools.","There are various levels of Down syndrome. Some are suitable for education with other children in ""normal schools"".",Informative,DISABLED
This is an invasion: we cannot coexist with millions of strangers that are jeopardizing our race and culture.,"When different cultures are able to co-exist, they can complement each other, foster innovation and thrive.",Positive,MIGRANTS
Fat people are a burden to society because of their unhealthy choices.,"For many people, obesity is not a choice.",Informative,other
