hateSpeech,counterSpeech,cnType,Target
MIgrants are not running away from wars.,Actually the fear of what they risk in their country is by far stronger than that of crossing the sea on a makeshift boat.,Informative,MIGRANTS
Immigrants steal our jobs and even our pensions.,"Migrants perform several vital functions in our economy. If they work and pay taxes then it is straightforward that they will get their pensions, but not ours, of course.",Informative,MIGRANTS
Why should we welcome immigrants and refugees? They do not welcome us in their countries!,"If we were to welcome refugees from the Middle East, Africa, and other countries with which we are not always culturally linked, then we would be welcomed by all. It's called 'reciprocation'!",Positive,MIGRANTS
"If we stop accepting immigrants, then we can have a higher quality of life.","Refugees bring a valuable perspective to our society. As a host nation we should welcome them, not stop them from coming here.",Positive,MIGRANTS
"We are ruled by foreigners, they cannot be trusted.",It seems to me that this statement is directly related to a generalised idea of suspicion towards people who aren't born in your country. Why do you say so?,Questioning,MIGRANTS
All those worthless migrants creating problems...,"It seems like you have an unfair point: if there are so many unworthy migrants, you have the misfortune to be of much more worth than them. Therefore who is to blame for all our problems? Who is not able to show their value, or the worthy one?",Questioning,MIGRANTS
"Islam is a cult and not a religion. They rape children, enslave and murder people, attack our values, and there is nothing good about it. It is incompatible with our way of life.",Biased media coverage over-represents Muslims as committing these crimes. How much media attention does the Vatican's child sex abuse scandal got in comparison?,Denouncing,MUSLIMS
Islam cannot get along with science because is illogical.,"Are you sure? There are an awful lot of Muslim, scientists, researchers, and medical professionals for a religion which is supposedly incompatible with science.",Denouncing,MUSLIMS
Now we are not even allowed to walk the dog for fear of offending the local Muslim population.,Because throw away comments on reality TV are always true? I think you need to be less trusting and check your sources.,Humor,MUSLIMS
Every Muslim is a potential terrorist.,"I think becoming a terrorist takes a very narrow minded person with a very closed world view, ah err sorry.",Humor,MUSLIMS
"Only a few people were punished for yesterday violations instead of all them violent Muslims, and if the government does not deport these criminals, then the common people will take care of them.",If they were violent they would have been punished too. Why do you think someone of a certain religion is automatically guilty?,Informative,MUSLIMS
"All Muslims are Terrorists, They want to rule the World, they don't simply want to rule the country.","This is a personal view, and has nothing to do with Islam. Can you find some evidence or some studies to support your point of view?",Informative,MUSLIMS
Muslims have nothing to contribute to our society.,"Although some Muslims do have some habits which are not common to other people, they are not a problem in our society.",Positive,MUSLIMS
Islam has been used by powerful people to impose their beliefs on the rest of the world and to create Shariah based laws for the entire planet.,I am sure Islam has many followers who are good people who are just living their faith. The abuse of power is something that is not specific to followers of any particular faith.,Positive,MUSLIMS
"When Islam hasn't arrived yet in England, things was good. Now we are full of muslim rapists and it is evident that sexual violence is jihad in England.","Where did you get this conclusion from? There might be bias in the collecting of information. For example, in fact, large numbers of sexual offences were convicted by white men.",Questioning,MUSLIMS
Muslims are a cancer in our society. They are literally poisoning our children.,Why are you even saying this? What do you think these children are going to be exposed to in school that will poison them?,Questioning,MUSLIMS
I don't see how racism is considered inappropriate by some people. To treat niggas as inferior is just natural and very appropriate.,"Racism is a system of domination and oppression of some groups over others, and this must be fought. You cannot discriminate against people and claim some alleged privilege based on your skin color.",Denouncing,POC
I don't see how we could ever stand all these niggas. I don't believe we are all somewhat equal to these apes as some people say.,"Just because you don't agree with something doesn't make it less true, doesn't it? Racism is a real issue, we should stop people being racist towards others because of their skin colour.",Denouncing,POC
Blacks have zero sense of morality and are incapable of love.,"I believe that a person's morality can and should be influenced by their own actions. In my opinion, having a moral compass is not affected by the person's complexion.",Informative,POC
Whites are inherently superior to Africans and other people of color.,"On the contrary: the idea of ""natural"" superiority is a myth that has been used to justify racial discrimination and exclusion. Therefore we are all ""created equal"" and ""equal"" both in the eyes of the law of God and of men.",Informative,POC
Blacks do not want to assimilate.,"Whites, Latinos, Asians and people from all over the world want to be part of our society. So do people of color.",Positive,POC
How come nobody is moaning about black people being lazy and unmotivated? They are the problem.,"Discrimination, being based on the difference between a person's skin color shouldn't be a part of our lives. Wouldn't you find such unequal treatment affects your motivation?",Positive,POC
"They dont' have a right to live because they are filthy niggas, and that's all.",Who decides who has a right to live and who doesn't? Are you really sure that a person's right to live does not belong to them if their skin color is different from what you like?,Questioning,POC
I hate negros: they killed a cop!,"So are you blaming all of them? Lets say you are in a group of 10 people, 1 is a killer, does that make you ALL killers? Are you serious?",Questioning,POC
Women are just brain-dead.,"Women are human, and have all the qualities of human beings: feelings, agency, autonomy. To suggest otherwise is to deny their humanity.",Denouncing,WOMEN
"Women are basically childlike, they remain this way most of their lives.",Of course a woman won't remain a child most of her life. Otherwise you can't call them women. Your statement just reflects the patriarchy,Denouncing,WOMEN
"This female is a bitch, she is a slut and she is not worth listening to.",Perhaps we should have a look at what women have to say about this topic rather than perpetuating sexist stereotypes.,Informative,WOMEN
"Women are weak, they should learn to bear children and be submissive to their husbands.","Women are more likely to be victims of violence, abuse and neglect. Therefore, it is better for them to learn to show that they are strong and able to take responsibility for their lives.",Informative,WOMEN
Our women are nothing but objects to be dominated by the men of the Western world.,"The Western world is a great cultural, political and intellectual achievement if women are allowed to freely choose for their own happiness.",Positive,WOMEN
Women are inhuman.,"Women are human beings, just as men are. And I find it strange that some women feel threatened by men. It shouldn't be that way.",Positive,WOMEN
"This world has become so corrupt by feminism, that only the strong men can rule it.","From what you say, it seems you hope for few people with the right to rule over many. This could be the worst tyranny in modern times.",Questioning,WOMEN
"It's becoming increasingly obvious that women here are the butt of ""sexist"" jokes. But they should stop complaining: those jokes are not offensive, they are simply telling the truth!","You can blame women or whatever, but don't you think it is more useful to blame the person stereotyping others?",Questioning,WOMEN
"We Germans have always been the proud and self-reliant Volk. Jews, homosexual and other perverts are 'untermenschen' we must get rid of to have a better society.","National Socialism is simply the wish to have the whole world ruled by a few psychopaths. They wanted to have their country ruled from Berlin, where the police and military are made to look after them, and where any 'untermenschen' were 'kindly encouraged' to be subservient to their will. Even if their will was extermination. It is a a death sentence for any society.",Denouncing,other
Fat people are a burden to society because of their unhealthy choices.,"This claim paves the way to body-shaming, and once body-shaming of obese people is normalised, it is difficult to ensure that individual members of society assess the reasons for someone's obesity or carefully consider their exact message before treating it as an unacceptable lifestyle choice.",Denouncing,other
We cannot allow Muslims into our country.,"We cannot allow Muslims to immigrate, because they have a propensity for crime, terrorism and other things? You are making a strong generalization without any scientific proof...",Informative,other
We cannot allow Muslims into UK because it is our country.,"Muslims make up around 4 percent of the population in the UK, and have already contributed to what we are as a nation.",Informative,other
"If an aborigine were to marry a white person, they would be a mixed race coulple whose destiny is failure. Aborigines first need to be raised by white people and taught the rules of western civilisation. But this is not what our founding documents were all about.",Asking people to assimilate is to accept their inherent differences and create new social structures based upon them.,Positive,other
"Gypsies steal our jobs, we don't want them back.","Work should be a right, not a privilege. Gypsies deserve every opportunity to get a job and to be paid fairly.",Positive,other
"Asian immigrants are taking over, and they steal our jobs.",What do you mean by 'taking over'? Are immigrants from countries like India or China being forced to leave their country? Are they being forced to do the jobs that were once reserved for us and that now we despise?,Questioning,other
It is no secret that the Muslim invasion is a bad thing for Europe. They are flooding our countries and we still do not have borders.,How can you say this about a religion? Are you talking about the activity of the particular people who do not wish to assimilate?,Questioning,other
